DATA;DIA_SEMANA
2015-01-01;Quinta-feira
2015-01-02;Sexta-feira
2015-01-03;Sábado
2015-01-04;Domingo
2015-01-05;Segunda-feira
2015-01-06;Terça-feira
2015-01-07;Quarta-feira
2015-01-08;Quinta-feira
2015-01-09;Sexta-feira
2015-01-10;Sábado
2015-01-11;Domingo
2015-01-12;Segunda-feira
2015-01-13;Terça-feira
2015-01-14;Quarta-feira
2015-01-15;Quinta-feira
2015-01-16;Sexta-feira
2015-01-17;Sábado
2015-01-18;Domingo
2015-01-19;Segunda-feira
2015-01-20;Terça-feira
2015-01-21;Quarta-feira
2015-01-22;Quinta-feira
2015-01-23;Sexta-feira
2015-01-24;Sábado
2015-01-25;Domingo
2015-01-26;Segunda-feira
2015-01-27;Terça-feira
2015-01-28;Quarta-feira
2015-01-29;Quinta-feira
2015-01-30;Sexta-feira
2015-01-31;Sábado
2015-02-01;Domingo
2015-02-02;Segunda-feira
2015-02-03;Terça-feira
2015-02-04;Quarta-feira
2015-02-05;Quinta-feira
2015-02-06;Sexta-feira
2015-02-07;Sábado
2015-02-08;Domingo
2015-02-09;Segunda-feira
2015-02-10;Terça-feira
2015-02-11;Quarta-feira
2015-02-12;Quinta-feira
2015-02-13;Sexta-feira
2015-02-14;Sábado
2015-02-15;Domingo
2015-02-16;Segunda-feira
2015-02-17;Terça-feira
2015-02-18;Quarta-feira
2015-02-19;Quinta-feira
2015-02-20;Sexta-feira
2015-02-21;Sábado
2015-02-22;Domingo
2015-02-23;Segunda-feira
2015-02-24;Terça-feira
2015-02-25;Quarta-feira
2015-02-26;Quinta-feira
2015-02-27;Sexta-feira
2015-02-28;Sábado
2015-03-01;Domingo
2015-03-02;Segunda-feira
2015-03-03;Terça-feira
2015-03-04;Quarta-feira
2015-03-05;Quinta-feira
2015-03-06;Sexta-feira
2015-03-07;Sábado
2015-03-08;Domingo
2015-03-09;Segunda-feira
2015-03-10;Terça-feira
2015-03-11;Quarta-feira
2015-03-12;Quinta-feira
2015-03-13;Sexta-feira
2015-03-14;Sábado
2015-03-15;Domingo
2015-03-16;Segunda-feira
2015-03-17;Terça-feira
2015-03-18;Quarta-feira
2015-03-19;Quinta-feira
2015-03-20;Sexta-feira
2015-03-21;Sábado
2015-03-22;Domingo
2015-03-23;Segunda-feira
2015-03-24;Terça-feira
2015-03-25;Quarta-feira
2015-03-26;Quinta-feira
2015-03-27;Sexta-feira
2015-03-28;Sábado
2015-03-29;Domingo
2015-03-30;Segunda-feira
2015-03-31;Terça-feira
2015-04-01;Quarta-feira
2015-04-02;Quinta-feira
2015-04-03;Sexta-feira
2015-04-04;Sábado
2015-04-05;Domingo
2015-04-06;Segunda-feira
2015-04-07;Terça-feira
2015-04-08;Quarta-feira
2015-04-09;Quinta-feira
2015-04-10;Sexta-feira
2015-04-11;Sábado
2015-04-12;Domingo
2015-04-13;Segunda-feira
2015-04-14;Terça-feira
2015-04-15;Quarta-feira
2015-04-16;Quinta-feira
2015-04-17;Sexta-feira
2015-04-18;Sábado
2015-04-19;Domingo
2015-04-20;Segunda-feira
2015-04-21;Terça-feira
2015-04-22;Quarta-feira
2015-04-23;Quinta-feira
2015-04-24;Sexta-feira
2015-04-25;Sábado
2015-04-26;Domingo
2015-04-27;Segunda-feira
2015-04-28;Terça-feira
2015-04-29;Quarta-feira
2015-04-30;Quinta-feira
2015-05-01;Sexta-feira
2015-05-02;Sábado
2015-05-03;Domingo
2015-05-04;Segunda-feira
2015-05-05;Terça-feira
2015-05-06;Quarta-feira
2015-05-07;Quinta-feira
2015-05-08;Sexta-feira
