id;cod_aero_org;Cidade;UF;País;qtd
1;SBGR;GUARULHOS;SP;BRASIL;390044
2;SBSP;SAO_PAULO;SP;BRASIL;257407
3;SBBR;BRASILIA;DF;BRASIL;213946
4;SBKP;CAMPINAS;SP;BRASIL;194040
5;SBGL;RIO_DE_JANEIRO;RJ;BRASIL;182263
6;SBCF;CONFINS;MG;BRASIL;162364
7;SBRJ;RIO_DE_JANEIRO;RJ;BRASIL;149953
8;SBCT;SAO_JOSE_DOS_PINHAIS;PR;BRASIL;106559
9;SBPA;PORTO_ALEGRE;RS;BRASIL;105299
10;SBSV;SALVADOR;BA;BRASIL;100609
11;SBRF;RECIFE;PE;BRASIL;94466
12;SBFZ;FORTALEZA;CE;BRASIL;67237
13;SBEG;MANAUS;AM;BRASIL;52901
15;SBBE;BELEM;PA;BRASIL;50757
16;SBFL;FLORIANOPOLIS;SC;BRASIL;47509
17;SBGO;GOIANIA;GO;BRASIL;47423
18;SBCY;VARZEA_GRANDE;MT;BRASIL;47283
19;SBVT;VITORIA;ES;BRASIL;45097
21;SBSG;SAO_GONCALO_DO_AMARANTE;RN;BRASIL;28773
22;SBRP;RIBEIRAO_PRETO;SP;BRASIL;28719
24;SBFI;FOZ_DO_IGUACU;PR;BRASIL;25352
25;SBSL;SAO_LUIS;MA;BRASIL;23587
26;SBMO;RIO_LARGO;AL;BRASIL;23178
27;SBNF;NAVEGANTES;SC;BRASIL;22460
28;SBPS;PORTO_SEGURO;BA;BRASIL;21922
29;SBCG;CAMPO_GRANDE;MS;BRASIL;21762
31;SBUL;UBERLANDIA;MG;BRASIL;19715
34;SBLO;LONDRINA;PR;BRASIL;16945
35;SBJP;BAYEUX;PB;BRASIL;16820
36;SBTE;TERESINA;PI;BRASIL;16128
38;SBAR;ARACAJU;SE;BRASIL;15646
40;SBMG;MARINGA;PR;BRASIL;14433
41;SBPV;PORTO_VELHO;RO;BRASIL;14405
43;SBSR;SAO_JOSE_DO_RIO_PRETO;SP;BRASIL;13168
44;SBSN;SANTAREM;PA;BRASIL;11393
45;SBPJ;PALMAS;TO;BRASIL;10441
48;SBBH;BELO_HORIZONTE;MG;BRASIL;9683
49;SBIL;ILHEUS;BA;BRASIL;9674
50;SBJV;JOINVILLE;SC;BRASIL;9107
51;SBMQ;MACAPA;AP;BRASIL;8437
52;SBJU;JUAZEIRO_DO_NORTE;CE;BRASIL;8241
54;SBQV;VITORIA_DA_CONQUISTA;BA;BRASIL;7696
56;SBCH;CHAPECO;SC;BRASIL;7261
57;SBHT;ALTAMIRA;PA;BRASIL;7245
58;SBCA;CASCAVEL;PR;BRASIL;7073
60;SBMA;MARABA;PA;BRASIL;6725
62;SBMK;MONTES_CLAROS;MG;BRASIL;6529
63;SBPL;PETROLINA;PE;BRASIL;6435
65;SBRB;SENA_MADUREIRA;AC;BRASIL;5840
66;SBDN;PRESIDENTE_PRUDENTE;SP;BRASIL;5809
67;SBIZ;IMPERATRIZ;MA;BRASIL;5632
69;SBIP;SANTANA_DO_PARAISO;MG;BRASIL;5140
70;SBFN;FERNANDO_DE_NORONHA;PE;BRASIL;5026
72;SBCB;CABO_FRIO;RJ;BRASIL;4808
73;SWSI;SINOP;MT;BRASIL;4635
77;SBAE;AREALVA;SP;BRASIL;4163
