DirecaoVento;DESCRIÇÃO;DESCSIMPLES
0;Calma;C
1;Norte - Nordeste;NNE
2;Norte - Nordeste;NNE
3;Norte - Nordeste;NNE
4;Norte - Nordeste;NNE
5;Nordeste;NE
6;Nordeste;NE
7;Este - Nordeste;ENE
8;Este - Nordeste;ENE
9;Leste;E
10;Leste;E
11;Este - Sudeste;ESE
12;Este - Sudeste;ESE
13;Este - Sudeste;ESE
14;Sudeste;SE
15;Sudeste;SE
16;Sul - Sudeste;SSE
17;Sul - Sudeste;SSE
18;Sul;S
19;Sul;S
20;Sul - Sudoeste;SSW
21;Sul - Sudoeste;SSW
22;Sul - Sudoeste;SSW
23;Sudoeste;SW
24;Sudoeste;SW
25;Oeste - Sudoeste;WSW
26;Oeste - Sudoeste;WSW
27;Oeste;W
28;Oeste;W
29;Oeste - Noroeste;WNW
30;Oeste - Noroeste;WNW
31;Oeste - Noroeste;WNW
32;Noroeste;NW
33;Noroeste;NW
34;Norte - Noroeste;NNW
35;Norte - Noroeste;NNW
36;Norte;N
99;Variável;Variável
