--------------------
BDMEP - INMET
--------------------
Estação           : ALTAMIRA - PA (OMM: 82353)
Latitude  (graus) : -3.21
Longitude (graus) : -52.21
Altitude  (metros): 74.04
Estação Operante
Inicio de operação: 24/04/1927
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82353;01/01/2015;0000;25.4;24.4;92;1000.4;27;2;10;
82353;01/01/2015;1200;25.2;24.2;91;1002.7;36;3;10;
82353;01/01/2015;1800;30.9;26.8;70;999.4;27;2;10;
82353;02/01/2015;0000;26.5;24.6;85;1001.2;27;2;10;
82353;02/01/2015;1200;25.8;24.4;88;1001.5;18;2;7;
82353;02/01/2015;1800;33.3;26.8;59;998.9;18;2;7;
82353;03/01/2015;0000;28.3;25.8;81;1000.4;0;0;0;
82353;03/01/2015;1200;25.2;24.6;94;1001.9;36;3;10;
82353;03/01/2015;1800;33.3;26.2;56;998.5;18;2;7;
82353;04/01/2015;0000;28.3;25.4;78;1000.8;0;0;10;
82353;04/01/2015;1200;25.4;24.4;92;1002.3;36;3;7;
82353;04/01/2015;1800;33.5;26.2;53;998.1;18;2;7;
82353;05/01/2015;0000;26.9;24.8;82;1001;27;2;10;
82353;05/01/2015;1200;25;23.8;91;1003.1;18;2;10;
82353;05/01/2015;1800;29.7;25.8;72;1000.3;18;2;5;
82353;06/01/2015;0000;23.8;22.6;89;1002.8;18;1;10;
82353;06/01/2015;1200;24;23.6;97;1002.7;36;3;10;
82353;06/01/2015;1800;32.3;26.6;63;999.9;18;2;7;
82353;07/01/2015;0000;28.1;25.8;81;1002.5;0;0;0;
82353;07/01/2015;1200;24;23;92;1002.7;27;1;4;
82353;07/01/2015;1800;32.7;26.6;59;997.5;18;2;7;
82353;08/01/2015;0000;29.7;26;73;998;0;0;0;
82353;08/01/2015;1200;24.4;23.8;95;1003.1;27;3;10;
82353;08/01/2015;1800;33.7;26.6;55;997.8;18;2;7;
82353;09/01/2015;0000;28.3;24.6;72;998.6;0;0;0;
82353;09/01/2015;1200;25.8;24.2;86;1001.9;36;2;4;
82353;09/01/2015;1800;32.1;26;60;998.6;9;2;5;
82353;10/01/2015;0000;27.1;24.8;82;1000;0;0;0;
82353;10/01/2015;1200;25.4;24.6;93;1002.3;36;3;7;
