--------------------
BDMEP - INMET
--------------------
Estação           : ARACAJU - SE (OMM: 83096)
Latitude  (graus) : -10.95
Longitude (graus) : -37.04
Altitude  (metros): 4.72
Estação Operante
Inicio de operação: 01/03/1910
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83096;01/01/2015;0000;27;23.5;74;1013.2;9;3.3;4;
83096;01/01/2015;1200;28.7;24.9;73;1015;9;2;5;
83096;01/01/2015;1800;29.8;25.4;70;1013.1;9;2.5;5;
83096;02/01/2015;0000;26.9;23.8;77;1013.8;9;3.3;4;
83096;02/01/2015;1200;29.1;24.9;71;1014.1;9;3.3;4;
83096;02/01/2015;1800;29.9;25.5;70;1012.1;9;2.5;2;
83096;03/01/2015;0000;27;23.7;76;1013;9;2.5;4;
83096;03/01/2015;1200;29.1;24.7;70;1013.8;9;2.8;4;
83096;03/01/2015;1800;30;25.2;69;1011.7;9;3.3;2;
83096;04/01/2015;0000;27.2;23.6;74;1012.8;9;3.3;4;
83096;04/01/2015;1200;28.4;24.3;71;1014.4;9;2.8;4;
83096;04/01/2015;1800;30.2;25.6;69;1012.9;9;3.3;2;
83096;05/01/2015;0000;27.1;23.7;75;1013.2;9;3.3;4;
83096;05/01/2015;1200;30.2;25.2;67;1015.8;5;3.3;2;
83096;05/01/2015;1800;29.9;24.9;67;1013.6;9;3.3;2;
83096;06/01/2015;0000;27;24;78;1013.4;5;2.5;2;
83096;06/01/2015;1200;30;25.3;69;1015.4;9;3.3;2;
83096;06/01/2015;1800;29.8;25;68;1014.2;9;2.5;2;
83096;07/01/2015;0000;26.8;23.8;78;1014.6;9;2.5;2;
83096;07/01/2015;1200;29.5;25;68;1014.6;6;2.5;2;
83096;07/01/2015;1800;27.7;24.5;77;1012.7;9;2.5;2;
83096;08/01/2015;0000;27.7;23.8;72;1013.6;9;2.5;4;
83096;08/01/2015;1200;29.1;24.2;67;1015.3;9;3.3;4;
83096;08/01/2015;1800;27.9;24.1;74;1013;9;3.3;2;
83096;09/01/2015;0000;26.8;23.8;76;1013.7;9;2.5;4;
83096;09/01/2015;1200;30;24.9;66;1015.5;9;2.5;2;
83096;09/01/2015;1800;30.3;24.7;63;1013.6;9;1.6;2;
83096;10/01/2015;0000;26.8;23.2;72;1014.6;9;1.6;6;
83096;10/01/2015;1200;30.1;25.2;67;1015.8;9;3.3;4;
83096;10/01/2015;1800;30.2;24.9;65;1013.8;9;4.1;4;
83096;11/01/2015;0000;27;23.7;75;1014.6;18;2;6;
83096;11/01/2015;1200;29.6;25.2;70;1015.4;9;2.5;6;
83096;11/01/2015;1800;30.9;25;62;1014.6;9;2.5;2;
83096;12/01/2015;0000;27.9;24;73;1014.8;9;2.5;8;
83096;12/01/2015;1200;28.9;24.6;69;1016.6;9;2.5;5;
83096;12/01/2015;1800;30.3;24.9;64;1015.2;9;3.3;2;
83096;13/01/2015;0000;27.8;24.2;74;1015.4;9;2.5;5;
83096;13/01/2015;1200;29.7;25;68;1015.1;9;2.5;2;
83096;13/01/2015;1800;30.7;24.8;62;1014;9;2.5;2;
83096;14/01/2015;0000;27.3;23.7;74;1015;9;3.3;4;
83096;14/01/2015;1200;29.8;25.1;68;1014.3;9;2.5;2;
83096;14/01/2015;1800;30.3;24.2;60;1013.8;9;3.3;2;
83096;15/01/2015;0000;27;23.3;73;1015.5;9;3.3;2;
83096;15/01/2015;1200;29.5;24.5;65;1014.7;9;2.5;2;
83096;15/01/2015;1800;30.5;24.4;60;1013.8;9;3.3;2;
83096;16/01/2015;0000;27.1;23.4;73;1014.5;9;3.3;2;
83096;16/01/2015;1200;29.5;24.2;64;1015.4;9;2.5;2;
83096;16/01/2015;1800;30.1;24;60;1013.4;9;3.3;2;
83096;17/01/2015;0000;27.1;23;71;1014;9;3.3;2;
83096;17/01/2015;1200;29.5;24.8;68;1014.9;9;2.5;2;
83096;17/01/2015;1800;30.2;24.3;61;1013;9;3.3;2;
83096;18/01/2015;0000;27.2;23.3;72;1013.6;9;3.3;2;
83096;18/01/2015;1200;29.4;24.9;69;1015.4;9;2.5;4;
83096;18/01/2015;1800;30.3;24.4;61;1013.5;9;3.3;2;
