--------------------
BDMEP - INMET
--------------------
Estação           : BELEM - PA (OMM: 82191)
Latitude  (graus) : -1.43
Longitude (graus) : -48.43
Altitude  (metros): 10.00
Estação Operante
Inicio de operação: 01/11/1923
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82191;01/01/2015;0000;24.4;23.6;93;1011.6;0;0;10;
82191;01/01/2015;1200;26.8;25.5;88;1012.9;5;0.3;10;
82191;01/01/2015;1800;26.8;25.2;86;1009.3;0;0;10;
82191;02/01/2015;0000;25.2;24.5;93;1011.7;0;0;10;
82191;02/01/2015;1200;27.6;25.6;84;1011.7;7;1.6;5;
82191;02/01/2015;1800;30.4;27.8;81;1009.6;0;0;8;
82191;03/01/2015;0000;26.9;24.9;83;1011.4;2;1.3;9;
82191;03/01/2015;1200;28.2;25.6;79;1012.4;5;1.8;8;
82191;03/01/2015;1800;31;27.3;73;1008.8;5;1.5;7;
82191;04/01/2015;0000;25.5;24.2;90;1011.4;0;0;8;
82191;04/01/2015;1200;27.5;25.5;83;1012.6;7;1.5;6;
82191;04/01/2015;1800;30.2;26.1;70;1010;9;3.1;10;
82191;05/01/2015;0000;25.9;24.5;88;1012.8;16;2.8;10;
82191;05/01/2015;1200;24.8;24.2;95;1013.9;0;0;10;
82191;05/01/2015;1800;23.6;23;93;1012.6;9;0.3;10;
82191;06/01/2015;0000;23;22.9;100;1012.3;0;0;8;
82191;06/01/2015;1200;26.5;25.3;90;1013.2;9;0.8;7;
82191;06/01/2015;1800;29.4;26.2;75;1010.2;5;0.6;7;
82191;07/01/2015;0000;23.9;23.4;96;1011.8;0;0;10;
82191;07/01/2015;1200;27.7;26;86;1011.6;5;0.3;8;
82191;07/01/2015;1800;28.6;27;89;1008.1;36;0.5;10;
