--------------------
BDMEP - INMET
--------------------
Estação           : BELO HORIZONTE - MG (OMM: 83587)
Latitude  (graus) : -19.93
Longitude (graus) : -43.93
Altitude  (metros): 915.00
Estação Operante
Inicio de operação: 03/03/1910
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83587;01/01/2015;0000;27.5;21.7;58;912.2;0;0;8;
83587;01/01/2015;1200;28.3;21.5;53;913.3;5;1.6;1;
83587;01/01/2015;1800;31.3;22.5;45;910.2;27;1.1;8;
83587;02/01/2015;0000;24.7;21.4;73;912.1;36;1.54332;9;
83587;02/01/2015;1200;28.7;21.8;52;912.7;36;1.6;1;
83587;02/01/2015;1800;30.2;21.9;46;911.3;14;1.1;9;
83587;03/01/2015;0000;26;21.3;65;912.2;0;0;6;
83587;03/01/2015;1200;29;21;47;913;5;1.6;3;
83587;03/01/2015;1800;27.9;21.9;59;910.9;23;1.8;8;
83587;04/01/2015;0000;26.7;21.1;60;911;5;1.3;4;
83587;04/01/2015;1200;23.7;20.7;75;915.6;23;1.5;7;
83587;04/01/2015;1800;28.9;21.3;49;911.7;32;1.5;8;
83587;05/01/2015;0000;26.1;20.5;59;913.4;5;1.1;8;
83587;05/01/2015;1200;25.1;19.5;57;914.2;5;1.4;6;
83587;05/01/2015;1800;28.7;20.3;44;913.1;5;1;8;
83587;06/01/2015;0000;25.4;19.3;55;914.3;5;1.3;1;
83587;06/01/2015;1200;23.7;20.3;72;915.4;5;1.6;4;
83587;06/01/2015;1800;28.5;20.8;49;913.6;14;1.6;9;
83587;07/01/2015;0000;24.5;17.3;47;914.2;5;1.8;0;
83587;07/01/2015;1200;23.7;18.6;59;915.5;5;3;6;
83587;07/01/2015;1800;26.8;19.3;47;914.4;5;1.1;3;
83587;08/01/2015;0000;22.6;18.6;66;914.3;5;0.7;0;
83587;08/01/2015;1200;22.1;17.9;66;916;5;1;6;
83587;08/01/2015;1800;29.1;19.1;36;913.6;5;1.8;3;
83587;09/01/2015;0000;24.2;16.6;43;913.6;5;0.8;0;
83587;09/01/2015;1200;23.7;18.1;56;915.6;5;0.8;3;
83587;09/01/2015;1800;28.9;17.7;30;913;5;0.8;6;
83587;10/01/2015;0000;25.1;17.1;42;914.1;5;0.7;8;
83587;10/01/2015;1200;25.6;19.5;54;915;5;1;0;
83587;10/01/2015;1800;31.3;20.3;34;912.6;36;0.7;4;
83587;11/01/2015;0000;26.7;18.7;45;911.8;5;0.7;0;
83587;11/01/2015;1200;26.1;18.7;48;914.5;5;1;0;
83587;11/01/2015;1800;31.3;18.7;27;912.1;5;1.5;0;
83587;12/01/2015;0000;26.9;18.9;44;912.6;5;1.8;0;
83587;12/01/2015;1200;27.2;18.3;40;915;36;0.5;0;
83587;12/01/2015;1800;32;18.8;25;911.9;5;0.2;2;
83587;13/01/2015;0000;27.3;18;38;911.8;36;1.3;0;
83587;13/01/2015;1200;27.3;19.9;49;914.4;5;0.7;0;
83587;13/01/2015;1800;32.3;20.4;32;910.4;5;0.7;4;
83587;14/01/2015;0000;27.1;18.7;43;912.8;;;0;
83587;14/01/2015;1200;25.7;18.9;50;914.3;5;0.7;0;
83587;14/01/2015;1800;31.1;20.9;37;911.6;5;0.3;4;
83587;15/01/2015;0000;25.5;18.9;52;912.1;14;1.3;0;
83587;15/01/2015;1200;23.3;18.1;59;914.3;14;0.8;6;
83587;15/01/2015;1800;28.3;19.3;41;913.4;9;1.6;9;
83587;16/01/2015;0000;25.5;18.1;47;914.1;5;0.3;2;
83587;16/01/2015;1200;25.8;19.3;52;915.4;5;1.3;2;
83587;16/01/2015;1800;29.9;19.4;35;913.4;5;1.1;5;
83587;17/01/2015;0000;25.7;18.3;46;913;9;2;0;
83587;17/01/2015;1200;26.2;19.3;50;914.8;9;0.7;7;
83587;17/01/2015;1800;30.7;18.9;30;911.8;;;1;
83587;18/01/2015;0000;26.4;18.2;43;912.3;9;0.7;0;
83587;18/01/2015;1200;26.3;19.1;48;914.3;14;1.3;0;
83587;18/01/2015;1800;31.9;19.3;27;911.8;14;1.1;1;
83587;19/01/2015;0000;27.3;18.3;40;911.6;14;1.3;0;
83587;19/01/2015;1200;25;18.7;54;914.1;14;0.8;2;
83587;19/01/2015;1800;31.1;20;33;912.3;36;1.6;4;
83587;20/01/2015;0000;26.1;18.5;47;911.9;5;0.8;0;
83587;20/01/2015;1200;25.3;18.5;50;912;14;1.8;1;
83587;20/01/2015;1800;31.3;19.2;29;910;14;1.8;1;
83587;21/01/2015;0000;27.5;18.3;38;910.7;9;0.8;0;
83587;21/01/2015;1200;27.4;19;42;912.1;9;0.7;4;
83587;21/01/2015;1800;32.4;20.4;31;910.3;;;0;
83587;22/01/2015;0000;26.1;19.4;52;909.9;;;0;
83587;22/01/2015;1200;26.9;19.3;47;913.6;14;1.3;1;
