--------------------
BDMEP - INMET
--------------------
Estação           : BOA VISTA - RR (OMM: 82024)
Latitude  (graus) : 2.82
Longitude (graus) : -60.66
Altitude  (metros): 83.00
Estação Operante
Inicio de operação: 01/01/1923
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82024;01/01/2015;0000;28.1;;66;;9;1.02888;0;
82024;01/01/2015;1200;27.8;;67;;5;2.5722;2.5;
82024;01/01/2015;1800;32.2;;48;;3;2.05776;6.25;
82024;02/01/2015;0000;28.2;;69;;5;1.02888;2.5;
82024;02/01/2015;1200;25.8;;80;;5;1.02888;3.75;
82024;02/01/2015;1800;33.1;;46;;5;2.05776;6.25;
82024;03/01/2015;0000;28.6;;61;;5;3.08664;3.75;
82024;03/01/2015;1200;27;;71;;5;2.05776;0;
82024;03/01/2015;1800;33.8;;37;;5;3.08664;2.5;
82024;04/01/2015;0000;28.6;;59;;5;2.05776;0;
82024;04/01/2015;1200;27.6;;69;;5;2.05776;3.75;
82024;04/01/2015;1800;34;;44;;5;1.02888;3.75;
82024;05/01/2015;0000;29.8;;59;;5;1.02888;0;
82024;05/01/2015;1200;26.1;;74;;5;2.05776;7.5;
82024;05/01/2015;1800;31.8;;50;;5;2.05776;10;
82024;06/01/2015;0000;28.8;;70;;9;1.02888;3.75;
82024;06/01/2015;1200;25.3;;74;;5;4.11552;10;
82024;06/01/2015;1800;32.9;;41;;5;2.05776;10;
82024;07/01/2015;0000;28.5;;65;;5;1.02888;0;
82024;07/01/2015;1200;25.8;;78;;5;3.08664;10;
82024;07/01/2015;1800;33.2;;44;;5;2.05776;8.75;
82024;08/01/2015;0000;29.2;;59;;9;1.02888;3.75;
82024;08/01/2015;1200;25.5;;73;;5;2.05776;10;
82024;08/01/2015;1800;32.7;;50;;5;3.08664;10;
82024;09/01/2015;0000;29.6;;60;;5;2.05776;0;
82024;09/01/2015;1200;26.2;;76;;5;4.11552;10;
82024;09/01/2015;1800;33.7;;46;;5;1.02888;10;
82024;10/01/2015;0000;29.8;;60;;9;1.02888;0;
82024;10/01/2015;1200;26;;80;;5;2.05776;10;
82024;10/01/2015;1800;32.7;;48;;5;2.05776;10;
82024;11/01/2015;0000;27.8;;76;;9;1.02888;6.25;
82024;11/01/2015;1200;26.3;;76;;5;1.02888;10;
82024;11/01/2015;1800;;;;;5;1.02888;10;
82024;12/01/2015;0000;29.3;;62;;5;1.02888;0;
82024;12/01/2015;1200;26.6;;79;;5;1.54332;10;
82024;12/01/2015;1800;31.8;;51;;5;2.05776;7.5;
82024;13/01/2015;0000;28.2;;68;;5;1.02888;0;
82024;13/01/2015;1200;28.2;;69;;9;2.05776;0;
82024;13/01/2015;1800;32.8;;50;;9;2.05776;6.25;
82024;14/01/2015;0000;28.5;;72;;0;0;0;
82024;14/01/2015;1200;27.7;;70;;5;2.05776;6.25;
82024;14/01/2015;1800;31.5;;62;;9;2.05776;7.5;
82024;15/01/2015;0000;29.6;;63;;5;2.5722;3.75;
82024;15/01/2015;1200;26.3;;79;;5;1.54332;10;
82024;15/01/2015;1800;32.2;;53;;5;1.02888;6.25;
82024;16/01/2015;0000;27.2;;84;;0;0;3.75;
82024;16/01/2015;1200;27.8;;69;;5;2.05776;2.5;
82024;16/01/2015;1800;32.3;;50;;5;1.54332;7.5;
82024;17/01/2015;0000;28.2;;65;;5;2.05776;0;
82024;17/01/2015;1200;26.7;;73;;5;1.54332;0;
82024;17/01/2015;1800;36;;40;;5;1.54332;6.25;
82024;18/01/2015;0000;29.1;;85;;5;1.02888;0;
82024;18/01/2015;1200;27.7;;71;;9;2.05776;8.75;
82024;18/01/2015;1800;34.4;;53;;5;1.02888;7.5;
82024;19/01/2015;0000;29.7;;59;;0;0;0;
82024;19/01/2015;1200;26.3;;77;;5;2.05776;10;
82024;19/01/2015;1800;32;;55;;5;1.02888;10;
82024;20/01/2015;0000;28.8;;71;;9;1.02888;0;
82024;20/01/2015;1200;25.8;;81;;5;2.05776;10;
82024;20/01/2015;1800;32;;59;;9;1.02888;10;
82024;21/01/2015;0000;25.7;;88;;0;0;2.5;
82024;21/01/2015;1200;25.9;;84;;9;1.02888;10;
82024;21/01/2015;1800;32.9;;47;;5;3.08664;10;
82024;22/01/2015;0000;29.9;;64;;0;0;3.75;
82024;22/01/2015;1200;24.7;;90;;5;2.05776;10;
82024;22/01/2015;1800;31.6;;53;;9;3.08664;10;
82024;23/01/2015;0000;28.5;;70;;9;1.02888;6.25;
82024;23/01/2015;1200;25.9;;75;;5;3.08664;10;
82024;23/01/2015;1800;33.7;;42;;5;3.08664;10;
82024;24/01/2015;0000;28.8;;63;;0;0;0;
82024;24/01/2015;1200;25.9;;72;;5;2.05776;10;
82024;24/01/2015;1800;34.5;;40;;5;3.08664;10;
82024;25/01/2015;0000;29.5;;59;;0;0;0;
82024;25/01/2015;1200;26.7;;70;;5;4.11552;10;
82024;25/01/2015;1800;34.7;;49;;5;4.11552;10;
