--------------------
BDMEP - INMET
--------------------
Estação           : BOM JESUS DA LAPA - BA (OMM: 83288)
Latitude  (graus) : -13.26
Longitude (graus) : -43.41
Altitude  (metros): 439.96
Estação Operante
Inicio de operação: 01/11/1941
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83288;01/01/2015;0000;29.7;23.7;59;961.5;18;0.7;4;
83288;01/01/2015;1200;28.1;22.5;61;966;0;0;0;
83288;01/01/2015;1800;33.3;22.9;39;960.9;9;1.1;0;
83288;02/01/2015;0000;27.9;21.5;55;961.9;0;0;0;
83288;02/01/2015;1200;27.3;22.3;64;964.1;0;0;0;
83288;02/01/2015;1800;33;23.5;43;960.8;36;0.7;4;
83288;03/01/2015;0000;29.3;22.9;56;961.3;0;0;0;
83288;03/01/2015;1200;27.7;22.1;60;963.4;0;0;0;
83288;03/01/2015;1800;34.5;21.6;28;959.3;9;0.7;1;
83288;04/01/2015;0000;27.1;20.3;51;961.2;14;0.7;0;
83288;04/01/2015;1200;27.3;21.5;58;963.9;14;1;0;
83288;04/01/2015;1800;32.8;22.7;40;961.2;27;1;4;
83288;05/01/2015;0000;27.7;21.9;59;962;23;0.7;3;
83288;05/01/2015;1200;28.1;22.3;59;965.9;0;0;5;
83288;05/01/2015;1800;32.8;23.3;43;962.2;0;0;6;
83288;06/01/2015;0000;29.1;22.5;56;963.6;0;0;0;
83288;06/01/2015;1200;27.9;21.9;58;965.3;14;0.7;3;
83288;06/01/2015;1800;33.2;23.5;42;962.2;23;1;5;
83288;07/01/2015;0000;27.3;22.1;63;963;9;1;3;
83288;07/01/2015;1200;28.3;22.7;61;964.9;0;0;3;
83288;07/01/2015;1800;32.7;23.5;44;961.6;0;0;5;
83288;08/01/2015;0000;27.7;22.6;63;962.1;14;1.1;5;
83288;08/01/2015;1200;26.9;21.7;62;965.7;14;0.7;3;
83288;08/01/2015;1800;33.2;22.9;43;961;14;1;4;
83288;09/01/2015;0000;27.3;20.3;50;962.3;18;1.3;0;
83288;09/01/2015;1200;27;22.1;63;966.6;5;1.1;5;
83288;09/01/2015;1800;33.7;24.1;43;962.3;0;0;6;
83288;10/01/2015;0000;28.5;22.8;60;962.8;0;0;0;
83288;10/01/2015;1200;27.1;22.7;68;966.3;14;0.7;3;
83288;10/01/2015;1800;32.6;23.7;46;962.1;9;0.7;5;
83288;11/01/2015;0000;27.7;21.7;58;962;14;1;0;
83288;11/01/2015;1200;28.5;22.4;57;966;9;1.6;3;
83288;11/01/2015;1800;35.2;23.9;37;961.9;5;0.7;6;
83288;12/01/2015;0000;28.8;22.3;56;962.9;14;1.1;5;
83288;12/01/2015;1200;28.9;21.7;51;965.9;9;1.3;2;
83288;12/01/2015;1800;35.3;22.1;28;961;9;1.7;4;
83288;13/01/2015;0000;29.7;20.9;43;962.2;9;1;2;
83288;13/01/2015;1200;28.4;22;56;964.8;9;1.6;4;
83288;13/01/2015;1800;35.4;22.3;30;960.6;14;1.6;6;
83288;14/01/2015;0000;29.3;21.3;42;962.7;0;0;0;
83288;14/01/2015;1200;27.7;21.3;55;964.9;14;0.7;6;
83288;14/01/2015;1800;31.3;20;32;962.2;14;1;10;
83288;15/01/2015;0000;26.7;20.9;58;962.5;14;1;0;
83288;15/01/2015;1200;26.5;21.3;61;964.9;14;1.6;5;
83288;15/01/2015;1800;35;23.9;38;961.3;0;0;7;
83288;16/01/2015;0000;28.2;21.1;53;963;0;0;0;
83288;16/01/2015;1200;27.7;22.3;62;965.5;9;1;4;
83288;16/01/2015;1800;33.6;23.7;41;960.8;14;1.3;5;
83288;17/01/2015;0000;27.7;21.3;55;962.3;14;1;0;
83288;17/01/2015;1200;28.5;21.9;54;964.8;14;1.6;5;
83288;17/01/2015;1800;35.2;23.8;37;960.4;0;0;6;
83288;18/01/2015;0000;28.9;21.7;51;961.7;0;0;0;
83288;18/01/2015;1200;28.3;21.9;56;964.7;9;0.7;5;
83288;18/01/2015;1800;34.6;23.7;39;960.2;14;1;5;
83288;19/01/2015;0000;28.9;21.1;47;960.4;14;0.7;3;
83288;19/01/2015;1200;29.5;22;50;964.6;14;1.3;3;
83288;19/01/2015;1800;36.2;24;34;960.1;0;0;0;
83288;20/01/2015;0000;29.5;21;45;961.8;14;0.7;0;
83288;20/01/2015;1200;28.9;22;52;963.5;0;0;0;
83288;20/01/2015;1800;36.6;24.3;33;958.3;23;1.1;5;
83288;21/01/2015;0000;29.1;20.6;44;959.5;0;0;0;
83288;21/01/2015;1200;29.9;22.3;50;963.2;9;1;0;
83288;21/01/2015;1800;36.2;24.3;35;958.3;27;0.7;5;
83288;22/01/2015;0000;23.4;19.4;67;961.3;5;1.3;10;
83288;22/01/2015;1200;26.3;21.7;66;964.1;5;0.7;4;
83288;22/01/2015;1800;33.8;24.5;45;959.3;36;1;5;
