--------------------
BDMEP - INMET
--------------------
Estação           : BRASILIA - DF (OMM: 83377)
Latitude  (graus) : -15.78
Longitude (graus) : -47.92
Altitude  (metros): 1159.54
Estação Operante
Inicio de operação: 12/09/1961
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83377;01/01/2015;0000;20.7;18;76;886.9;0;0;0;
83377;01/01/2015;1200;25.8;19.8;56;888.3;5;2;2.5;
83377;01/01/2015;1800;29.6;20.4;41;885.8;0;0;5;
83377;02/01/2015;0000;23.5;17.8;57;886.6;0;0;1.25;
83377;02/01/2015;1200;26.6;20.5;57;888.5;0;0;1.25;
83377;02/01/2015;1800;23.7;19.6;67;886.7;0;0;7;
83377;03/01/2015;0000;22.6;19.6;74;887.3;0;0;6.25;
83377;03/01/2015;1200;26.8;21.5;61;887.5;0;0;3;
83377;03/01/2015;1800;21.7;18.5;74;884.5;0;0;8.75;
83377;04/01/2015;0000;21.5;19.5;82;886.7;0;0;8;
83377;04/01/2015;1200;21.4;19.4;82;889.4;14;4;8.75;
83377;04/01/2015;1800;26.8;20.8;56;886.7;14;6;7.5;
83377;05/01/2015;0000;23.1;19.2;68;887.5;0;0;1.25;
83377;05/01/2015;1200;23.6;19.2;65;888.6;5;2;8;
83377;05/01/2015;1800;28.4;18.2;35;887;5;4;4;
83377;06/01/2015;0000;23.5;19.1;66;887.8;0;0;8;
83377;06/01/2015;1200;24.8;19.7;61;889.4;5;1.02888;7;
83377;06/01/2015;1800;27.5;18.2;38;887.7;9;3;7;
83377;07/01/2015;0000;23.5;18.4;61;888.6;0;0;0;
83377;07/01/2015;1200;23;17.6;58;889.1;14;3;7.5;
