--------------------
BDMEP - INMET
--------------------
Estação           : CAMPINA GRANDE - PB (OMM: 82795)
Latitude  (graus) : -7.22
Longitude (graus) : -35.88
Altitude  (metros): 547.56
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82795;01/01/2015;0000;22.5;20.9;86;954.1;9;4;7;
82795;02/01/2015;0000;22.5;21.3;89;953.3;9;4.1;7;
82795;02/01/2015;1200;25.1;22.6;80;953.8;9;3.8;9;
82795;02/01/2015;1800;22.3;21.2;91;951.4;9;2.8;10;
82795;03/01/2015;0000;21;20.2;93;953.9;9;2.8;10;
82795;03/01/2015;1200;22.7;21;85;953.4;14;2.5;6;
82795;03/01/2015;1800;28.5;22;55;950.3;9;2.8;7;
82795;04/01/2015;0000;22.2;20.5;85;953.1;9;3.5;7;
82795;04/01/2015;1200;23.9;20.7;74;954.2;9;2.6;6;
82795;04/01/2015;1800;28.5;21.9;53;951.3;9;3.5;7;
82795;05/01/2015;0000;22;20.4;86;954.5;9;3.3;6;
82795;05/01/2015;1200;23.7;21.8;83;955.8;9;3.1;9;
82795;05/01/2015;1800;29.2;22;52;952.1;9;4.1;6;
82795;06/01/2015;0000;22.5;21.2;89;955.1;9;3;7;
82795;06/01/2015;1200;24.7;21.9;77;954.8;9;3.1;7;
82795;06/01/2015;1800;29.7;22.1;50;952;9;4.6;7;
82795;07/01/2015;0000;22.8;21;85;955.1;9;3.5;8;
82795;07/01/2015;1200;24.5;20.5;69;954;9;4.5;8;
82795;07/01/2015;1800;28.6;21.7;53;951.3;14;4.6;10;
82795;08/01/2015;0000;22.3;20.6;86;954.1;9;4.5;8;
82795;08/01/2015;1200;24;20.5;72;954.4;14;5.1;7;
82795;08/01/2015;1800;28.7;21.8;53;951.5;9;5;4;
82795;09/01/2015;0000;22.6;20.5;82;954.4;9;4.6;7;
82795;09/01/2015;1200;24.5;21;72;953.9;9;4.1;8;
82795;09/01/2015;1800;28.5;21.9;54;951.4;9;4.5;5;
