--------------------
BDMEP - INMET
--------------------
Estação           : CARACARAI - RR (OMM: 82042)
Latitude  (graus) : 1.83
Longitude (graus) : -61.12
Altitude  (metros): 60.00
Estação Operante
Inicio de operação: 11/01/1970
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82042;01/01/2015;0000;27.6;;68;;0;0;6.25;
82042;01/01/2015;1200;26;;79;;5;3.08664;5;
82042;01/01/2015;1800;32.2;;63;;5;3.08664;7.5;
82042;02/01/2015;0000;28.6;;66;;0;0;6.25;
82042;02/01/2015;1200;26;;72;;5;3.08664;7.5;
82042;02/01/2015;1800;33.4;;48;;5;3.08664;7.5;
82042;03/01/2015;0000;27.8;;77;;0;0;7.5;
82042;03/01/2015;1200;26.8;;73;;5;3.08664;6.25;
82042;03/01/2015;1800;33.2;;57;;5;3.08664;7.5;
82042;04/01/2015;0000;29.4;;62;;0;0;6.25;
82042;04/01/2015;1200;27.2;;69;;5;3.08664;5;
82042;04/01/2015;1800;34.6;;44;;5;2.05776;6.25;
82042;05/01/2015;0000;30;;64;;0;0;6.25;
82042;05/01/2015;1200;26;;71;;5;3.08664;7.5;
82042;05/01/2015;1800;31.6;;51;;5;2.05776;7.5;
82042;06/01/2015;0000;29.4;;62;;0;0;7.5;
82042;06/01/2015;1200;25.4;;65;;0;0;5;
82042;06/01/2015;1800;33.6;;40;;5;2.05776;6.25;
82042;07/01/2015;0000;29.4;;62;;0;0;6.25;
82042;07/01/2015;1200;26.4;;65;;5;2.05776;7.5;
82042;07/01/2015;1800;23.4;;99;;0;0;7.5;
82042;08/01/2015;0000;29.4;;77;;0;0;7.5;
82042;08/01/2015;1200;26.8;;75;;5;2.05776;7.5;
82042;08/01/2015;1800;33.2;;50;;5;3.08664;7.5;
82042;09/01/2015;0000;28.8;;70;;0;0;7.5;
82042;09/01/2015;1200;26.4;;76;;0;0;7.5;
82042;09/01/2015;1800;32;;50;;5;2.05776;7.5;
82042;10/01/2015;0000;29;;71;;0;0;7.5;
82042;10/01/2015;1200;26.2;;80;;5;2.05776;7.5;
82042;10/01/2015;1800;32.4;;60;;5;2.05776;7.5;
82042;11/01/2015;0000;26.6;;87;;0;0;7.5;
82042;11/01/2015;1200;25.8;;83;;5;2.05776;7.5;
82042;11/01/2015;1800;26.6;;86;;0;0;7.5;
82042;12/01/2015;0000;27.8;;88;;0;0;7.5;
82042;12/01/2015;1200;24;;95;;0;0;8.75;
82042;12/01/2015;1800;33;;50;;0;0;7.5;
82042;13/01/2015;0000;28;;75;;0;0;7.5;
82042;13/01/2015;1200;26.2;;81;;5;2.05776;6.25;
82042;13/01/2015;1800;33.4;;49;;5;2.05776;7.5;
82042;14/01/2015;0000;26;;92;;0;0;7.5;
82042;14/01/2015;1200;25.6;;87;;0;0;7.5;
82042;14/01/2015;1800;33.4;;54;;5;2.05776;7.5;
82042;15/01/2015;0000;27.6;;88;;0;0;7.5;
82042;15/01/2015;1200;25.6;;93;;0;0;7.5;
82042;15/01/2015;1800;31.4;;59;;9;2.05776;7.5;
82042;16/01/2015;0000;27;;84;;0;0;7.5;
82042;16/01/2015;1200;25.2;;90;;0;0;7.5;
82042;16/01/2015;1800;33;;53;;0;0;7.5;
82042;17/01/2015;0000;27.6;;83;;0;0;7.5;
82042;17/01/2015;1200;25.6;;82;;0;0;7.5;
82042;17/01/2015;1800;33.2;;55;;5;2.05776;7.5;
82042;18/01/2015;0000;29.8;;68;;0;0;10;
82042;18/01/2015;1200;25.2;;93;;0;0;7.5;
82042;18/01/2015;1800;31.4;;60;;0;0;7.5;
82042;19/01/2015;0000;28.6;;83;;0;0;7.5;
82042;19/01/2015;1200;25;;84;;0;0;6.25;
82042;19/01/2015;1800;32;;59;;0;0;7.5;
82042;20/01/2015;0000;28;;82;;0;0;8.75;
82042;20/01/2015;1200;26.4;;84;;5;2.05776;6.25;
82042;20/01/2015;1800;32;;55;;5;2.05776;7.5;
82042;21/01/2015;0000;24.6;;93;;0;0;8.75;
82042;21/01/2015;1200;24;;97;;0;0;10;
82042;21/01/2015;1800;28.6;;72;;5;2.05776;7.5;
82042;22/01/2015;0000;26.6;;83;;0;0;7.5;
82042;22/01/2015;1200;25.2;;84;;5;2.05776;7.5;
82042;22/01/2015;1800;32.6;;53;;5;3.08664;7.5;
82042;23/01/2015;0000;27.8;;78;;0;0;7.5;
82042;23/01/2015;1200;25.4;;91;;0;0;7.5;
82042;23/01/2015;1800;33;;60;;5;2.05776;7.5;
82042;24/01/2015;0000;29;;70;;0;0;7.5;
82042;24/01/2015;1200;25.6;;90;;5;3.08664;6.25;
82042;24/01/2015;1800;33.4;;57;;5;2.05776;7.5;
82042;25/01/2015;0000;29.4;;77;;0;0;6.25;
82042;25/01/2015;1200;26.4;;76;;5;2.05776;6.25;
82042;25/01/2015;1800;33.4;;48;;5;2.05776;7.5;
82042;26/01/2015;0000;29;;78;;0;0;6.25;
82042;26/01/2015;1200;26.6;;75;;5;2.05776;6.25;
82042;26/01/2015;1800;33;;52;;5;2.05776;7.5;
82042;27/01/2015;0000;29.4;;77;;0;0;6.25;
82042;27/01/2015;1200;25;;86;;5;2.05776;6.25;
82042;27/01/2015;1800;32.2;;46;;5;3.08664;7.5;
82042;28/01/2015;0000;29;;69;;0;0;6.25;
82042;28/01/2015;1200;25.4;;81;;5;2.05776;6.25;
82042;28/01/2015;1800;32.8;;51;;5;2.05776;7.5;
82042;29/01/2015;0000;28.8;;73;;0;0;7.5;
82042;29/01/2015;1200;23.4;;94;;0;0;10;
82042;29/01/2015;1800;28.6;;72;;5;2.05776;8.75;
82042;30/01/2015;0000;27;;93;;0;0;7.5;
82042;30/01/2015;1200;26.6;;76;;5;3.08664;5;
82042;30/01/2015;1800;33.4;;58;;5;2.05776;7.5;
82042;31/01/2015;0000;29.2;;70;;0;0;6.25;
82042;31/01/2015;1200;25.2;;84;;5;2.05776;7.5;
82042;31/01/2015;1800;33;;50;;5;3.08664;7.5;
82042;01/02/2015;0000;29;;80;;0;0;7.5;
82042;01/02/2015;1200;25.6;;85;;5;2.05776;6.25;
82042;01/02/2015;1800;30.4;;68;;5;2.05776;7.5;
82042;02/02/2015;0000;29.4;;77;;0;0;7.5;
82042;02/02/2015;1200;26.2;;75;;5;2.05776;7.5;
82042;02/02/2015;1800;31.6;;58;;5;2.05776;7.5;
82042;03/02/2015;0000;28;;72;;0;0;7.5;
82042;03/02/2015;1200;24.6;;85;;0;0;8.75;
82042;03/02/2015;1800;33.6;;53;;5;2.05776;7.5;
82042;04/02/2015;0000;29;;71;;0;0;6.25;
82042;04/02/2015;1200;25.4;;86;;5;3.08664;6.25;
82042;04/02/2015;1800;33.8;;47;;5;2.05776;7.5;
82042;05/02/2015;0000;29;;59;;0;0;7.5;
82042;05/02/2015;1200;24.8;;74;;5;2.05776;6.25;
82042;05/02/2015;1800;32.6;;47;;5;2.05776;7.5;
82042;06/02/2015;0000;28.8;;60;;0;0;7.5;
82042;06/02/2015;1200;23.8;;88;;5;3.08664;5;
82042;06/02/2015;1800;31.6;;53;;5;2.05776;7.5;
