--------------------
BDMEP - INMET
--------------------
Estação           : CRUZEIRO DO SUL - AC (OMM: 82704)
Latitude  (graus) : -7.6
Longitude (graus) : -72.66
Altitude  (metros): 170.00
Estação Operante
Inicio de operação: 01/01/1928
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82704;01/01/2015;0000;26.3;;90;;0;0;5;
82704;03/01/2015;0000;25.5;;89;;0;0;3.75;
82704;04/01/2015;0000;26.3;;88;;0;0;1.25;
82704;04/01/2015;1200;24.8;;96;;0;0;10;
82704;05/01/2015;0000;25.8;;86;;0;0;10;
82704;05/01/2015;1200;24.2;;94;;0;0;10;
82704;06/01/2015;0000;24.3;;92;;0;0;10;
82704;06/01/2015;1200;23.2;;96;;0;0;10;
82704;07/01/2015;0000;24.9;;92;;0;0;2.5;
82704;07/01/2015;1200;23.8;;93;;0;0;10;
82704;08/01/2015;0000;26.4;;87;;0;0;0;
82704;08/01/2015;1200;24;;94;;0;0;10;
82704;09/01/2015;0000;25.3;;85;;0;0;3.75;
82704;09/01/2015;1200;24;;96;;0;0;10;
82704;10/01/2015;0000;26.5;;85;;0;0;2.5;
82704;10/01/2015;1200;24.9;;91;;0;0;10;
82704;11/01/2015;0000;24.8;;95;;0;0;10;
82704;11/01/2015;1200;24.2;;95;;0;0;7.5;
82704;12/01/2015;0000;26.9;;83;;0;0;6.25;
82704;12/01/2015;1200;23.8;;98;;0;0;10;
82704;13/01/2015;0000;24.9;;90;;0;0;3.75;
82704;13/01/2015;1200;23.4;;94;;0;0;10;
82704;14/01/2015;0000;24.6;;93;;0;0;10;
82704;14/01/2015;1200;23.1;;93;;0;0;7.5;
82704;15/01/2015;0000;25.9;;96;;0;0;10;
82704;15/01/2015;1200;23;;97;;0;0;10;
82704;16/01/2015;0000;27.5;;85;;0;0;1.25;
82704;16/01/2015;1200;25;;92;;0;0;8.75;
82704;17/01/2015;0000;27.1;;86;;0;0;7.5;
82704;19/01/2015;1200;23.2;;96;;0;0;10;
82704;20/01/2015;0000;24.4;;90;;0;0;10;
82704;20/01/2015;1200;23.8;;97;;0;0;10;
82704;21/01/2015;0000;26.5;;85;;0;0;10;
82704;21/01/2015;1200;23.4;;96;;0;0;10;
82704;22/01/2015;1200;25;;94;;0;0;10;
82704;23/01/2015;0000;26.5;;83;;0;0;1.25;
82704;23/01/2015;1200;25.1;;91;;0;0;10;
82704;24/01/2015;0000;24.1;;94;;0;0;10;
82704;24/01/2015;1200;23.6;;97;;0;0;10;
82704;25/01/2015;0000;25;;93;;0;0;10;
82704;25/01/2015;1200;23.7;;95;;0;0;10;
82704;26/01/2015;0000;25.5;;94;;0;0;10;
82704;26/01/2015;1200;23.1;;96;;0;0;10;
82704;27/01/2015;0000;25.3;;90;;0;0;10;
82704;27/01/2015;1200;22.4;;97;;0;0;10;
82704;28/01/2015;0000;23.4;;95;;0;0;10;
82704;29/01/2015;0000;25.7;;88;;9;3.08664;8.75;
82704;29/01/2015;1200;24;;97;;0;0;7.5;
82704;30/01/2015;0000;25.7;;90;;0;0;8.75;
82704;30/01/2015;1200;22.8;;98;;0;0;10;
82704;31/01/2015;1200;23.5;;95;;0;0;10;
82704;01/02/2015;0000;24.9;;88;;0;0;7.5;
82704;01/02/2015;1200;23.7;;95;;0;0;8.75;
82704;02/02/2015;0000;24.7;;92;;0;0;3.75;
82704;02/02/2015;1200;22.9;;98;;0;0;10;
82704;03/02/2015;0000;24.6;;94;;0;0;2.5;
82704;03/02/2015;1200;22.8;;97;;0;0;10;
82704;04/02/2015;0000;29.4;;76;;0;0;7.5;
82704;04/02/2015;1200;24;;96;;0;0;3.75;
82704;05/02/2015;0000;26.6;;82;;5;3.08664;8.75;
82704;05/02/2015;1200;25;;93;;0;0;5;
82704;06/02/2015;0000;26.7;;91;;0;0;7.5;
82704;06/02/2015;1200;24.1;;94;;0;0;8.75;
82704;07/02/2015;0000;24.1;;94;;0;0;3.75;
82704;07/02/2015;1200;24.7;;94;;0;0;7.5;
82704;08/02/2015;0000;26.5;;86;;0;0;10;
82704;08/02/2015;1200;24;;96;;0;0;3.75;
82704;09/02/2015;0000;29.4;;76;;0;0;7.5;
82704;09/02/2015;1200;24.5;;94;;0;0;10;
82704;10/02/2015;0000;25.7;;90;;0;0;7.5;
82704;10/02/2015;1200;23.7;;98;;0;0;10;
82704;11/02/2015;0000;26.3;;87;;0;0;10;
82704;11/02/2015;1200;23.5;;96;;0;0;10;
82704;12/02/2015;0000;26.5;;93;;0;0;10;
82704;12/02/2015;1200;24.1;;95;;0;0;10;
82704;13/02/2015;0000;25.9;;93;;0;0;0;
82704;19/02/2015;1200;23.8;;97;;0;0;10;
82704;24/04/2015;0000;24.1;;94;;0;0;10;
82704;05/05/2015;1200;23.3;;96;;0;0;3.75;
82704;06/05/2015;0000;24.7;;90;;0;0;5;
82704;06/05/2015;1200;22.7;;99;;0;0;8.75;
82704;07/05/2015;0000;25.3;;90;;0;0;0;
82704;07/05/2015;1200;23.3;;96;;0;0;10;
82704;08/05/2015;0000;23.3;;99;;0;0;2.5;
82704;08/05/2015;1200;23.1;;96;;0;0;10;
82704;08/05/2015;1800;28.6;;73;;0;0;10;
82704;09/05/2015;0000;25.3;;92;;0;0;0;
82704;09/05/2015;1200;23.3;;98;;0;0;3.75;
82704;10/05/2015;0000;26.1;;91;;0;0;2.5;
82704;10/05/2015;1200;24.1;;98;;0;0;0;
82704;11/05/2015;0000;26.3;;77;;0;0;10;
82704;11/05/2015;1200;24;;98;;0;0;8.75;
82704;12/05/2015;0000;26.7;;89;;0;0;1.25;
82704;12/05/2015;1200;22.9;;91;;9;3.08664;10;
82704;13/05/2015;0000;24;;86;;9;1.02888;10;
82704;13/05/2015;1200;24;;86;;0;0;10;
82704;14/05/2015;0000;26.9;;87;;0;0;8.75;
82704;14/05/2015;1200;23.8;;87;;0;0;10;
82704;14/05/2015;1800;30.3;;75;987.6;5;1.02888;7.5;
82704;15/05/2015;0000;27.8;;76;;18;1.02888;0;
82704;15/05/2015;1200;24;;88;;0;0;10;
82704;16/05/2015;0000;25;;96;;0;0;8.75;
82704;16/05/2015;1200;25;;90;;14;1.02888;10;
82704;17/05/2015;0000;22.7;;92;;36;3.08664;8.75;
82704;17/05/2015;1200;25;;96;;23;1.02888;10;
82704;18/05/2015;0000;26.5;;90;;0;0;8.75;
82704;18/05/2015;1200;22.6;;98;;0;0;7.5;
82704;19/05/2015;0000;26.7;;89;;0;0;0;
82704;19/05/2015;1200;23.1;;96;;0;0;3.75;
82704;20/05/2015;0000;27.7;;87;;0;0;0;
82704;20/05/2015;1200;24;;96;;0;0;10;
82704;21/05/2015;0000;24.8;;96;;0;0;8.75;
82704;21/05/2015;1200;23.4;;97;;0;0;8.75;
82704;22/05/2015;0000;25.7;;92;;0;0;8.75;
82704;22/05/2015;1200;23.5;;98;;0;0;7.5;
82704;23/05/2015;0000;27.1;;93;;0;0;8.75;
82704;23/05/2015;1200;23.7;;96;;0;0;10;
82704;24/05/2015;0000;25.3;;92;;0;0;8.75;
82704;24/05/2015;1200;23.3;;96;;0;0;0;
82704;25/05/2015;0000;25.7;;88;;18;1.02888;3.75;
82704;25/05/2015;1200;23.7;;96;;0;0;10;
82704;26/05/2015;0000;28.1;;86;;0;0;2.5;
82704;26/05/2015;1200;23.6;;97;;27;1.02888;8.75;
82704;27/05/2015;0000;25.3;;91;;0;0;8.75;
82704;27/05/2015;1200;23.8;;95;;0;0;6.25;
82704;28/05/2015;0000;27.3;;83;;23;1.02888;3.75;
82704;28/05/2015;1200;24.5;;94;;0;0;6.25;
82704;29/05/2015;0000;27.6;;86;;0;0;5;
82704;29/05/2015;1200;23.9;;98;;0;0;10;
82704;30/05/2015;0000;25.3;;95;;0;0;10;
82704;30/05/2015;1200;23.5;;96;;0;0;;
82704;31/05/2015;0000;25.6;;91;;0;0;2.5;
82704;31/05/2015;1200;23.6;;97;;0;0;10;
82704;01/06/2015;0000;25.3;;94;;0;0;8.75;
82704;01/06/2015;1200;23.3;;96;;0;0;8.75;
82704;02/06/2015;0000;26.3;;93;;0;0;8.75;
82704;02/06/2015;1200;23.9;;96;;0;0;10;
82704;03/06/2015;0000;26.8;;84;;27;3.08664;10;
82704;03/06/2015;1200;23.9;;96;;0;0;7.5;
82704;04/06/2015;0000;24.5;;95;;14;3.08664;10;
82704;04/06/2015;1200;23.6;;97;;0;0;10;
82704;05/06/2015;0000;26.4;;85;;36;1.02888;0;
82704;05/06/2015;1200;23.9;;95;;5;1.02888;8.75;
82704;06/06/2015;0000;26.8;;88;;36;5.1444;0;
82704;06/06/2015;1200;23.5;;95;;0;0;5;
82704;07/06/2015;0000;27.2;;84;;0;0;8.75;
82704;07/06/2015;1200;23.2;;97;;0;0;10;
82704;08/06/2015;0000;27.1;;86;;23;1.02888;7.5;
82704;09/06/2015;0000;25.9;;86;;0;0;7.5;
82704;09/06/2015;1200;23.5;;86;;0;0;8.75;
82704;10/06/2015;0000;26.3;;91;;0;0;0;
82704;10/06/2015;1200;23.5;;96;;0;0;8.75;
82704;11/06/2015;0000;24.9;;80;;23;2.05776;8.75;
82704;11/06/2015;1200;23.7;;95;;0;0;7.5;
82704;12/06/2015;0000;26.7;;87;;0;0;0;
82704;12/06/2015;1200;23.8;;96;;0;0;3.75;
82704;13/06/2015;0000;26.1;;89;;23;1.02888;2.5;
82704;13/06/2015;1200;23.4;;97;;0;0;10;
82704;14/06/2015;0000;25.7;;88;;0;0;2.5;
82704;14/06/2015;1200;23.3;;95;;18;1.02888;10;
82704;15/06/2015;0000;28;;83;;0;0;0;
82704;15/06/2015;1200;23.9;;95;;0;0;3.75;
82704;16/06/2015;0000;27.1;;87;;0;0;0;
82704;16/06/2015;1200;24.4;;96;;27;1.02888;8.75;
82704;17/06/2015;0000;25.6;;92;;23;1.02888;7.5;
82704;17/06/2015;1200;23.9;;98;;0;0;10;
82704;18/06/2015;0000;25.2;;94;;36;1.02888;7.5;
82704;18/06/2015;1200;23.9;;96;;23;1.02888;7.5;
82704;19/06/2015;0000;27.1;;86;;0;0;0;
82704;19/06/2015;1200;23.3;;96;;32;2.05776;10;
82704;20/06/2015;0000;22.3;;79;;36;4.11552;8.75;
82704;20/06/2015;1200;18.5;;92;;5;1.02888;2.5;
82704;21/06/2015;0000;25.6;;81;;0;0;0;
82704;21/06/2015;1200;20;;91;;0;0;3.75;
82704;22/06/2015;0000;24.9;;89;;0;0;0;
82704;22/06/2015;1200;20;;97;;0;0;2.5;
82704;23/06/2015;0000;25.9;;86;;0;0;0;
82704;23/06/2015;1200;20.1;;95;;0;0;0;
82704;24/06/2015;0000;26.2;;86;;0;0;0;
82704;24/06/2015;1200;23.2;;96;;0;0;10;
82704;25/06/2015;0000;25.6;;92;;0;0;2.5;
82704;25/06/2015;1200;22.7;;98;;0;0;10;
82704;26/06/2015;0000;26.2;;87;;23;1.02888;2.5;
82704;26/06/2015;1200;22.2;;98;;0;0;3.75;
82704;27/06/2015;1200;22.5;;95;;36;1.02888;0;
82704;28/06/2015;0000;27.7;;76;;0;0;2.5;
82704;28/06/2015;1200;22.6;;92;;0;0;0;
82704;29/06/2015;0000;26.6;;86;;0;0;0;
82704;29/06/2015;1200;23.3;;95;;0;0;3.75;
82704;30/06/2015;0000;26.7;;91;;0;0;2.5;
82704;30/06/2015;1200;23.3;;95;;0;0;3.75;
82704;01/07/2015;0000;27.1;;86;;0;0;5;
82704;01/07/2015;1200;24.3;;95;;0;0;10;
82704;02/07/2015;0000;25.1;;92;;0;0;5;
82704;02/07/2015;1200;23.1;;96;;0;0;10;
82704;03/07/2015;0000;25.3;;84;;14;1.02888;10;
82704;03/07/2015;1200;23.5;;95;;0;0;8.75;
82704;04/07/2015;0000;26.5;;86;;14;1.02888;6.25;
82704;04/07/2015;1200;23.2;;96;;0;0;0;
82704;05/07/2015;0000;27;;90;;0;0;5;
82704;05/07/2015;1200;22.9;;96;;32;2.05776;10;
82704;06/07/2015;0000;22.4;;93;;27;3.08664;10;
82704;06/07/2015;1200;21.7;;91;;32;1.02888;10;
82704;07/07/2015;0000;25.1;;84;;0;0;0;
82704;07/07/2015;1200;21.3;;95;;0;0;0;
82704;08/07/2015;0000;27.1;;83;;0;0;0;
82704;08/07/2015;1200;22.4;;96;;0;0;2.5;
82704;09/07/2015;0000;27.1;;86;;0;0;0;
82704;09/07/2015;1200;24.1;;96;;0;0;8.75;
82704;10/07/2015;0000;24.9;;92;;0;0;7.5;
82704;10/07/2015;1200;23.9;;91;;0;0;8.75;
82704;11/07/2015;0000;24.8;;94;;5;1.02888;7.5;
82704;11/07/2015;1200;23.6;;95;;0;0;10;
82704;12/07/2015;0000;27.1;;85;;0;0;0;
82704;12/07/2015;1200;23.4;;96;;23;1.02888;8.75;
82704;13/07/2015;0000;26.5;;83;;0;0;0;
82704;13/07/2015;1200;22.7;;93;;0;0;10;
82704;14/07/2015;0000;27.1;;81;;0;0;0;
82704;14/07/2015;1200;23.3;;95;;0;0;0;
