--------------------
BDMEP - INMET
--------------------
Estação           : CUIABA - MT (OMM: 83361)
Latitude  (graus) : -15.61
Longitude (graus) : -56.1
Altitude  (metros): 145.00
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83361;01/01/2015;0000;27.2;;71;994.6;;;6.25;
83361;01/01/2015;1200;27.1;;70;996.2;;;8.75;
83361;01/01/2015;1800;33.6;;47;995.5;;;5;
83361;02/01/2015;0000;29.8;;65;995.6;;;2.5;
83361;02/01/2015;1200;29.8;;66;996.8;;;1.25;
83361;02/01/2015;1800;36.1;;57;995.9;;;7.5;
83361;03/01/2015;0000;27.1;;81;996.2;;;10;
83361;03/01/2015;1200;25.5;;82;997.6;;;8.75;
83361;03/01/2015;1800;32.6;;62;996.4;;;7.5;
83361;04/01/2015;0000;28;;76;996.6;;;10;
83361;04/01/2015;1200;25.1;;80;997.6;;;10;
83361;04/01/2015;1800;34.7;;38;996.2;;;6.25;
83361;05/01/2015;0000;29.6;;65;996.3;;;3.75;
83361;05/01/2015;1200;23.9;;90;996.6;;;10;
83361;06/01/2015;0000;29.5;;67;995.6;;;6.25;
83361;06/01/2015;1200;29.5;;68;996.7;;;0;
83361;06/01/2015;1800;32.9;;51;995;;;3.75;
83361;07/01/2015;0000;29.3;;38;996;;;2.5;
83361;07/01/2015;1200;25.8;;88;997.2;;;6.25;
83361;07/01/2015;1800;25;;89;994.8;;;10;
83361;08/01/2015;0000;26.9;;87;995.4;;;0;
83361;08/01/2015;1200;28.4;;77;996.6;;;0;
83361;08/01/2015;1800;27.1;;91;994.2;;;10;
83361;09/01/2015;0000;27.7;;95;995.1;;;0;
83361;09/01/2015;1200;28;;83;997.2;;;2.5;
83361;09/01/2015;1800;24.3;;90;995.1;;;10;
83361;10/01/2015;0000;25.3;;80;996.6;;;7.5;
83361;10/01/2015;1200;26.9;;66;998.4;;;2.5;
83361;10/01/2015;1800;33.4;;53;996.1;;;6.25;
83361;11/01/2015;0000;28.7;;73;996.7;;;5;
83361;11/01/2015;1200;28.8;;71;996.6;;;2.5;
83361;11/01/2015;1800;35.9;;45;994.3;;;6.25;
83361;12/01/2015;0000;28.6;;88;995.9;;;3.75;
83361;12/01/2015;1200;25.8;;91;998;;;10;
83361;12/01/2015;1800;26.7;;82;997.4;;;10;
83361;13/01/2015;0000;25.5;;82;997.5;;;6.25;
83361;13/01/2015;1200;26.5;;78;996.8;;;3.75;
83361;13/01/2015;1800;34.2;;31;995.6;;;7.5;
83361;14/01/2015;0000;24.3;;95;996.6;;;2.5;
83361;14/01/2015;1200;25.5;;79;996.9;;;2.5;
83361;14/01/2015;1800;33.6;;49;995.6;;;7.5;
83361;15/01/2015;0000;23.5;;95;996.4;;;7.5;
83361;15/01/2015;1200;26.8;;80;997.8;;;8.75;
83361;15/01/2015;1800;33.6;;51;996.8;0;0;8.75;
83361;16/01/2015;0000;24.4;;86;997.1;;;5;
83361;16/01/2015;1200;25.4;;79;998;;;1.25;
83361;16/01/2015;1800;32;;51;996.6;;;3.75;
83361;17/01/2015;0000;28.2;;54;997.8;;;5;
83361;17/01/2015;1200;25.2;;75;997.4;;;6.25;
83361;17/01/2015;1800;28.2;;79;996.7;;;7.5;
83361;18/01/2015;0000;24.5;;84;997.1;;;3.75;
83361;18/01/2015;1200;25.5;;83;997.6;0;0;10;
83361;18/01/2015;1800;29.4;;72;996.6;;;7.5;
83361;19/01/2015;0000;25.5;;85;996.7;;;0;
83361;19/01/2015;1200;29;;71;997.6;;;2.5;
83361;19/01/2015;1800;35;;47;994.7;;;6.25;
83361;20/01/2015;0000;29.2;;68;995.2;;;6.25;
83361;20/01/2015;1200;28.1;;75;995;;;1.25;
83361;20/01/2015;1800;26.9;;79;993.4;;;7.5;
83361;21/01/2015;0000;22.7;;90;994.4;;;7.5;
83361;21/01/2015;1200;23.7;;87;997.6;;;10;
83361;21/01/2015;1800;31.2;;55;995.6;;;5;
83361;22/01/2015;0000;28.4;;70;995.8;;;6.25;
83361;22/01/2015;1200;24.5;;85;997.1;;;10;
83361;22/01/2015;1800;32.6;;56;994.8;;;3.75;
83361;23/01/2015;0000;29.2;;72;994.8;;;2.5;
83361;23/01/2015;1200;28.2;;75;996.6;;;3.75;
83361;23/01/2015;1800;35.4;;46;993;;;6.25;
83361;24/01/2015;0000;25.7;;76;995.2;;;3.75;
83361;24/01/2015;1200;28.2;;71;995.4;;;1.25;
83361;24/01/2015;1800;28.4;;76;993.5;;;7.5;
83361;25/01/2015;0000;24.7;;76;995.1;;;3.75;
83361;25/01/2015;1200;24.9;;78;995.2;;;5;
83361;25/01/2015;1800;32.2;;52;994.6;;;6.25;
83361;26/01/2015;0000;27.7;;76;994.6;;;5;
83361;26/01/2015;1200;27.4;;74;995.8;;;7.5;
83361;26/01/2015;1800;32.2;;52;992.6;;;7.5;
83361;27/01/2015;0000;26.9;;77;993;;;8.75;
83361;27/01/2015;1200;26.7;;78;996.8;;;10;
83361;27/01/2015;1800;25.4;;85;995;;;10;
83361;28/01/2015;0000;25.5;;87;994;;;10;
83361;28/01/2015;1200;26.2;;86;997.1;;;10;
83361;28/01/2015;1800;28;;80;995.4;;;10;
83361;29/01/2015;0000;25.3;;87;995.1;;;8.75;
83361;29/01/2015;1200;25.9;;88;997.2;;;10;
83361;29/01/2015;1800;32.6;;53;995.1;;;6.25;
83361;30/01/2015;0000;28.8;;68;994.4;;;7.5;
83361;30/01/2015;1200;30;;64;996;;;2.5;
83361;30/01/2015;1800;34.8;;46;993.6;;;7.5;
83361;31/01/2015;0000;27.8;;80;992;;;1.25;
83361;31/01/2015;1200;27.9;;88;996.4;;;1.25;
83361;31/01/2015;1800;37;;43;993.5;;;6.25;
