--------------------
BDMEP - INMET
--------------------
Estação           : CURITIBA - PR (OMM: 83842)
Latitude  (graus) : -25.43
Longitude (graus) : -49.26
Altitude  (metros): 923.50
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83842;01/01/2015;0000;21.9;18.9;75;911.5;27;3.3;10;
83842;01/01/2015;1200;24.9;21.3;72;910.2;32;4.6;8;
83842;01/01/2015;1800;24.5;21.5;76;909;27;4;10;
83842;02/01/2015;0000;23.8;21;78;908.7;32;1;8;
83842;02/01/2015;1200;23.8;18.9;61;911.5;27;4.1;10;
83842;02/01/2015;1800;29.7;22.1;51;910.2;23;7.5;10;
83842;03/01/2015;0000;21.4;19.7;86;912.2;0;0;10;
83842;03/01/2015;1200;19.8;18.7;90;913.6;5;0.7;10;
83842;03/01/2015;1800;20.9;19.2;86;914.6;9;2.6;10;
83842;04/01/2015;0000;18.8;17.7;89;913.2;5;1.3;10;
83842;04/01/2015;1200;19.3;18.7;94;914.8;27;1.5;10;
83842;04/01/2015;1800;25.4;20.9;66;914.1;27;2.3;10;
83842;05/01/2015;0000;20.8;20.2;95;913.2;9;0.3;10;
83842;05/01/2015;1200;20.4;19.8;94;915.9;5;1.6;10;
83842;05/01/2015;1800;26;21.8;68;914.5;9;3.6;9;
83842;06/01/2015;0000;20.2;19.4;92;915.1;9;2;10;
83842;06/01/2015;1200;23.3;21.2;84;916.2;36;1.5;7;
83842;06/01/2015;1800;29.7;21.6;48;914;32;2.3;7;
83842;07/01/2015;0000;20.8;20.5;97;914;5;1.3;10;
83842;07/01/2015;1200;25.2;22.2;78;913;27;2.3;3;
83842;07/01/2015;1800;25.8;20.9;63;911.4;32;3.1;8;
83842;08/01/2015;0000;23;20.5;80;912.8;32;0.8;10;
83842;08/01/2015;1200;23.7;19.8;69;913.5;27;2.5;9;
83842;08/01/2015;1800;29.3;22.9;56;911.4;32;1.5;8;
83842;09/01/2015;0000;21.3;19.8;87;913.8;18;1.3;10;
83842;09/01/2015;1200;23.3;20.5;78;913.2;32;2.1;7;
83842;09/01/2015;1800;30.7;23;51;911.1;23;4;8;
83842;10/01/2015;0000;23.8;19.7;68;912.5;23;2.8;7;
83842;10/01/2015;1200;25.7;21.6;69;915;27;2.6;7;
83842;10/01/2015;1800;25.3;22.1;76;912.6;36;2.3;10;
83842;11/01/2015;0000;22.2;21;89;913.9;0;0;10;
83842;11/01/2015;1200;24.9;21.6;75;913.7;5;0.5;9;
83842;11/01/2015;1800;24.1;21;75;914.1;14;3.5;10;
83842;12/01/2015;0000;23.4;21.4;84;913.6;5;1;9;
83842;12/01/2015;1200;24.8;20.9;69;913.5;32;2.5;8;
83842;12/01/2015;1800;32.9;22.6;40;911.7;23;3.1;6;
83842;13/01/2015;0000;23.1;20.3;77;911.8;9;1.8;10;
83842;13/01/2015;1200;22.6;20.2;78;913.3;5;2.3;8;
83842;13/01/2015;1800;31.6;22.7;46;911.4;36;3.1;7;
83842;14/01/2015;0000;23.8;20.2;72;912.9;18;2;3;
83842;14/01/2015;1200;20.8;19.2;87;913.3;5;0.7;8;
83842;14/01/2015;1800;28.8;21;49;911.4;27;3.5;6;
83842;15/01/2015;0000;26;20.6;61;913;23;3;9;
83842;15/01/2015;1200;24.3;21.2;76;915.1;5;2.5;7;
83842;15/01/2015;1800;29.4;22.4;54;913.9;5;2.1;7;
83842;16/01/2015;0000;22.4;20.6;86;915.3;9;2.5;9;
83842;16/01/2015;1200;23.1;20.6;80;916.5;5;1.6;10;
83842;16/01/2015;1800;31.6;23.6;50;913.6;32;2.5;6;
83842;17/01/2015;0000;24.6;22.7;86;912.5;5;1.6;5;
83842;17/01/2015;1200;23.7;21.9;85;913.3;32;1.6;7;
83842;17/01/2015;1800;30;23.1;55;911;27;4;8;
83842;18/01/2015;0000;27.3;21.6;59;911.6;14;1.3;8;
