--------------------
BDMEP - INMET
--------------------
Estação           : FLORIANOPOLIS - SC (OMM: 83897)
Latitude  (graus) : -27.58
Longitude (graus) : -48.56
Altitude  (metros): 1.84
Estação Operante
Inicio de operação: 01/12/1921
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83897;01/01/2015;0000;25;23.4;87;1006.4;;;10;
83897;01/01/2015;1200;29.4;24.4;65;1007.1;;;5;
83897;01/01/2015;1800;36;28;53;1004.3;;;9;
83897;02/01/2015;0000;26;24;84;1005;;;8;
83897;02/01/2015;1200;27.4;24.2;76;1008.6;;;8;
83897;02/01/2015;1800;24.8;22.6;82;1010.2;;;10;
83897;03/01/2015;0000;21.6;20.6;91;1013.6;;;10;
83897;03/01/2015;1200;24;20.8;73;1016;;;10;
83897;03/01/2015;1800;24.9;21.3;71;1016.4;;;10;
83897;04/01/2015;0000;23.6;20.9;77;1015;;;10;
83897;04/01/2015;1200;26.5;22.3;68;1015.1;;;2;
83897;04/01/2015;1800;30.3;25.2;64;1014.2;;;6;
83897;05/01/2015;0000;25.8;23.3;80;1014.4;;;8;
83897;05/01/2015;1200;26.6;23.4;75;1017.1;;;7;
83897;05/01/2015;1800;28.6;24;66;1016.3;;;10;
83897;06/01/2015;0000;25.2;23.4;85;1015;;;10;
83897;06/01/2015;1200;28;24.6;75;1017.4;;;5;
83897;06/01/2015;1800;28.6;25;73;1014;;;5;
83897;07/01/2015;0000;26.2;24.4;86;1014.6;;;10;
83897;07/01/2015;1200;28.6;24.8;72;1012.4;;;6;
83897;07/01/2015;1800;30;25.8;70;1009.4;;;6;
83897;08/01/2015;0000;27.2;25;83;1011.9;;;10;
83897;08/01/2015;1200;31.2;26.4;67;1010.8;;;4;
83897;08/01/2015;1800;31.6;26.8;67;1009.1;;;8;
83897;09/01/2015;0000;24.6;23.6;92;1013.8;;;10;
83897;09/01/2015;1200;29.6;24.6;65;1011;;;3;
83897;09/01/2015;1800;33.9;27.6;60;1007.6;;;8;
83897;10/01/2015;0000;25;23.4;87;1010;;;10;
83897;10/01/2015;1200;27.4;25.2;83;1011.2;;;10;
83897;10/01/2015;1800;31.8;25.6;60;1009.6;;;10;
83897;11/01/2015;0000;25.6;24.2;89;1012.6;;;9;
83897;11/01/2015;1200;29.4;25;69;1011.9;;;5;
83897;11/01/2015;1800;33;26.4;58;1009.8;;;2;
83897;12/01/2015;0000;28.2;23.3;65;1011;;;10;
83897;12/01/2015;1200;31;26.6;70;1009.6;;;4;
83897;12/01/2015;1800;34;27.8;61;1009.5;;;8;
83897;13/01/2015;0000;29.2;25.4;72;1010.3;;;4;
83897;13/01/2015;1200;30.4;26;70;1013.2;;;3;
83897;13/01/2015;1800;33.4;25.8;53;1011.1;;;3;
83897;14/01/2015;0000;28.2;26;84;1012.6;;;0;
83897;14/01/2015;1200;28.4;23.2;63;1011.2;;;10;
83897;14/01/2015;1800;32;26;61;1008.6;;;7;
83897;15/01/2015;0000;29.4;23.6;60;1011.4;;;10;
83897;15/01/2015;1200;27.8;24.6;76;1015.4;;;4;
83897;15/01/2015;1800;30.4;26;70;1014.8;;;3;
83897;16/01/2015;0000;23.6;22.6;92;1017.2;;;10;
83897;16/01/2015;1200;28.4;24.8;74;1015.2;;;3;
83897;16/01/2015;1800;31.8;26.6;65;1011.9;;;3;
83897;17/01/2015;0000;28;25.6;82;1012.6;;;9;
83897;17/01/2015;1200;27.6;24.1;74;1011.5;;;9;
83897;17/01/2015;1800;33.6;27.6;62;1007.5;;;5;
83897;18/01/2015;0000;24;23.4;95;1012.4;;;10;
83897;18/01/2015;1200;27.8;24.4;74;1013.2;0;0;5;
83897;18/01/2015;1800;30.2;26.4;73;1011.1;;;6;
83897;19/01/2015;0000;23;22.2;93;1013.2;;;10;
83897;19/01/2015;1200;26.4;24.1;82;1012.7;;;9;
83897;19/01/2015;1800;32.2;27;66;1010.4;;;1;
83897;20/01/2015;0000;24.7;23.1;87;1012.2;;;10;
83897;20/01/2015;1200;25.9;23.6;82;1011.8;;;9;
83897;20/01/2015;1800;29.4;26.2;77;1010.7;;;10;
83897;21/01/2015;0000;23.4;22.6;93;1011.2;;;10;
83897;21/01/2015;1200;23.4;21.4;83;1014.3;;;10;
83897;21/01/2015;1800;25.4;21.8;71;1015.2;;;10;
83897;22/01/2015;0000;24;22;83;1017.2;;;10;
83897;22/01/2015;1200;23.6;21.2;80;1018.4;;;10;
83897;22/01/2015;1800;25;21.4;71;1018.6;;;10;
83897;23/01/2015;0000;23.4;21.4;83;1019;;;10;
83897;23/01/2015;1200;26.6;22.2;67;1018.3;;;4;
83897;23/01/2015;1800;28.8;23.4;54;1016.6;;;4;
83897;24/01/2015;0000;25;22;76;1013.9;;;4;
83897;24/01/2015;1200;26;21.4;64;1014.7;;;2;
83897;24/01/2015;1800;30;24.2;60;1011;;;4;
83897;25/01/2015;0000;25.2;22.8;81;1012.2;;;4;
83897;25/01/2015;1200;27.2;23.2;70;1010.8;;;7;
83897;25/01/2015;1800;25;22.2;77;1010.2;;;9;
83897;26/01/2015;0000;24.6;21.2;73;1010.3;;;5;
83897;26/01/2015;1200;28.2;23.8;68;1011.1;;;2;
83897;26/01/2015;1800;32.4;26.2;61;1009.5;;;5;
83897;27/01/2015;0000;27.3;24.9;81;1010.2;;;5;
83897;27/01/2015;1200;28.7;24.6;71;1011.8;36;3;2;
83897;27/01/2015;1800;30.2;26.3;73;1009.6;36;5;7;
83897;28/01/2015;0000;27.9;25.8;84;1009.1;36;5;10;
83897;28/01/2015;1200;28.8;25.4;74;1010.7;36;3;10;
83897;28/01/2015;1800;30;26;72;1008;18;12;9;
83897;29/01/2015;0000;26.2;25;90;1007.4;32;1;10;
83897;29/01/2015;1200;27.2;24.6;81;1007;32;3.3;10;
83897;29/01/2015;1800;36.2;26;42;1004.4;32;1.6;10;
83897;30/01/2015;0000;25;21.6;73;1011.9;18;6.6;10;
83897;30/01/2015;1200;23.4;20.4;75;1016.4;14;10.6;10;
83897;30/01/2015;1800;23.4;21.2;82;1017.4;14;3.5;10;
83897;31/01/2015;0000;21.2;19.6;85;1018.6;14;3.3;10;
83897;31/01/2015;1200;22.2;20;81;1019.8;;;10;
83897;31/01/2015;1800;25.2;21.4;70;1018;;;10;
83897;01/02/2015;0000;23.4;21.2;82;1017.8;;;9;
83897;01/02/2015;1200;26;23.2;78;1016.7;;;9;
83897;01/02/2015;1800;29.4;24;62;1015.1;;;9;
83897;02/02/2015;0000;25.8;23;78;1015;;;9;
83897;02/02/2015;1200;27.4;23.6;72;1014.8;;;6;
83897;02/02/2015;1800;30.1;24.2;60;1013.2;;;4;
83897;03/02/2015;0000;25.6;23.8;85;1014;;;10;
83897;03/02/2015;1200;27;24.4;80;1013.1;;;7;
83897;03/02/2015;1800;23.6;23.2;97;1011;;;10;
83897;04/02/2015;0000;22.8;22;93;1010.8;;;10;
83897;04/02/2015;1200;25.5;23.6;84;1010.6;18;1;9;
83897;04/02/2015;1800;28;24;70;1008.4;14;7;10;
83897;05/02/2015;0000;23.4;22.6;93;1008.8;14;7;10;
83897;05/02/2015;1200;23.2;21.8;87;1007.9;0;0;10;
83897;05/02/2015;1800;26.9;23.2;72;1007.5;14;12;9;
83897;06/02/2015;0000;25.2;22.1;76;1006.4;14;3;5;
83897;06/02/2015;1200;26.6;22.6;70;1007.2;14;2.5;5;
83897;06/02/2015;1800;27.6;23;65;1007.1;14;4;4;
83897;07/02/2015;0000;24.6;20.8;69;1006.6;14;3.6;0;
83897;07/02/2015;1200;25.2;21.4;70;1007.6;14;1.8;3;
83897;07/02/2015;1800;29;23.2;58;1005.6;14;2.5;5;
83897;08/02/2015;0000;25;21.6;73;1008.6;14;2;10;
83897;08/02/2015;1200;27.2;23.2;70;1010.6;9;1.1;1;
83897;08/02/2015;1800;28.6;23.8;65;1009.1;36;4.8;1;
83897;09/02/2015;0000;26.4;23.2;75;1010.2;36;3.5;9;
83897;09/02/2015;1200;25.8;23;78;1011;32;0.8;9;
83897;09/02/2015;1800;29.6;25.6;71;1008.2;5;7.5;1;
83897;10/02/2015;0000;26.8;24.8;84;1009.9;32;3.3;10;
83897;10/02/2015;1200;27.6;24.8;79;1010.3;36;0.8;2;
83897;10/02/2015;1800;31.4;26.4;66;1008.6;5;2.3;4;
83897;11/02/2015;0000;27.4;24.8;80;1011.2;5;1.6;6;
83897;11/02/2015;1200;29.2;25.4;72;1013.8;5;0.7;5;
83897;11/02/2015;1800;31.6;27;69;1009;5;2.3;5;
83897;12/02/2015;0000;24;23.6;97;1011.2;36;0.4;10;
83897;12/02/2015;1200;27.8;25;78;1011.5;36;4;1;
83897;12/02/2015;1800;32.5;28.1;71;1009.8;14;4.6;3;
83897;13/02/2015;0000;27.6;25.7;86;1011.4;5;1.3;10;
83897;13/02/2015;1200;25;23.6;89;1013.6;0;0;10;
83897;13/02/2015;1800;30.7;26.5;71;1013.1;14;3.6;9;
83897;14/02/2015;0000;25.4;24.4;92;1012.8;14;4.8;10;
