--------------------
BDMEP - INMET
--------------------
Estação           : FORTALEZA - CE (OMM: 82397)
Latitude  (graus) : -3.81
Longitude (graus) : -38.53
Altitude  (metros): 26.45
Estação Operante
Inicio de operação: 27/10/1919
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82397;01/01/2015;0000;26.4;23.9;81;1010.4;9;2.1;4;
82397;01/01/2015;1200;28.2;24.3;73;1011.6;9;3.3;8;
82397;01/01/2015;1800;29.6;24.5;66;1008.4;14;3.3;6;
82397;02/01/2015;0000;26.4;24.1;83;1010.5;9;1.8;1;
82397;02/01/2015;1200;29;24.3;68;1010;9;2.8;8;
82397;02/01/2015;1800;29.9;24.5;64;1007.9;5;3.3;1;
82397;03/01/2015;0000;26.4;23.3;77;1010.4;9;1.1;6;
82397;03/01/2015;1200;23.8;23.3;96;1010.9;9;1.5;10;
82397;03/01/2015;1800;25;24.3;94;1009.3;9;3.5;9;
82397;04/01/2015;0000;24.4;23.9;96;1011.1;5;1.1;4;
82397;04/01/2015;1200;26.6;24.1;82;1011.6;5;2;10;
82397;04/01/2015;1800;29.2;24.2;66;1009.4;5;2.8;9;
82397;05/01/2015;0000;24.6;23.5;91;1012.2;0;0;2;
82397;05/01/2015;1200;28;24.1;73;1012.9;9;3.3;9;
82397;05/01/2015;1800;29.6;24.6;67;1010.4;14;4.5;4;
82397;06/01/2015;0000;25.8;24.1;87;1011.7;14;1.3;2;
82397;06/01/2015;1200;27.2;24.7;82;1012;14;2.8;9;
82397;06/01/2015;1800;28.9;24.5;70;1009.1;9;3.8;9;
82397;07/01/2015;0000;26.8;24.6;84;1011.3;9;1.6;9;
82397;07/01/2015;1200;26.4;25.1;90;1011.7;14;2.1;10;
82397;07/01/2015;1800;28.6;25.1;76;1009;14;3.6;9;
82397;08/01/2015;0000;26.2;23.9;83;1010.3;9;1;3;
82397;08/01/2015;1200;25.8;24.1;87;1011.7;18;2.8;8;
82397;08/01/2015;1800;30.2;23.9;59;1008.6;5;5.6;2;
82397;09/01/2015;0000;26.8;24.4;82;1010.5;9;2.6;6;
82397;09/01/2015;1200;27.6;24.2;76;1011.2;14;2.6;8;
82397;09/01/2015;1800;30.4;24.9;64;1008.2;9;4.1;6;
82397;10/01/2015;0000;27.2;24.3;79;1010.9;9;1.3;1;
82397;10/01/2015;1200;28.6;23.9;68;1011.5;14;4;8;
82397;10/01/2015;1800;30;25;67;1008.4;9;3.6;2;
82397;11/01/2015;0000;27.2;24.7;82;1010.8;9;2.1;7;
82397;11/01/2015;1200;26.8;24.7;84;1011.5;14;4.1;9;
82397;11/01/2015;1800;29.4;25.5;73;1009.1;9;5;2;
82397;12/01/2015;0000;26.4;24.2;83;1011.4;9;3.3;1;
82397;12/01/2015;1200;28.2;24.9;76;1012.1;14;3.3;6;
82397;12/01/2015;1800;30.6;24.8;63;1008.5;9;3.6;2;
82397;13/01/2015;0000;27.2;24.8;82;1010.6;9;2.6;7;
82397;13/01/2015;1200;26.4;24.5;86;1011;9;3.3;9;
82397;13/01/2015;1800;30.4;25.5;67;1007.8;9;3.3;2;
82397;14/01/2015;0000;27;24.6;82;1009.9;9;3.6;4;
82397;14/01/2015;1200;28.4;23.9;69;1010.5;14;4.5;8;
82397;14/01/2015;1800;30;23.9;60;1007.4;9;4.8;9;
82397;15/01/2015;0000;26.8;23.5;76;1010;9;1.8;7;
82397;15/01/2015;1200;28;24.3;74;1011.4;14;3.5;6;
82397;15/01/2015;1800;30.8;23.7;55;1009.1;9;3.3;2;
82397;16/01/2015;0000;27;24.3;80;1011.3;9;1.6;2;
82397;16/01/2015;1200;28.6;24.9;74;1011.6;14;6;9;
82397;16/01/2015;1800;30;23.6;59;1009;9;3.8;9;
82397;17/01/2015;0000;27;24.7;83;1010.5;9;2.5;9;
82397;17/01/2015;1200;28.4;25;76;1011.4;14;3.8;5;
82397;17/01/2015;1800;30.6;25.1;64;1008.3;9;5.6;5;
82397;18/01/2015;0000;27.4;24.7;80;1011.2;9;2.5;7;
82397;18/01/2015;1200;28;25.3;81;1011.1;9;4.5;9;
82397;18/01/2015;1800;30;25.7;71;1008.6;5;3.3;9;
82397;19/01/2015;0000;26.9;24.3;81;1010.7;9;2.1;2;
82397;19/01/2015;1200;28.4;25.1;76;1011.1;9;3.3;6;
82397;19/01/2015;1800;30.8;25.5;66;1008.1;9;2.6;6;
82397;20/01/2015;0000;26.8;25;87;1010.1;9;2.1;2;
82397;20/01/2015;1200;28.4;24.7;74;1009.5;14;3.3;8;
82397;20/01/2015;1800;30.2;24.4;62;1006.8;9;3.8;9;
82397;21/01/2015;0000;26.8;24.6;84;1008.4;5;1.5;5;
82397;21/01/2015;1200;28.4;25.1;76;1010.1;9;3.8;9;
82397;21/01/2015;1800;30.4;25.5;67;1008;9;5;5;
82397;22/01/2015;0000;27;24.9;84;1009.9;9;2.1;4;
82397;22/01/2015;1200;29;24.1;67;1010.5;14;3;8;
82397;22/01/2015;1800;29.3;23.5;61;1008.2;9;2.8;9;
82397;23/01/2015;0000;26.7;23.9;79;1009.9;9;3.1;5;
82397;23/01/2015;1200;28.8;24.1;68;1011.4;9;3.8;8;
82397;23/01/2015;1800;30.4;24.9;64;1008.9;9;3.6;8;
82397;24/01/2015;0000;26.4;24.2;83;1010.3;9;1.6;1;
82397;24/01/2015;1200;28.2;25.2;78;1010.7;9;3.8;8;
82397;24/01/2015;1800;30.8;25.5;66;1007.7;9;1.6;5;
82397;25/01/2015;0000;27.2;24.5;80;1010.2;9;1.3;5;
82397;25/01/2015;1200;28.4;24.3;71;1010.7;9;5;6;
82397;25/01/2015;1800;30;24.9;66;1008.3;9;3.8;9;
82397;26/01/2015;0000;26.8;24.1;80;1010.4;9;1.8;3;
82397;26/01/2015;1200;27.8;24.2;74;1011.3;14;2.8;9;
82397;26/01/2015;1800;31.2;23;50;1008.2;9;3.6;9;
82397;27/01/2015;0000;27;23.9;77;1009.4;5;2.8;10;
82397;27/01/2015;1200;28.6;25.1;76;1011;9;3.3;8;
82397;27/01/2015;1800;30.4;25.3;66;1008.5;9;4.1;4;
82397;28/01/2015;0000;26.8;24.3;82;1010;9;1.6;0;
82397;28/01/2015;1200;27.7;24;74;1010.6;18;2.8;8;
82397;28/01/2015;1800;30.4;24.5;61;1007.5;9;4;5;
82397;29/01/2015;0000;27;23.7;76;1010;9;1.5;6;
82397;29/01/2015;1200;28;24.2;73;1010.3;9;3.3;8;
82397;29/01/2015;1800;30.8;24.3;59;1007.5;9;3;2;
82397;30/01/2015;0000;26.4;22.5;71;1009.4;5;1.1;0;
82397;30/01/2015;1200;29.2;23.6;62;1010.5;9;3.6;6;
82397;30/01/2015;1800;31;24.3;58;1008.1;9;3.3;2;
82397;31/01/2015;0000;26.6;23.9;80;1009.9;9;1.3;0;
82397;31/01/2015;1200;28.8;25.7;78;1010.5;9;3.3;8;
82397;31/01/2015;1800;31.2;25.5;63;1007.3;9;2.1;3;
82397;01/02/2015;0000;27.4;25.7;87;1009.6;9;3.3;6;
82397;01/02/2015;1200;29.2;24.6;69;1009.8;9;2.5;9;
82397;01/02/2015;1800;31;25;62;1007.8;9;3.3;8;
82397;02/02/2015;0000;27.5;25;82;1009.7;9;2.5;8;
82397;02/02/2015;1200;29.5;25.5;73;1010.4;9;4.8;8;
82397;02/02/2015;1800;31;25.6;65;1007.6;9;3.6;7;
82397;03/02/2015;0000;27.7;25.1;81;1010.2;9;1.5;10;
82397;03/02/2015;1200;29.6;25;69;1011.6;9;3.1;8;
82397;03/02/2015;1800;29;25.9;78;1008.1;9;3;9;
82397;04/02/2015;0000;27.5;25.1;83;1010.3;0;0;9;
82397;04/02/2015;1200;29.3;25.3;72;1010;9;3.3;9;
82397;04/02/2015;1800;30.6;25;64;1007.5;5;2.5;9;
82397;05/02/2015;0000;27.5;24.8;81;1009.5;9;1;6;
82397;05/02/2015;1200;27.8;25.3;82;1010.6;14;2.5;9;
82397;05/02/2015;1800;31;25.3;63;1007.3;9;3.6;9;
82397;06/02/2015;0000;27.4;24.9;82;1008.7;5;1.6;8;
82397;06/02/2015;1200;29.2;24.9;70;1009.3;14;3.3;7;
82397;06/02/2015;1800;31.4;25.3;61;1006.3;9;3.6;4;
82397;07/02/2015;0000;27;24.3;80;1008.9;9;2.1;2;
82397;07/02/2015;1200;28.3;25;76;1009.3;9;3.3;9;
82397;07/02/2015;1800;31.3;25;60;1007;9;3.6;8;
82397;08/02/2015;0000;27.3;25;83;1008.8;9;1.6;1;
82397;08/02/2015;1200;28.6;25.3;77;1009.8;14;3.3;9;
82397;08/02/2015;1800;31.8;24.8;57;1007.4;9;3.8;10;
82397;09/02/2015;0000;27.6;25.2;83;1008.6;9;2.5;1;
82397;09/02/2015;1200;29;24.3;68;1009.2;9;3.3;8;
82397;09/02/2015;1800;32;24.7;55;1006;9;5.8;2;
82397;10/02/2015;0000;27.6;25.1;82;1008;9;2.5;2;
82397;10/02/2015;1200;30.4;25.6;68;1008.5;9;3.6;9;
82397;10/02/2015;1800;31.6;25.6;62;1007.1;9;4.1;9;
82397;11/02/2015;0000;27.5;25.2;83;1009;9;2.5;6;
82397;11/02/2015;1200;29.4;24.9;69;1011.9;14;4.8;9;
82397;11/02/2015;1800;31.4;24.6;57;1008.4;14;3.8;10;
82397;12/02/2015;0000;27.6;24.5;78;1010.6;9;1.8;0;
82397;12/02/2015;1200;28.8;25.1;74;1013;14;3.5;9;
82397;12/02/2015;1800;31.4;25.5;62;1010.4;9;3.3;4;
82397;13/02/2015;0000;27.4;24.5;79;1012.3;9;2;5;
82397;13/02/2015;1200;28.3;25.2;78;1011.7;9;3.3;8;
82397;13/02/2015;1800;31.2;25.2;62;1008.7;9;5;2;
82397;14/02/2015;0000;27.6;24.8;81;1011.1;9;3.3;4;
82397;14/02/2015;1200;29.6;24.2;64;1012.1;9;3.3;8;
82397;14/02/2015;1800;31.2;25.9;66;1009;9;4.1;3;
82397;15/02/2015;0000;27.2;24.6;81;1010.6;9;1.6;0;
82397;15/02/2015;1200;30.2;24.9;65;1011.5;9;3.3;4;
82397;15/02/2015;1800;30.8;25.3;64;1008.6;9;3.3;9;
82397;16/02/2015;0000;27.2;25.2;85;1011.4;9;1.6;1;
82397;16/02/2015;1200;28;25.6;83;1010.7;9;3.3;9;
82397;16/02/2015;1800;29.8;25.3;70;1009.2;9;3.6;9;
82397;17/02/2015;0000;26.5;25;88;1010.1;9;1;8;
