--------------------
BDMEP - INMET
--------------------
Estação           : GOIANIA - GO (OMM: 83423)
Latitude  (graus) : -16.66
Longitude (graus) : -49.25
Altitude  (metros): 741.48
Estação Operante
Inicio de operação: 11/07/1937
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83423;01/01/2015;0000;25.4;21;67;930.4;9;0.3;5;
83423;01/01/2015;1200;27.4;22.2;61;931.8;27;0.8;5;
83423;01/01/2015;1800;33;22.5;38;929.1;32;1.3;7.5;
83423;02/01/2015;0000;25;21.4;72;930;0;0;3.75;
83423;02/01/2015;1200;28.2;23;62;932.2;23;1.1;1.25;
83423;02/01/2015;1800;27.4;21.2;55;929.5;18;1.5;10;
83423;03/01/2015;0000;25.4;22.4;77;930.3;0;0;6.25;
83423;03/01/2015;1200;27.7;23.5;69;931;9;0.3;7.5;
83423;03/01/2015;1800;31.2;24.2;54;928.3;14;0.8;8.75;
83423;04/01/2015;0000;23.5;21;80;930.6;14;1;10;
83423;04/01/2015;1200;21.1;19.2;83;933.6;36;1.8;10;
83423;04/01/2015;1800;30.6;23.1;52;929.8;9;2.6;6.25;
83423;05/01/2015;0000;27.2;21.7;61;930.3;0;0;3.75;
83423;05/01/2015;1200;26.8;22.2;65;931.6;27;1.3;6.25;
83423;05/01/2015;1800;33.1;21.6;34;929.6;9;3;7.5;
83423;06/01/2015;0000;27;22.6;67;930.7;18;2.1;6.25;
83423;06/01/2015;1200;27.2;22.7;67;932.3;36;0.51444;5;
83423;06/01/2015;1800;30;20.4;40;931;23;0.8;10;
83423;07/01/2015;0000;23.9;20.2;71;931.6;0;0;2.5;
83423;07/01/2015;1200;26.6;21.7;64;932.4;14;1.3;7;
83423;07/01/2015;1800;31.2;21.9;42;930;36;0.8;8.75;
83423;08/01/2015;0000;28;20.8;49;929.6;9;0.5;0;
83423;08/01/2015;1200;28.4;21.9;55;932.2;5;2.5;2.5;
83423;08/01/2015;1800;33;21.2;32;929.5;9;1.6;7;
83423;09/01/2015;0000;28.9;21.2;48;929.4;9;0.8;1.25;
83423;09/01/2015;1200;28.5;21.2;51;932;14;1.54332;7;
83423;09/01/2015;1800;32.7;21.4;34;930;18;0.7;7.5;
83423;10/01/2015;0000;29;20.8;46;930.4;9;0.5;6.25;
83423;10/01/2015;1200;27.2;22.5;66;933.9;36;0.7;7.5;
83423;10/01/2015;1800;32.9;20.1;27;930.6;9;2.1;8.75;
