--------------------
BDMEP - INMET
--------------------
Estação           : IMPERATRIZ - MA (OMM: 82564)
Latitude  (graus) : -5.53
Longitude (graus) : -47.48
Altitude  (metros): 123.30
Estação Operante
Inicio de operação: 01/01/1913
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82564;01/01/2015;0000;29.9;26;73;998.4;0;0;0;
82564;01/01/2015;1200;28.8;26.1;79;1000.3;9;1.3;6;
82564;01/01/2015;1800;34.2;28.3;64;996.6;9;0.8;5;
82564;02/01/2015;0000;29.5;25.3;69;997.2;9;0.8;0;
82564;02/01/2015;1200;27.6;24.1;73;1000.5;9;0.3;10;
82564;02/01/2015;1800;33.6;27.9;62;997.2;36;1.6;8;
82564;03/01/2015;0000;27;25.2;85;999.4;18;0.3;10;
82564;03/01/2015;1200;28.5;26;82;999.9;9;1.6;7;
82564;03/01/2015;1800;34.2;28.5;65;995.8;27;0.3;5;
82564;04/01/2015;0000;24;23.3;95;998.4;2;0.8;10;
82564;04/01/2015;1200;26.8;24.6;81;999.9;2;1;6;
82564;04/01/2015;1800;33.5;28.5;66;997.2;0;0;7;
82564;05/01/2015;0000;27.3;24.6;80;999.3;0;0;4;
82564;05/01/2015;1200;28.7;26;78;1001.4;9;1.3;7;
82564;05/01/2015;1800;34.8;28.9;63;997.8;9;0.7;5;
82564;06/01/2015;0000;27.7;24.1;73;998.8;0;0;0;
82564;06/01/2015;1200;29;26.5;81;1000.3;36;1.3;6;
82564;06/01/2015;1800;33.6;27.7;61;997.4;36;1.6;6;
82564;07/01/2015;0000;27.6;25.9;86;999.1;0;0;10;
82564;07/01/2015;1200;27.7;25.9;86;999.7;36;1.3;8;
82564;07/01/2015;1800;29.8;26;73;997.7;9;2;10;
82564;08/01/2015;0000;26.9;25.6;88;997.9;0;0;7;
82564;08/01/2015;1200;26;24.5;88;999.7;0;0;7;
82564;08/01/2015;1800;32.3;27;66;995.6;14;0.5;6;
82564;09/01/2015;0000;27.7;24.6;76;997.2;0;0;3;
82564;09/01/2015;1200;27.4;24.4;76;999.3;0;0;4;
82564;09/01/2015;1800;33.7;27.9;62;996.4;18;1.3;7;
82564;10/01/2015;0000;28.8;26.9;84;996.7;0;0;8;
82564;10/01/2015;1200;29.3;26.7;82;998.8;36;1;7;
82564;10/01/2015;1800;32.2;27.3;67;997.1;27;0.3;5;
82564;11/01/2015;0000;29.5;26.8;79;996.9;36;0.3;8;
82564;11/01/2015;1200;27.2;24.6;80;1000.1;9;0.3;10;
82564;11/01/2015;1800;33.4;27.8;62;995.1;14;0.7;7;
82564;12/01/2015;0000;28.7;25.6;75;998;0;0;0;
82564;12/01/2015;1200;29.9;27;80;997.9;36;1.6;6;
82564;12/01/2015;1800;33.3;27.9;66;996.9;18;1;8;
82564;13/01/2015;0000;24.3;23.7;95;998.6;0;0;10;
82564;13/01/2015;1200;28.5;26;82;999.3;9;1.6;7;
82564;13/01/2015;1800;33.4;27.8;62;994.3;14;0.5;6;
82564;14/01/2015;0000;26.2;23.2;75;996.1;14;0.3;10;
82564;14/01/2015;1200;27.8;25.2;81;999.3;18;1.6;8;
82564;14/01/2015;1800;32.5;28;68;996.6;9;1.6;7;
82564;15/01/2015;0000;26;25.4;95;997.5;0;0;10;
82564;15/01/2015;1200;27.5;25.2;81;999.9;36;1;8;
82564;15/01/2015;1800;33.3;28.1;67;995.2;14;0.3;7;
82564;16/01/2015;0000;26.3;25.7;94;998.8;0;0;10;
82564;16/01/2015;1200;26.7;25.3;90;1001;36;1;10;
82564;16/01/2015;1800;29.8;26;73;997.9;36;1.6;10;
82564;17/01/2015;0000;27.7;25.6;83;999.1;0;0;8;
82564;17/01/2015;1200;28.9;26.6;82;1000.9;18;1.6;10;
82564;17/01/2015;1800;30.3;26.4;71;997.4;0;0;8;
82564;18/01/2015;0000;27.4;25.6;84;998.5;0;0;0;
82564;18/01/2015;1200;29.3;26.6;81;999.9;36;1;9;
82564;18/01/2015;1800;32;27.1;67;995.6;2;0.3;8;
82564;19/01/2015;0000;27.2;24.9;83;997.8;0;0;9;
82564;19/01/2015;1200;28.6;25.9;80;1000;9;1.02888;7.5;
82564;19/01/2015;1800;29.7;26;73;997.1;18;1.6;10;
82564;20/01/2015;0000;26.2;25;89;998.1;0;0;8;
82564;20/01/2015;1200;25.3;24.5;93;998.2;0;0;10;
82564;20/01/2015;1800;27.9;25.1;80;995.7;18;1.5;10;
82564;21/01/2015;0000;24.3;23.7;95;996.7;0;0;10;
82564;21/01/2015;1200;26.7;24.8;86;998.9;36;1;10;
82564;21/01/2015;1800;33.9;27.2;58;996.6;36;1;8;
82564;22/01/2015;0000;24.8;24.5;97;998.6;0;0;10;
82564;22/01/2015;1200;27.7;25.2;81;999.4;9;1;8;
82564;22/01/2015;1800;33;28;67;994.8;14;0.5;7;
82564;23/01/2015;0000;27.4;25.6;84;997.1;9;0.5;4;
82564;23/01/2015;1200;27.8;25.3;81;999.8;9;0.5;10;
82564;23/01/2015;1800;30.8;26;68;995.8;9;1;7;
82564;24/01/2015;0000;27.2;25.1;84;996.9;27;0.3;9;
82564;24/01/2015;1200;28.5;25.5;78;998.8;9;1.6;8;
82564;24/01/2015;1800;28.9;25.9;77;995.2;32;0.3;10;
82564;25/01/2015;0000;26.4;24.6;85;996.2;0;0;7;
82564;25/01/2015;1200;29.6;27;80;998.8;36;1;8;
82564;25/01/2015;1800;28.6;25.2;76;995.9;9;1;10;
82564;26/01/2015;0000;26.2;25.7;94;998.4;0;0;10;
82564;26/01/2015;1200;24.8;24.4;96;1000.8;18;0.5;10;
82564;26/01/2015;1800;31.5;27.1;71;997.4;18;1;8;
82564;27/01/2015;0000;26.7;25.4;90;996.4;0;0;3;
82564;27/01/2015;1200;29.3;26;77;998.7;36;1.6;8;
82564;27/01/2015;1800;32.6;27.6;65;997;9;1;8;
82564;28/01/2015;0000;28.9;25.7;76;997.1;0;0;0;
82564;28/01/2015;1200;29.5;26;73;998;36;1;7;
82564;28/01/2015;1800;33;27.8;66;996.3;27;1;7;
82564;29/01/2015;0000;30.2;26.8;74;995.4;0;0;2;
82564;29/01/2015;1200;29.7;26.8;78;997.6;36;1.6;8;
82564;29/01/2015;1800;33;27.9;67;996.1;9;1.6;7;
82564;30/01/2015;0000;29.5;26.8;79;994.8;0;0;0;
82564;30/01/2015;1200;29.2;26;77;997.9;9;1.6;6;
82564;30/01/2015;1800;32.9;27.1;62;996.4;9;1.6;8;
82564;31/01/2015;0000;30.6;26.1;69;995.3;5;0.3;0;
82564;31/01/2015;1200;29.2;26.3;79;996.9;18;1.6;8;
82564;31/01/2015;1800;33.5;26;52;995.9;9;1.6;7;
82564;01/02/2015;0000;30.2;25.5;66;995.5;36;0.3;0;
82564;01/02/2015;1200;27.2;24.5;80;998.7;0;0;10;
82564;01/02/2015;1800;28.4;24.6;72;997.4;23;0.5;10;
82564;02/02/2015;0000;27.2;24.5;80;997.1;0;0;4;
82564;02/02/2015;1200;27.5;25.4;82;999.4;9;0.3;10;
82564;02/02/2015;1800;30.9;26.5;68;995.8;36;0.5;8;
82564;03/02/2015;0000;27.3;24.2;77;999.5;0;0;5;
82564;03/02/2015;1200;28.5;25.9;81;998;9;0.8;7;
82564;03/02/2015;1800;33.2;27;61;996;0;0;3;
82564;04/02/2015;0000;29.5;26.3;75;997.2;14;0.3;3;
82564;04/02/2015;1200;26.6;24.2;81;999.9;0;0;10;
82564;04/02/2015;1800;28.9;25.5;74;996;9;1;8;
82564;05/02/2015;0000;26.8;24.9;83;997.5;0;0;9;
82564;05/02/2015;1200;26.2;24;81;998;18;1.6;10;
82564;05/02/2015;1800;29.9;25.6;70;994.8;9;1.6;7;
82564;06/02/2015;0000;27;25;84;997.5;0;0;1;
82564;06/02/2015;1200;28.5;25;75;995.8;9;1.6;8;
82564;06/02/2015;1800;32.6;27.8;67;995.1;32;0.7;7;
82564;07/02/2015;0000;27.7;24.3;74;997.3;0;0;2;
82564;07/02/2015;1200;27.5;25.2;81;995.8;18;0.8;10;
