--------------------
BDMEP - INMET
--------------------
Estação           : JOAO PESSOA - PB (OMM: 82798)
Latitude  (graus) : -7.1
Longitude (graus) : -34.86
Altitude  (metros): 7.43
Estação Operante
Inicio de operação: 01/01/1912
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82798;01/01/2015;0000;27.4;24.5;78;1015.5;14;3;6;
82798;01/01/2015;1200;30.2;24.3;60;1014.1;14;2;5;
82798;01/01/2015;1800;25.6;24.7;93;1012.3;14;2.3;8;
82798;02/01/2015;0000;25.2;24.3;92;1014.1;18;1.6;6;
82798;02/01/2015;1200;24.2;23.9;97;1014.7;9;1.6;10;
82798;02/01/2015;1800;26;23.9;83;1012.8;5;2;10;
82798;03/01/2015;0000;23.8;23.5;98;1014.5;0;0;8;
82798;03/01/2015;1200;28.2;24.1;70;1013.7;14;2.8;5;
82798;03/01/2015;1800;29.4;24.3;64;1011.3;14;3.3;3;
82798;04/01/2015;0000;26.8;22.6;68;1013.8;14;2.6;5;
82798;04/01/2015;1200;29;23.9;63;1015.6;5;3;5;
82798;04/01/2015;1800;29.2;23.9;62;1013.7;14;3;5;
82798;05/01/2015;0000;27;24.1;78;1014.6;9;1.6;5;
82798;05/01/2015;1200;29.2;24.3;65;1016.1;9;2.3;4;
82798;05/01/2015;1800;29.4;24.7;67;1014;9;2.3;5;
82798;06/01/2015;0000;27.2;24.1;77;1014.7;9;1.6;3;
82798;06/01/2015;1200;27.8;24.7;76;1015.4;14;4.1;6;
82798;06/01/2015;1800;29.4;24.7;67;1013.1;14;3.3;2;
82798;07/01/2015;0000;28;24.3;72;1015.6;14;2.6;5;
82798;07/01/2015;1200;28.2;24.1;70;1014.7;18;2.3;5;
82798;07/01/2015;1800;28.8;23.7;63;1013;14;3.3;7;
82798;08/01/2015;0000;27;23.5;73;1014.5;14;3;5;
82798;08/01/2015;1200;29.2;23.9;62;1014.6;14;3.3;4;
82798;08/01/2015;1800;28.8;24.1;66;1013.1;14;3.3;6;
82798;09/01/2015;0000;26.8;23.5;74;1014.1;14;3.3;5;
82798;09/01/2015;1200;29.4;24.5;66;1014.2;14;4.1;5;
82798;09/01/2015;1800;29;24.5;68;1013.2;14;5;4;
82798;10/01/2015;0000;26.8;23.3;73;1015.6;14;3.3;5;
82798;10/01/2015;1200;29.2;24.8;69;1015.2;14;3.3;8;
82798;10/01/2015;1800;29.6;24.7;65;1013.2;14;5;2;
82798;11/01/2015;0000;27.4;24.3;76;1015.3;14;3.3;4;
82798;11/01/2015;1200;27.8;24.3;73;1015.1;9;3.3;5;
82798;11/01/2015;1800;29;25.1;72;1013.2;9;3.3;6;
82798;12/01/2015;0000;27.4;24.1;75;1014.8;14;3;6;
82798;12/01/2015;1200;28;25.1;78;1015.9;14;3.3;8;
82798;12/01/2015;1800;29.4;25.1;70;1013.7;14;4.1;8;
82798;13/01/2015;0000;27.2;24.1;77;1015.5;18;3.3;6;
82798;13/01/2015;1200;29.4;24.7;67;1016;14;2.6;5;
82798;13/01/2015;1800;28.8;23.9;64;1013.3;14;2;7;
82798;14/01/2015;0000;26.8;23.7;76;1015.1;14;3;5;
82798;14/01/2015;1200;29.4;24.3;64;1014.7;14;4;5;
82798;14/01/2015;1800;28.6;24.3;68;1012.2;14;4.1;5;
82798;15/01/2015;0000;26.8;23;71;1013.8;14;2.5;4;
82798;15/01/2015;1200;28.6;24;66;1014.7;14;3.3;5;
82798;15/01/2015;1800;29.6;24.1;62;1013.3;14;3.3;3;
82798;16/01/2015;0000;26.6;23.9;79;1015.5;14;2.6;5;
82798;16/01/2015;1200;29.4;24.3;64;1016;14;3.3;5;
82798;16/01/2015;1800;30.1;24.8;63;1013;14;3.3;3;
82798;17/01/2015;0000;27.6;24.5;77;1014.6;14;3;6;
82798;17/01/2015;1200;29.4;24.7;67;1015;14;4.1;6;
82798;17/01/2015;1800;30;25.3;67;1013;14;4.5;5;
82798;18/01/2015;0000;26.8;24.3;80;1015.8;18;3.3;6;
82798;18/01/2015;1200;29.4;24.7;67;1014.6;14;3;5;
82798;18/01/2015;1800;29.8;24.9;65;1013.2;14;2;4;
82798;19/01/2015;0000;27.2;24.5;80;1014.9;14;2.1;6;
82798;19/01/2015;1200;29.8;25.3;68;1015.3;9;2.6;4;
82798;19/01/2015;1800;30.4;25.7;68;1012.9;14;2.5;5;
82798;20/01/2015;0000;27.4;24.5;78;1013.3;14;1.6;5;
82798;20/01/2015;1200;29.2;24.3;65;1013.3;14;4;6;
82798;20/01/2015;1800;30.2;25.3;66;1010.6;14;3.8;6;
82798;21/01/2015;0000;27.4;24.3;76;1011.5;14;2.5;3;
82798;21/01/2015;1200;29.6;25.1;68;1013.6;14;2.5;8;
82798;21/01/2015;1800;29;24.7;69;1011.8;9;3;6;
82798;22/01/2015;0000;27.6;24.7;78;1013.3;9;3.3;6;
82798;22/01/2015;1200;29.6;24.5;64;1014.3;9;2.1;5;
82798;22/01/2015;1800;30;24.3;61;1002.8;9;2.5;5;
82798;23/01/2015;0000;27.4;23;68;1013.9;14;2;5;
82798;23/01/2015;1200;29.8;24.9;65;1015;14;2.6;5;
82798;23/01/2015;1800;30.2;24.9;63;1013;14;4;8;
82798;24/01/2015;0000;27.6;24.8;79;1013.8;14;3.3;8;
82798;24/01/2015;1200;28.6;26.5;84;1013.9;9;1.6;8;
82798;24/01/2015;1800;29.6;25.3;69;1012.2;9;1.6;6;
82798;25/01/2015;0000;27.6;24.3;75;1014.2;9;2.3;6;
82798;25/01/2015;1200;29.4;24.9;68;1014.5;9;2;6;
82798;25/01/2015;1800;29.8;24.9;65;1012.5;9;2.3;5;
82798;26/01/2015;0000;27.2;23.9;75;1013.9;14;2.6;5;
82798;26/01/2015;1200;29.8;24.7;64;1014.6;14;3.8;4;
82798;26/01/2015;1800;30.2;25.1;65;1012.9;14;3;3;
82798;27/01/2015;0000;27.2;23.3;71;1013.6;14;3.3;2;
82798;27/01/2015;1200;28.6;23.3;62;1015;14;3.3;4;
82798;27/01/2015;1800;30.2;24.3;60;1012.7;14;3.3;5;
82798;28/01/2015;0000;27.2;23.5;72;1013.9;14;2;2;
82798;28/01/2015;1200;29.4;23.7;60;1014;14;2.6;5;
82798;28/01/2015;1800;29.6;24.1;62;1012.2;14;3.6;5;
82798;29/01/2015;0000;27.2;23.7;74;1014.3;14;2.3;4;
82798;29/01/2015;1200;26;24.9;92;1013.3;9;1.6;8;
82798;29/01/2015;1800;30;25.5;74;1010.5;14;2;4;
82798;30/01/2015;0000;27.4;24.5;78;1014;9;2.5;5;
82798;30/01/2015;1200;29.4;24.1;63;1014.1;9;2;6;
82798;30/01/2015;1800;30;24.9;64;1012.1;14;3;4;
82798;31/01/2015;0000;27.4;25.1;81;1014.3;14;2.1;4;
82798;31/01/2015;1200;29.6;24.9;66;1013.7;14;2.6;5;
82798;31/01/2015;1800;30.8;25.5;64;1012.4;14;2.6;4;
82798;01/02/2015;0000;27.4;24.7;79;1013.5;14;2.1;8;
82798;01/02/2015;1200;30;25.3;69;1013.7;14;3.3;5;
82798;01/02/2015;1800;30.2;24.7;63;1011.7;14;4.3;3;
82798;02/02/2015;0000;27.6;24.5;77;1014.4;14;3.3;4;
82798;02/02/2015;1200;28.4;25.2;77;1014.2;14;3.3;8;
82798;02/02/2015;1800;30.6;25.3;66;1012.1;14;3.3;8;
82798;03/02/2015;0000;27.8;24.5;77;1013.5;14;4.1;4;
82798;03/02/2015;1200;29.8;25.3;70;1014.7;9;2.3;6;
82798;03/02/2015;1800;30.2;25.3;66;1012;9;2.6;5;
82798;04/02/2015;0000;27.6;24.9;80;1013.1;14;2;5;
82798;04/02/2015;1200;29.4;25.3;70;1013.5;9;2.6;6;
82798;04/02/2015;1800;29.4;25.3;70;1010.6;9;2.1;8;
82798;05/02/2015;0000;27.6;24.5;77;1013;9;2.3;5;
82798;05/02/2015;1200;28;24.5;73;1013.8;9;1.6;1;
82798;05/02/2015;1800;28.8;24.7;70;1011.9;9;1.6;10;
82798;06/02/2015;0000;27.2;23.9;76;1013.2;14;2;6;
82798;06/02/2015;1200;29.6;24.9;67;1012.7;9;2.3;7;
82798;06/02/2015;1800;29.2;25.1;72;1010.8;9;2.5;8;
82798;07/02/2015;0000;27.6;24.7;78;1012.7;9;2.5;6;
82798;07/02/2015;1200;29.6;25.1;69;1012.9;14;3.3;8;
82798;07/02/2015;1800;29.8;24.7;66;1011.3;9;3.3;8;
82798;08/02/2015;0000;27.8;24.5;77;1012.7;14;2.5;5;
82798;08/02/2015;1200;29.2;24.9;71;1013.9;9;3.3;6;
82798;08/02/2015;1800;30.4;25.1;65;1012;18;5;4;
82798;09/02/2015;0000;27.2;23.9;76;1014.3;18;3.3;5;
82798;09/02/2015;1200;29.8;25.1;68;1012.9;18;3.8;5;
82798;09/02/2015;1800;30;24.9;67;1011.2;18;3;5;
82798;10/02/2015;0000;27.8;24.5;77;1013.1;14;2.3;4;
82798;10/02/2015;1200;29.8;25.1;68;1013;14;4.3;6;
82798;10/02/2015;1800;30.6;25.7;68;1011;14;3;5;
82798;11/02/2015;0000;27.6;24.9;80;1012.5;14;4.1;6;
82798;11/02/2015;1200;28.8;25;72;1015.2;9;2.5;8;
82798;11/02/2015;1800;30.6;25.4;66;1013.1;4;2.5;10;
82798;12/02/2015;0000;28;24.9;76;1015.3;14;3.3;6;
82798;12/02/2015;1200;30;25.9;73;1015.9;14;3;5;
82798;12/02/2015;1800;30.2;25.5;67;1014.4;14;3.3;3;
82798;13/02/2015;0000;27.8;24.1;74;1016.3;14;2.6;5;
82798;13/02/2015;1200;30;25.3;69;1015.5;14;3.6;5;
82798;13/02/2015;1800;30.2;25.1;65;1013.8;14;3;5;
82798;14/02/2015;0000;27.8;24.7;78;1015.6;14;3.3;4;
82798;14/02/2015;1200;29.2;25;72;1015.1;9;1.6;10;
82798;14/02/2015;1800;30.4;25.1;65;1012.2;9;2.5;5;
82798;15/02/2015;0000;27.8;24.7;78;1014.4;9;2.6;4;
82798;15/02/2015;1200;30;25.3;69;1015.1;9;1.6;5;
82798;15/02/2015;1800;29.8;25.1;68;1012.4;9;2;5;
82798;16/02/2015;0000;28;24.7;75;1014.6;14;2.6;4;
82798;16/02/2015;1200;30.2;25.3;66;1014.7;9;3.3;5;
82798;16/02/2015;1800;30;25.1;68;1012.5;9;3;6;
82798;17/02/2015;0000;27.6;24.9;80;1014.9;9;3;6;
82798;17/02/2015;1200;29.2;25;72;1013.5;9;1.6;5;
82798;17/02/2015;1800;30.4;25.7;68;1011.1;14;3.3;3;
82798;18/02/2015;0000;27.8;25.3;82;1012.8;14;2.6;4;
82798;18/02/2015;1200;29.8;25.5;71;1012.1;9;2.3;6;
82798;18/02/2015;1800;30.4;26.3;72;1010.6;14;3.3;6;
82798;19/02/2015;0000;27.8;24.9;79;1012.1;9;2.3;6;
82798;19/02/2015;1200;29.4;24.8;67;1011.5;14;3.6;5;
82798;19/02/2015;1800;29.4;24.4;65;1010.2;14;3;6;
82798;20/02/2015;0000;26.4;23.8;80;1011.5;18;2.5;8;
82798;20/02/2015;1200;27.2;25.1;85;1012.4;14;1.6;8;
82798;20/02/2015;1800;29.8;24.6;65;1011.2;9;1.6;8;
82798;21/02/2015;0000;27;25.3;87;1012.5;0;0;10;
82798;21/02/2015;1200;27.4;25.5;84;1013.2;14;1.3;9;
82798;21/02/2015;1800;30;25.5;70;1010.6;14;2;4;
82798;22/02/2015;0000;27.8;25.3;82;1012.3;14;2.3;6;
82798;22/02/2015;1200;28.4;25.1;77;1012.9;14;2;5;
82798;22/02/2015;1800;28.6;24.3;71;1010.9;9;1.6;8;
82798;23/02/2015;0000;27.6;24.7;78;1011.6;14;2.5;6;
82798;23/02/2015;1200;28.8;24.9;72;1013.1;14;2.5;6;
82798;23/02/2015;1800;30;25;67;1011.5;14;1.6;2;
82798;24/02/2015;0000;27.4;24.9;80;1013.3;14;2;3;
82798;24/02/2015;1200;30;25.5;70;1014.4;14;2.6;4;
82798;24/02/2015;1800;30;25.5;70;1012.5;14;3.3;5;
82798;25/02/2015;0000;28;24.9;76;1014.7;14;3;6;
82798;25/02/2015;1200;29.2;25.3;74;1015.8;14;3;5;
82798;25/02/2015;1800;30;25.3;69;1012.6;9;3.3;5;
82798;26/02/2015;0000;27.6;23.9;73;1015.6;14;2.6;6;
82798;26/02/2015;1200;29.8;25.1;68;1012.8;14;2.5;6;
82798;26/02/2015;1800;31.2;25.5;63;1010;14;3.3;4;
82798;27/02/2015;0000;27.8;24.8;79;1011.5;14;3;4;
82798;27/02/2015;1200;30.2;25.1;65;1012;14;2;3;
82798;27/02/2015;1800;30.2;24.9;64;1010;14;3.6;3;
82798;28/02/2015;0000;27.6;24.3;76;1016.6;14;2.6;5;
82798;28/02/2015;1200;29.8;25.1;68;1013.7;9;3;5;
82798;28/02/2015;1800;30.8;25.9;69;1011.4;14;2.6;5;
82798;01/03/2015;0000;28;25.3;79;1012.4;9;2;4;
82798;01/03/2015;1200;29;25.9;77;1014.1;5;2.5;8;
82798;01/03/2015;1800;29.8;25.7;71;1011.4;5;2.5;8;
