--------------------
BDMEP - INMET
--------------------
Estação           : LONDRINA - PR (OMM: 83766)
Latitude  (graus) : -23.31
Longitude (graus) : -51.13
Altitude  (metros): 566.00
Estação Operante
Inicio de operação: 11/12/1953
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83766;01/01/2015;0000;23.8;22.6;90;947;0;0;10;
83766;01/01/2015;1200;27;23.6;74;948;0;0;7;
83766;01/01/2015;1800;31;24.2;56;947.1;32;1;8;
83766;02/01/2015;0000;24.2;21.6;79;947.2;0;0;9;
83766;02/01/2015;1200;28;23.6;68;948;32;1;8;
83766;02/01/2015;1800;32.2;25;55;946.7;14;3;8;
83766;03/01/2015;0000;27;23.8;75;949.5;0;0;0;
83766;03/01/2015;1200;24.4;21.8;78;950;18;1;7;
83766;03/01/2015;1800;29.6;23.8;61;950.2;32;1;10;
83766;04/01/2015;0000;24.8;22.6;82;951.1;0;0;10;
83766;04/01/2015;1200;22.6;21.8;93;953.6;0;0;10;
83766;04/01/2015;1800;22.2;21.4;92;953.2;0;0;10;
83766;05/01/2015;0000;20.2;19.8;96;949.9;0;0;10;
83766;05/01/2015;1200;22.6;21.2;88;951.2;0;0;7;
83766;05/01/2015;1800;31.2;23.6;52;949.6;5;1;7;
83766;06/01/2015;0000;26.4;23;74;950.4;14;1;5;
83766;06/01/2015;1200;22.6;20.4;81;952.4;9;1;10;
83766;06/01/2015;1800;27.4;23;68;949.4;32;1;8;
83766;07/01/2015;0000;26.4;23.6;78;951.1;0;0;2;
83766;07/01/2015;1200;24.2;22.2;84;950.6;0;0;7;
83766;07/01/2015;1800;31.2;24;54;947.8;32;3;7;
83766;08/01/2015;0000;22.6;21.2;88;950;0;0;10;
83766;08/01/2015;1200;22.2;21;89;951.4;0;0;10;
83766;08/01/2015;1800;31.2;25;60;948.3;36;1;7;
83766;09/01/2015;0000;23;21.6;88;950;0;0;10;
83766;09/01/2015;1200;24;22.2;85;951.1;0;0;9;
83766;09/01/2015;1800;33.2;25;50;948.6;32;1;8;
83766;10/01/2015;0000;25.2;23;82;951.1;0;0;4;
83766;10/01/2015;1200;27.2;22.8;67;952.2;0;0;2;
83766;10/01/2015;1800;31.2;24.4;56;949.6;5;1;7;
83766;11/01/2015;0000;27.8;24;71;950.2;0;0;2;
83766;11/01/2015;1200;28;23.6;68;951.6;0;0;2;
83766;11/01/2015;1800;34.8;26;49;949.9;32;1;7;
83766;12/01/2015;0000;24.2;20.6;72;949.6;0;0;4;
83766;12/01/2015;1200;25.6;23;79;949.9;14;1;7;
83766;12/01/2015;1800;34.8;24.4;41;948;5;1;6;
83766;13/01/2015;0000;29.2;24.6;69;948.7;0;0;0;
83766;13/01/2015;1200;26.2;23;75;949.8;0;0;6;
83766;13/01/2015;1800;33.8;25.6;52;946.3;5;1;7;
83766;14/01/2015;0000;28;22.8;63;949.5;32;3;10;
83766;14/01/2015;1200;21;19.2;84;953.1;32;3;10;
83766;14/01/2015;1800;24.6;19.6;62;948.4;5;1;10;
83766;15/01/2015;0000;24.8;22;77;951.2;0;0;10;
83766;15/01/2015;1200;25.4;22.4;76;950.6;23;1;6;
83766;15/01/2015;1800;35.4;25.4;43;949.1;23;1;6;
