--------------------
BDMEP - INMET
--------------------
Estação           : MACAPA - AP (OMM: 82098)
Latitude  (graus) : -0.05
Longitude (graus) : -51.11
Altitude  (metros): 14.46
Estação Operante
Inicio de operação: 01/01/1925
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82098;01/01/2015;0000;26.4;23.6;77;1010.4;0;0;10;
82098;01/01/2015;1200;25.2;29.2;92;1012.1;0;0;8;
82098;01/01/2015;1800;30.4;26;69;1008.7;7;2.2;6;
82098;02/01/2015;0000;28;24.8;74;1010.2;5;3.3;5;
82098;02/01/2015;1200;27.4;25;80;1011.4;5;1.2;6;
82098;02/01/2015;1800;32.2;25;54;1009.2;7;3;6;
82098;03/01/2015;0000;28;24.6;73;1010.3;5;3.3;8;
82098;03/01/2015;1200;27.2;24.8;82;1010;5;3.3;8;
82098;03/01/2015;1800;32.4;25.8;58;1008.1;9;2.3;5;
82098;04/01/2015;0000;29;25.2;72;1010.1;5;1.6;6;
82098;04/01/2015;1200;28.6;24.1;68;1011.2;5;3.6;5;
82098;04/01/2015;1800;32.4;25.2;55;1008.2;5;4;6;
82098;05/01/2015;0000;25.8;24.6;89;1011.2;0;0;10;
82098;05/01/2015;1200;23;22;92;1014.3;18;1.2;10;
82098;05/01/2015;1800;23;23.6;78;1011.5;7;1.2;8;
82098;06/01/2015;0000;24.6;23.2;87;1012.7;0;0;10;
82098;06/01/2015;1200;25.1;23.8;88;1011.6;0;0;10;
82098;06/01/2015;1800;30.7;24.2;57;1009.6;9;2.8;7;
82098;07/01/2015;0000;26.5;24.2;82;1011.2;0;0;10;
82098;07/01/2015;1200;26.3;24.8;87;1010.9;0;0;8;
82098;07/01/2015;1800;30.9;25.4;61;1008.1;9;3.6;6;
82098;08/01/2015;0000;28;25;76;1009;7;4.1;8;
82098;08/01/2015;1200;26.8;25.2;86;1010.4;0;0;8;
82098;08/01/2015;1800;31;25.2;60;1009.2;9;4.1;9;
82098;09/01/2015;0000;27.4;24.6;77;1009.3;5;2.6;8;
82098;09/01/2015;1200;28.6;25.2;76;1011.3;5;2;6;
82098;09/01/2015;1800;31.2;26.1;65;1008.2;5;3.3;7;
82098;10/01/2015;0000;27.6;25;79;1010.1;7;2.1;8;
82098;10/01/2015;1200;27.4;25;80;1011.8;0;0;7;
82098;10/01/2015;1800;31.8;25.8;59;1007.7;9;4;6;
82098;11/01/2015;0000;28;24.6;73;1009.4;5;2.5;6;
82098;11/01/2015;1200;28.2;24.8;74;1011.3;0;0;6;
82098;11/01/2015;1800;30.7;26;68;1008.5;5;3;9;
82098;12/01/2015;0000;27.8;24.6;76;1010.2;9;2.8;7;
82098;12/01/2015;1200;27.2;25.3;86;1012.1;5;2;8;
82098;12/01/2015;1800;29.6;26.4;76;1009;5;2.3;10;
82098;13/01/2015;0000;27.6;24.8;78;1009.9;5;3.3;10;
82098;13/01/2015;1200;25.8;24.4;88;1010.8;5;1;10;
82098;13/01/2015;1800;31;26.6;68;1006.8;9;1.8;8;
82098;14/01/2015;0000;27.5;24.8;78;1009.5;0;0;6;
82098;14/01/2015;1200;27.9;25.5;82;1010.5;0;0;4;
