--------------------
BDMEP - INMET
--------------------
Estação           : MACEIO - AL (OMM: 82994)
Latitude  (graus) : -9.66
Longitude (graus) : -35.7
Altitude  (metros): 64.50
Estação Operante
Inicio de operação: 01/01/1909
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82994;01/01/2015;0000;26.2;24;83;1006;;;5;
82994;01/01/2015;1200;27.2;24;76;1006.7;;;9;
82994;01/01/2015;1800;28.4;24.4;70;1004.2;;;10;
82994;02/01/2015;0000;25.4;24;88;1005.8;;;9;
82994;02/01/2015;1200;27.6;24.4;77;1004.8;;;8;
82994;02/01/2015;1800;29.2;26;78;1004.6;;;7;
82994;03/01/2015;0000;26.2;23.8;80;1006;;;6;
82994;03/01/2015;1200;27.4;24.2;77;1005.3;;;9;
82994;03/01/2015;1800;29.8;26.2;75;1003.7;;;7;
82994;04/01/2015;0000;25.8;23.7;84;1006.3;;;6;
82994;04/01/2015;1200;28.2;24;71;1005.4;;;8;
82994;04/01/2015;1800;30.2;26.4;74;1003.8;;;6;
82994;05/01/2015;0000;25.2;23.8;89;1005.7;;;5;
82994;05/01/2015;1200;28.2;24.2;70;1007.7;;;8;
82994;05/01/2015;1800;29.9;25.2;68;1005.7;;;6;
82994;06/01/2015;0000;26.9;24.4;81;1007.4;;;8;
82994;06/01/2015;1200;28.1;24;70;1007.6;;;8;
82994;06/01/2015;1800;29.6;25;68;1005.9;;;6;
82994;07/01/2015;0000;26.6;24.2;81;1007.2;;;8;
82994;07/01/2015;1200;28.5;24.7;72;1007.3;;;8;
82994;07/01/2015;1800;30.2;25.4;67;1005.5;;;6;
82994;08/01/2015;0000;26.9;24.1;78;1007;;;8;
82994;08/01/2015;1200;27.4;23.8;74;1006.1;;;8;
82994;08/01/2015;1800;29.8;26.4;77;1005.2;;;7;
82994;09/01/2015;0000;26.4;23.7;80;1005.9;;;6;
82994;09/01/2015;1200;26.6;23.8;79;1005.1;;;8;
82994;09/01/2015;1800;28.6;25.6;79;1003.9;;;7;
82994;10/01/2015;0000;25.2;23.6;87;1005;;;6;
82994;10/01/2015;1200;27.1;23.1;71;1006.2;;;8;
82994;10/01/2015;1800;29.3;24.7;70;1004.6;;;6;
82994;11/01/2015;0000;26.7;23.8;79;1006;;;8;
82994;11/01/2015;1200;27.7;24.1;73;1006.9;;;8;
82994;11/01/2015;1800;29.9;25.3;68;1004.9;;;6;
82994;12/01/2015;0000;26.9;23.6;75;1007.3;;;8;
82994;12/01/2015;1200;28.2;24;69;1008.1;;;8;
82994;12/01/2015;1800;29.9;24.3;61;1006.7;;;5;
82994;13/01/2015;0000;27;24.2;78;1007.6;;;7;
82994;13/01/2015;1200;29.2;24.4;67;1005;;;7;
82994;13/01/2015;1800;30.2;26.2;73;1003.2;;;6;
82994;14/01/2015;0000;26.2;23.8;82;1005.6;;;5;
82994;14/01/2015;1200;28.6;23.6;66;1004.1;;;8;
82994;14/01/2015;1800;29.2;25.6;75;1003.2;;;7;
82994;15/01/2015;0000;26.4;23.9;81;1004.8;;;6;
82994;15/01/2015;1200;28.8;24;66;1004.1;;;8;
82994;15/01/2015;1800;29.4;25.7;74;1003.3;;;7;
82994;16/01/2015;0000;26.2;23.8;76;1004.3;;;6;
82994;16/01/2015;1200;28.4;24.2;71;1005.3;;;8;
82994;16/01/2015;1800;29.8;26.4;76;1004;;;7;
82994;17/01/2015;0000;26.4;24;82;1004.4;;;6;
82994;17/01/2015;1200;28.9;24.3;67;1006.2;;;8;
82994;17/01/2015;1800;30.6;25.8;67;1004.4;;;6;
82994;18/01/2015;0000;26.8;24.6;83;1006;;;8;
82994;18/01/2015;1200;28.6;24.8;72;1006.8;;;7;
82994;18/01/2015;1800;29.9;25.4;68;1004.8;;;6;
82994;19/01/2015;0000;26.5;24.3;83;1006.8;;;8;
82994;19/01/2015;1200;28.4;24.7;73;1006.7;;;8;
82994;19/01/2015;1800;30.8;25.8;66;1005.2;;;5;
82994;20/01/2015;0000;27.4;24.9;81;1007.3;;;8;
82994;20/01/2015;1200;28.2;24.4;72;1004.2;;;8;
82994;20/01/2015;1800;29.8;26.2;75;1003;;;7;
82994;21/01/2015;0000;26.4;23.8;80;1005.6;;;6;
82994;21/01/2015;1200;28.8;25.2;75;1003.9;;;9;
82994;21/01/2015;1800;29.2;25.8;76;1003;;;8;
82994;22/01/2015;0000;25.8;24.2;88;1004.3;;;5;
82994;22/01/2015;1200;29;25.3;74;1003.8;;;8;
82994;22/01/2015;1800;29.4;25.6;74;1003;;;8;
82994;23/01/2015;0000;26.2;24.3;86;1004.1;;;7;
82994;23/01/2015;1200;28.8;24.6;71;1003.9;;;8;
82994;23/01/2015;1800;28.6;25.6;79;1003;;;9;
82994;24/01/2015;0000;26.8;24.4;81;1005.4;;;9;
82994;24/01/2015;1200;26;23.4;79;1006;;;9;
82994;24/01/2015;1800;27.1;23.6;75;1004.6;;;9;
82994;25/01/2015;0000;25.5;23;80;1005.4;;;9;
82994;25/01/2015;1200;26.9;23.6;75;1005.8;;;8;
82994;25/01/2015;1800;28;24.5;74;1004.3;;;6;
82994;26/01/2015;0000;26;23.2;78;1005.6;;;8;
82994;26/01/2015;1200;28.4;24.7;74;1006;;;8;
82994;26/01/2015;1800;30;26.2;74;1003.6;;;7;
82994;27/01/2015;0000;26.2;23.8;82;1005.4;;;6;
82994;27/01/2015;1200;28.6;24.3;70;1005.9;;;8;
82994;27/01/2015;1800;30.2;26.4;75;1003.4;;;6;
82994;28/01/2015;0000;26.4;24;82;1005;;;5;
82994;28/01/2015;1200;29.6;24.4;64;1005.1;;;8;
82994;28/01/2015;1800;30;26.2;73;1004.2;;;9;
82994;29/01/2015;0000;26.4;24.1;83;1005.7;;;6;
82994;29/01/2015;1200;26;24.4;88;1005.2;;;9;
82994;29/01/2015;1800;28.4;24.9;74;1003.5;;;7;
82994;30/01/2015;0000;25.9;24;85;1005.7;;;8;
82994;30/01/2015;1200;27.4;25.4;84;1005.5;;;9;
82994;30/01/2015;1800;29;24;65;1004.7;;;8;
82994;31/01/2015;0000;25.8;24;86;1005.2;;;9;
82994;31/01/2015;1200;27.5;24.6;79;1005.9;;;8;
82994;31/01/2015;1800;28.8;24.9;73;1004.2;;;6;
82994;01/02/2015;0000;25.9;23.8;84;1005.3;;;7;
82994;01/02/2015;1200;27.3;24.4;80;1006.1;;;7;
82994;01/02/2015;1800;28.6;25;76;1003.8;;;6;
82994;02/02/2015;0000;25.7;23.6;83;1005.4;;;8;
82994;02/02/2015;1200;29;24;65;1006;;;6;
82994;02/02/2015;1800;29.4;23.4;58;1004.6;;;6;
82994;03/02/2015;0000;25.8;23.8;84;1005.7;;;6;
82994;03/02/2015;1200;28.2;24.2;70;1006.1;;;7;
82994;03/02/2015;1800;29.4;22.4;52;1004.8;;;7;
82994;04/02/2015;0000;25.2;23.8;89;1006;;;7;
82994;04/02/2015;1200;28.2;24.4;72;1006.3;;;9;
82994;04/02/2015;1800;29.2;25.8;76;1005;;;8;
82994;05/02/2015;0000;25.8;24.2;88;1005.8;;;9;
82994;05/02/2015;1200;26;24.8;90;1004.8;;;10;
82994;05/02/2015;1800;28.2;25;76;1004;;;9;
82994;06/02/2015;0000;25.5;23.4;83;1004.7;;;8;
82994;06/02/2015;1200;26.6;24.3;82;1004.9;;;8;
82994;06/02/2015;1800;28.8;24.9;72;1003.4;;;7;
82994;07/02/2015;0000;26;24;84;1004.9;;;9;
82994;07/02/2015;1200;27;24.6;81;1005.2;;;8;
82994;07/02/2015;1800;29.4;25.1;69;1003.8;;;6;
82994;08/02/2015;0000;26.1;24.6;88;1005;;;7;
82994;08/02/2015;1200;27.3;24.9;81;1004.9;;;7;
82994;08/02/2015;1800;30.8;25.5;64;1002.7;;;6;
82994;09/02/2015;0000;26.8;24.4;81;1004.4;;;8;
82994;09/02/2015;1200;27.5;24.8;80;1005;;;8;
82994;09/02/2015;1800;30.3;25.1;65;1003.3;;;6;
82994;10/02/2015;0000;26.8;25;90;1005;;;7;
82994;10/02/2015;1200;28;24;70;1005.4;;;8;
82994;10/02/2015;1800;28.8;25.8;78;1004.6;;;10;
82994;11/02/2015;0000;25.2;23.8;89;1005.4;;;8;
82994;11/02/2015;1200;28;24.8;76;1006.3;;;7;
82994;11/02/2015;1800;29.4;22.4;52;1005;;;6;
82994;12/02/2015;0000;24.2;23;90;1005.6;;;7;
82994;12/02/2015;1200;27.6;24.6;77;1007.2;;;8;
82994;12/02/2015;1800;29.2;25;70;1005.2;;;7;
82994;13/02/2015;0000;25.8;24;86;1006.1;;;7;
82994;13/02/2015;1800;29;25;71;1005.9;;;9;
82994;14/02/2015;0000;26;24;86;1006.6;;;8;
82994;14/02/2015;1200;28.4;24.4;70;1007;;;8;
82994;14/02/2015;1800;29.2;23.2;58;1005.9;;;6;
82994;15/02/2015;0000;25.8;24;86;1006.4;;;7;
82994;16/02/2015;1200;28.4;24;68;1006.9;;;8;
82994;16/02/2015;1800;29.4;24.4;65;1005.9;;;6;
82994;17/02/2015;0000;26;24.6;89;1006.4;;;6;
82994;17/02/2015;1200;27.8;24.4;75;1006.6;;;6;
82994;17/02/2015;1800;29.6;24.6;65;1005.8;;;6;
