--------------------
BDMEP - INMET
--------------------
Estação           : MANAUS - AM (OMM: 82331)
Latitude  (graus) : -3.1
Longitude (graus) : -60.01
Altitude  (metros): 61.25
Estação Operante
Inicio de operação: 01/01/1910
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82331;01/01/2015;0000;28;24.4;73;1002.6;0;0;0;
82331;01/01/2015;1200;27.9;25.2;80;1005.1;5;1;9;
82331;01/01/2015;1800;31.7;26.9;67;1003;5;1;5;
82331;02/01/2015;0000;26.7;24.8;85;1003;5;1;10;
82331;02/01/2015;1200;27.2;25.6;88;1005.7;0;0;9;
82331;02/01/2015;1800;31.4;26.2;65;1002.8;9;1;10;
82331;03/01/2015;0000;27.6;25;80;1002.9;0;0;8;
82331;03/01/2015;1200;27;24.8;83;1005.5;0;0;7;
82331;03/01/2015;1800;32.4;26.1;59;1002.6;9;2;9;
82331;04/01/2015;0000;29.4;25.6;73;1003;0;0;9;
82331;04/01/2015;1200;27.9;25.9;85;1006.5;23;1;5;
82331;04/01/2015;1800;29.1;26.5;80;1003.5;23;1;10;
82331;05/01/2015;0000;26.7;24.3;81;1003.8;23;1;4;
82331;05/01/2015;1200;25.9;24.7;91;1005.9;5;1;9;
82331;05/01/2015;1800;28.5;25.5;77;1004.1;5;1;10;
82331;06/01/2015;0000;25.6;23.8;85;1004.6;5;1;8;
82331;06/01/2015;1200;25.5;24.3;90;1007;5;2;10;
82331;06/01/2015;1800;28.3;25.5;79;1004;5;2;10;
82331;07/01/2015;0000;25.6;24.4;90;1002.9;0;0;2;
82331;07/01/2015;1200;27.7;25.3;81;1005.2;5;1;3;
82331;07/01/2015;1800;32.9;26.1;56;1001.5;5;1;5;
82331;08/01/2015;0000;28.4;24.2;70;1001.6;5;1;0;
82331;08/01/2015;1200;26.9;24.6;83;1005.1;0;0;7;
82331;08/01/2015;1800;32.6;26.2;59;1001.6;5;1;9;
82331;09/01/2015;0000;29.2;25.6;74;1002;0;0;8;
82331;09/01/2015;1200;23.2;22.4;93;1006.1;0;0;10;
82331;09/01/2015;1800;26.6;25;87;1003.5;0;0;10;
82331;10/01/2015;0000;26.4;25;89;1003.4;5;1;7;
82331;10/01/2015;1200;25.8;24.6;91;1006.8;5;3;10;
82331;10/01/2015;1800;27;25.3;86;1003.8;0;0;10;
82331;11/01/2015;0000;25.6;24.8;93;1003.4;9;1;10;
82331;11/01/2015;1200;26.4;25.1;90;1006.2;23;1;10;
82331;11/01/2015;1800;23.5;23.2;97;1005.2;5;1;10;
82331;12/01/2015;0000;23.7;23.2;96;1003.4;0;0;10;
82331;12/01/2015;1200;24.3;23.9;97;1006.8;0;0;8;
82331;12/01/2015;1800;30.2;25.5;67;1003.1;5;1;6;
82331;13/01/2015;0000;24;23;91;1003.5;5;1;0;
82331;13/01/2015;1200;26.5;24.9;87;1005.1;5;1;4;
82331;13/01/2015;1800;31.3;26.1;65;1001.9;5;2;8;
82331;14/01/2015;0000;26.8;25;86;1003.5;5;2;9;
82331;14/01/2015;1200;25.7;23.9;85;1006;14;2;10;
82331;14/01/2015;1800;23.8;23.3;96;1004.4;5;1;10;
82331;15/01/2015;0000;24.6;23.9;94;1004.2;5;1;10;
82331;15/01/2015;1200;24.8;23.8;92;1007.4;5;1;10;
82331;15/01/2015;1800;30.2;25.8;69;1004.5;5;2;8;
82331;16/01/2015;0000;27.8;25.4;81;1003.1;0;0;7;
82331;16/01/2015;1200;26.2;24.8;89;1006.2;0;0;9;
82331;16/01/2015;1800;32;26;61;1002.5;5;1;8;
82331;17/01/2015;0000;25.2;24;90;1003.9;0;0;10;
82331;17/01/2015;1200;24.8;23.7;92;1006.1;9;1;10;
82331;17/01/2015;1800;28.8;25.4;74;1003.9;5;1;7;
82331;18/01/2015;0000;23.8;22.6;90;1003.7;0;0;3;
82331;18/01/2015;1200;25.4;24.1;90;1006.2;5;1;9;
82331;18/01/2015;1800;32.5;26.7;62;1001.8;5;1;8;
82331;19/01/2015;0000;26;24;84;1003.5;9;2;8;
82331;19/01/2015;1200;25.1;23.7;89;1005.7;5;1;10;
82331;19/01/2015;1800;30;25.7;70;1003.1;9;2;8;
82331;20/01/2015;0000;23.3;22.8;95;1003.7;0;0;10;
82331;20/01/2015;1200;24.8;23.8;92;1005.4;23;1;10;
82331;20/01/2015;1800;30;25.6;69;1002.2;5;1;9;
82331;21/01/2015;0000;24.2;23.4;93;1002.7;0;0;8;
82331;21/01/2015;1200;25.6;24.3;89;1006;0;0;9;
82331;21/01/2015;1800;29.8;25.8;71;1001.9;5;1;9;
82331;22/01/2015;0000;26.6;23.2;74;1002.5;9;1;7;
82331;22/01/2015;1200;26.2;24.6;88;1005.1;0;0;9;
82331;22/01/2015;1800;32.4;26.1;59;1001.1;9;2;7;
82331;23/01/2015;0000;26;24.2;86;1003;5;1;7;
82331;23/01/2015;1200;25.5;24.3;90;1005.6;27;2;10;
82331;23/01/2015;1800;23.8;23.5;98;1003.9;5;1;10;
82331;24/01/2015;0000;25.5;23.7;86;1003;0;0;10;
82331;24/01/2015;1200;24.8;23.9;93;1003.2;9;2;10;
82331;24/01/2015;1800;23.9;23.3;95;1004.6;5;1;10;
82331;25/01/2015;0000;24;23.1;92;1004.6;5;1;10;
82331;25/01/2015;1200;24.3;23.3;92;1005.2;0;0;10;
82331;25/01/2015;1800;30.9;25.6;64;1003.4;9;1;8;
82331;26/01/2015;0000;25.1;24.2;93;1003.3;0;0;10;
82331;26/01/2015;1200;25.9;24.4;88;1005.2;5;1;8;
82331;26/01/2015;1800;29.8;25.2;67;1002.9;5;3;8;
82331;27/01/2015;0000;24.2;23;90;1002.3;5;2;5;
82331;27/01/2015;1200;26;24.2;86;1004.9;5;1;8;
82331;27/01/2015;1800;31.6;25.3;59;1002.7;5;2;9;
82331;28/01/2015;0000;28;24.6;75;1001.7;0;0;0;
82331;28/01/2015;1200;27.8;25.6;83;1004.5;0;0;5;
82331;28/01/2015;1800;30.8;25.8;66;1002;5;2;10;
82331;29/01/2015;0000;27.6;25;80;1002.1;5;1;10;
82331;29/01/2015;1200;26.5;24.5;84;1004.7;18;1;4;
82331;29/01/2015;1800;30.8;26;67;1001.7;9;1;9;
82331;30/01/2015;0000;27.5;24.4;76;1003.6;5;1;9;
82331;30/01/2015;1200;27.7;25.1;80;1003.9;5;1;8;
82331;30/01/2015;1800;32.7;26.7;61;1000.1;5;2;8;
82331;31/01/2015;0000;26.9;24.4;81;1000.9;5;1;9;
82331;31/01/2015;1200;25.7;24.9;93;1004.9;5;1;10;
82331;31/01/2015;1800;26.3;24.2;84;1002.8;5;1;10;
82331;01/02/2015;0000;25.3;24.7;96;1002.9;5;1;8;
82331;01/02/2015;1200;25.2;24.4;93;1005.6;32;1;10;
82331;01/02/2015;1800;23.6;23;95;1004.9;5;1;10;
82331;02/02/2015;0000;23.2;22.8;96;1003.8;0;0;10;
82331;02/02/2015;1200;24;23.2;93;1007.5;0;0;10;
82331;02/02/2015;1800;27.9;24.6;76;1004.5;9;1;10;
82331;03/02/2015;0000;23.8;22.8;71;1008;0;0;10;
82331;03/02/2015;1200;25;23.4;87;1007;5;2;8;
82331;03/02/2015;1800;30.6;25.4;64;1004.1;9;1;9;
82331;04/02/2015;0000;26.2;24.2;85;1003.6;0;0;0;
82331;04/02/2015;1200;27;24.2;79;1005.7;0;0;9;
82331;04/02/2015;1800;29.8;26;73;1003;32;1;8;
82331;05/02/2015;0000;26.4;24.7;87;1002.6;0;0;6;
82331;05/02/2015;1200;26.4;24.4;84;1004.8;5;1;10;
82331;05/02/2015;1800;32;25.4;57;1001.7;5;2;8;
82331;06/02/2015;0000;28.6;25;73;1001.2;5;1;9;
82331;06/02/2015;1200;27.7;23.4;68;1004.9;0;0;5;
82331;06/02/2015;1800;31.2;24.3;55;1002.1;5;2;9;
82331;07/02/2015;0000;28.6;24.6;71;1001.9;0;0;0;
82331;07/02/2015;1200;26.6;24.2;82;1003.6;0;0;10;
82331;07/02/2015;1800;33.2;25.6;53;1000.9;5;1;6;
82331;08/02/2015;0000;30.4;25.4;65;1001.4;5;1;8;
82331;08/02/2015;1200;28.8;25;72;1004.1;5;1;7;
82331;08/02/2015;1800;33.5;26.5;56;1001.5;5;2;8;
82331;09/02/2015;0000;29.3;25.1;70;1001.3;5;1;5;
82331;09/02/2015;1200;26;24.3;86;1005.1;5;1;10;
82331;09/02/2015;1800;31.2;26.7;69;1002.8;5;1;10;
82331;10/02/2015;0000;26.1;25.1;92;1003.1;0;0;9;
82331;10/02/2015;1200;25.7;24.7;92;1004.7;5;1;10;
82331;10/02/2015;1800;31.5;25.9;62;1002.8;5;2;9;
82331;11/02/2015;0000;28.1;25.4;79;1003.2;0;0;0;
82331;11/02/2015;1200;27.6;25.6;85;1004.7;5;1;9;
82331;11/02/2015;1800;28.8;26;79;1002.4;5;1;8;
82331;12/02/2015;0000;27.2;25.2;85;1002.3;0;0;4;
82331;12/02/2015;1200;28.4;26.2;83;1005.7;5;2;4;
