--------------------
BDMEP - INMET
--------------------
Estação           : MARABA - PA (OMM: 82562)
Latitude  (graus) : -5.36
Longitude (graus) : -49.13
Altitude  (metros): 95.00
Estação Operante
Inicio de operação: 01/01/1952
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82562;01/01/2015;0000;28.4;25.5;78;;36;1.3;0;
82562;01/01/2015;1200;26.7;24.2;81;;36;0.5;8;
82562;01/01/2015;1800;32.5;24.9;50;;5;2;4;
82562;02/01/2015;0000;29.3;25.8;75;;36;0.8;0;
82562;02/01/2015;1200;25.7;23.4;80;;36;4.6;5;
82562;02/01/2015;1800;32.1;25.8;59;;5;0.7;4;
82562;03/01/2015;0000;26.3;24;81;;36;0.5;5;
82562;03/01/2015;1200;27.1;24.4;79;;36;2;4;
82562;03/01/2015;1800;32.1;26.4;62;;32;2.6;4;
82562;04/01/2015;0000;28.7;25.2;73;;36;1.6;8;
82562;04/01/2015;1200;25.2;23.3;83;;36;2.5;10;
82562;04/01/2015;1800;31.8;25.4;57;;14;1.3;7;
82562;05/01/2015;0000;28.9;26;78;;14;0.8;8;
82562;05/01/2015;1200;26.5;23.4;76;;36;1;5;
82562;05/01/2015;1800;31.7;24.8;54;;36;1.5;4;
82562;06/01/2015;0000;26.5;23.4;76;;36;1.3;4;
82562;06/01/2015;1200;23.8;22.5;89;;36;1.6;10;
82562;06/01/2015;1800;30.5;24.6;60;;36;1.3;5;
82562;07/01/2015;0000;28.1;25;75;;0;0;0;
82562;07/01/2015;1200;26.1;24;84;;36;2.6;9;
82562;07/01/2015;1800;32.3;25.8;58;;36;2;6;
82562;08/01/2015;0000;23.5;22.2;90;;9;0.8;10;
82562;08/01/2015;1200;24.6;23.1;86;;23;1;4;
82562;08/01/2015;1800;30;25.2;67;;5;2.5;5;
82562;09/01/2015;0000;26.5;24;80;;36;0.5;0;
82562;09/01/2015;1200;24.8;23;85;;0;0;10;
82562;09/01/2015;1800;32.1;25.8;59;;0;0;5;
82562;10/01/2015;0000;29.1;26.4;80;;0;0;5;
82562;10/01/2015;1200;26.1;24.6;89;;0;0;10;
82562;10/01/2015;1800;29.1;25.8;76;;0;0;9;
82562;11/01/2015;0000;25.7;22.6;74;;0;0;7;
82562;11/01/2015;1200;25.1;23.7;87;;0;0;10;
82562;11/01/2015;1800;31;26;65;;0;0;6;
82562;12/01/2015;0000;25.6;23.8;84;;0;0;4;
82562;12/01/2015;1200;26.1;24.2;85;;0;0;9;
82562;12/01/2015;1800;31;25.4;61;;0;0;4;
82562;13/01/2015;0000;22.8;21.7;90;;0;0;10;
82562;13/01/2015;1200;24.1;23.3;92;;0;0;6;
82562;13/01/2015;1800;31.7;26;60;;0;0;7;
82562;14/01/2015;0000;24.6;22;77;;0;0;10;
82562;14/01/2015;1200;24.6;23.7;91;;0;0;10;
82562;14/01/2015;1800;28.7;25;71;;0;0;9;
82562;15/01/2015;0000;25.1;22.8;80;;0;0;10;
82562;15/01/2015;1200;27;24.5;80;;0;0;5;
82562;15/01/2015;1800;31.4;25.4;60;;0;0;7;
82562;16/01/2015;0000;25.7;23.5;81;;0;0;10;
82562;16/01/2015;1200;23.2;23;97;;0;0;10;
82562;16/01/2015;1800;27.3;24.6;80;;0;0;9;
82562;17/01/2015;0000;25.6;24.1;86;;0;0;10;
82562;17/01/2015;1200;25.1;23.6;86;;0;0;9;
82562;17/01/2015;1800;29.2;25.5;74;;0;0;9;
82562;18/01/2015;0000;24.5;23.6;93;;0;0;3;
82562;18/01/2015;1200;24.6;23.5;89;;0;0;10;
82562;18/01/2015;1800;29.2;25.3;72;;0;0;9;
82562;19/01/2015;0000;27.5;25.3;82;;0;0;9;
82562;19/01/2015;1200;24.2;23.4;93;;32;0;10;
82562;19/01/2015;1800;29;25.3;73;;0;0;9;
82562;20/01/2015;0000;21.8;21.4;95;;0;0;10;
82562;20/01/2015;1200;22.8;22.4;96;;0;0;10;
82562;20/01/2015;1800;30.1;25.4;65;;0;0;7;
82562;21/01/2015;0000;23.8;23;93;;0;0;10;
82562;21/01/2015;1200;24.1;22.9;88;;0;0;9;
82562;21/01/2015;1800;30.9;25.8;63;;0;0;8;
82562;22/01/2015;0000;26;23.1;77;;0;0;8;
82562;22/01/2015;1200;23.8;22.8;91;;0;0;10;
82562;22/01/2015;1800;30.7;25.4;64;;0;0;5;
82562;23/01/2015;0000;27.2;25.1;84;;0;0;3;
82562;23/01/2015;1200;22.8;22.6;98;;0;0;10;
82562;23/01/2015;1800;24.2;23.8;96;;0;0;8;
82562;24/01/2015;0000;25;24;92;;0;0;10;
82562;24/01/2015;1200;25.1;24.2;91;;0;0;10;
82562;24/01/2015;1800;28.1;25.5;79;;0;0;9;
82562;25/01/2015;0000;24.2;23.6;94;;0;0;7;
82562;25/01/2015;1200;24;23.7;98;;0;0;9;
82562;25/01/2015;1800;30;25.8;71;;0;0;8;
82562;26/01/2015;0000;23.6;23.3;96;;0;0;10;
82562;26/01/2015;1200;22.6;22.2;95;;0;0;10;
82562;26/01/2015;1800;29.3;25.5;73;;0;0;8;
