--------------------
BDMEP - INMET
--------------------
Estação           : MONTES CLAROS - MG (OMM: 83437)
Latitude  (graus) : -16.68
Longitude (graus) : -43.84
Altitude  (metros): 652.00
Estação Operante
Inicio de operação: 01/01/1912
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83437;01/01/2015;0000;27;20.6;54;940.2;27;1.1;2;
83437;01/01/2015;1200;27.1;21;56;942.7;36;1.5;7;
83437;01/01/2015;1800;35.4;22.4;29;938.2;36;2.1;4;
83437;02/01/2015;0000;29.4;21.4;46;939.8;36;1.6;6;
83437;02/01/2015;1200;28.4;20.4;46;941.9;36;2.6;1;
83437;02/01/2015;1800;35.1;22.7;32;938.1;32;2;5;
83437;03/01/2015;0000;27.9;22.4;61;939.8;36;1.6;3;
83437;03/01/2015;1200;28.4;21.1;50;941.5;5;1.6;1;
83437;03/01/2015;1800;36.3;22.1;26;937.6;5;3.6;2;
83437;04/01/2015;0000;28.4;19.8;43;939.2;36;2;2;
83437;04/01/2015;1200;26.5;19.9;52;943.4;36;1.6;2;
83437;04/01/2015;1800;34.3;22.1;31;939.5;14;2.1;4;
83437;05/01/2015;0000;26.4;18.6;44;941.4;36;1.5;0;
83437;05/01/2015;1200;26.4;20.1;54;943.5;5;1.6;1;
83437;05/01/2015;1800;32.6;19.7;26;940.3;5;4.3;3;
83437;06/01/2015;0000;26.2;18.2;43;941.6;5;1.1;1;
83437;06/01/2015;1200;25.8;20.1;57;944;5;1.6;6;
83437;06/01/2015;1800;33;20.9;31;941.3;14;1.8;6;
83437;07/01/2015;0000;27.2;20.1;50;942.2;9;1.6;1;
83437;07/01/2015;1200;26.8;20.8;56;943.4;9;2;2;
83437;07/01/2015;1800;32.3;21.4;36;940.2;9;2;6;
83437;08/01/2015;0000;26.6;21.2;61;940.9;9;1.6;2;
83437;08/01/2015;1200;26;19.5;53;944;9;2.3;2;
83437;08/01/2015;1800;32.8;20.3;28;940;14;2.1;1;
83437;09/01/2015;0000;25.8;18.3;45;941.4;9;1.6;0;
83437;09/01/2015;1200;27;19.9;49;944.5;5;3.6;1;
83437;09/01/2015;1800;33.9;20.9;28;940;5;2.6;3;
83437;10/01/2015;0000;28;21;50;941;0;0;2;
