--------------------
BDMEP - INMET
--------------------
Estação           : NATAL - RN (OMM: 82598)
Latitude  (graus) : -5.91
Longitude (graus) : -35.2
Altitude  (metros): 48.60
Estação Operante
Inicio de operação: 01/01/1911
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82598;01/01/2015;0000;26.8;24.8;85;1009.3;14;3.3;7;
82598;01/01/2015;1200;29;26;79;1009.3;14;4.1;8;
82598;01/01/2015;1800;29;25.2;74;1006.2;14;3.3;6;
82598;02/01/2015;0000;26.6;24.4;84;1008.8;14;1.6;8;
82598;02/01/2015;1200;28.2;25;77;1008.6;14;1.6;10;
82598;02/01/2015;1800;27.2;24.4;79;1006.7;14;6.5;8;
82598;03/01/2015;0000;24.8;23.2;88;1009.1;14;0.5;8;
82598;03/01/2015;1200;28.2;24.6;75;1007.9;14;3.3;7;
82598;03/01/2015;1800;28.4;24;69;1005.6;14;5;3;
82598;04/01/2015;0000;26.4;24;82;1008.7;14;1.6;5;
82598;04/01/2015;1200;27;24.6;82;1010.3;14;3.3;10;
82598;04/01/2015;1800;29;25.4;75;1007.5;9;4.1;9;
82598;05/01/2015;0000;26.4;23.4;78;1011.1;9;2.8;8;
82598;05/01/2015;1200;28.4;25;76;1010.9;14;3.3;7;
82598;05/01/2015;1800;28.6;24.8;74;1009.1;14;3.6;8;
82598;06/01/2015;0000;26.8;24.4;82;1010.1;14;3.1;7;
82598;06/01/2015;1200;29.4;25.6;74;1009.5;14;4.1;9;
82598;06/01/2015;1800;29.2;25.8;76;1007.4;14;5.8;6;
82598;07/01/2015;0000;27;24;78;1009.7;14;3.3;7;
82598;07/01/2015;1200;28.6;25.6;79;1009.5;14;4.1;9;
82598;07/01/2015;1800;29;24.4;69;1007.4;14;5.3;7;
82598;08/01/2015;0000;26.6;23.8;79;1009.2;14;2.1;7;
82598;08/01/2015;1200;28.4;25;76;1009.4;14;5;9;
82598;08/01/2015;1800;29;24.2;67;1008;14;5;4;
82598;09/01/2015;0000;26.8;24.4;82;1009.1;14;4.1;7;
82598;09/01/2015;1200;28.6;25;75;1009.1;14;5;9;
82598;09/01/2015;1800;29;24.8;71;1007.4;14;5.3;7;
82598;10/01/2015;0000;26.6;23.6;78;1009.8;14;5;7;
82598;10/01/2015;1200;28;24.4;75;1009.7;14;5;8;
82598;10/01/2015;1800;29;25.2;74;1007.4;14;5;5;
82598;11/01/2015;0000;25.6;24.4;91;1010.8;14;4.6;8;
82598;11/01/2015;1200;27.8;25;80;1009.5;14;5;9;
82598;11/01/2015;1800;28.6;25.2;76;1007.9;14;4.5;4;
82598;12/01/2015;0000;26.8;24.2;81;1010;14;3.1;8;
82598;12/01/2015;1200;28.2;25.4;80;1010.3;14;4.1;9;
82598;12/01/2015;1800;28.8;26.2;82;1007.6;14;5.3;8;
82598;13/01/2015;0000;26.8;24.8;85;1009.3;14;5;7;
82598;13/01/2015;1200;27.8;25.2;81;1009.5;14;4.1;8;
82598;13/01/2015;1800;28.8;24.2;69;1007.2;14;5;7;
82598;14/01/2015;0000;26.8;23.8;78;1009.7;14;3.3;9;
82598;14/01/2015;1200;28;25.2;80;1008.7;14;5;9;
82598;14/01/2015;1800;29.2;24.2;66;1007.8;14;5;7;
82598;15/01/2015;0000;26.6;24.6;85;1008.6;14;4.1;7;
82598;15/01/2015;1200;28.8;25.4;76;1009.3;14;5;7;
82598;15/01/2015;1800;29.4;24.6;67;1007.7;14;4.8;4;
82598;16/01/2015;0000;26.6;24;81;1009.8;14;5;8;
82598;16/01/2015;1200;28.6;26;82;1009.9;14;5;4;
82598;16/01/2015;1800;29;24.8;71;1007.3;14;4.6;6;
82598;17/01/2015;0000;26.8;24.8;85;1009.1;14;3.3;8;
82598;17/01/2015;1200;29.2;24.8;70;1009.7;14;5;8;
82598;17/01/2015;1800;28.4;25.2;77;1006.6;14;4.1;8;
82598;18/01/2015;0000;26.2;24.8;89;1008.9;14;3.6;9;
82598;18/01/2015;1200;26.4;24.8;88;1009;14;5;9;
82598;18/01/2015;1800;27;25.2;87;1006.7;14;3.3;7;
82598;19/01/2015;0000;26.4;24.6;86;1008.9;14;2;6;
82598;19/01/2015;1200;28.8;25.2;75;1009.7;14;4.6;8;
82598;19/01/2015;1800;29.4;25.2;71;1006.8;14;3.3;7;
82598;20/01/2015;0000;26.6;23.8;79;1008.6;14;2.5;5;
82598;20/01/2015;1200;28.8;24.8;72;1007.9;14;4.5;7;
82598;20/01/2015;1800;29.2;25.2;72;1005;14;5;6;
82598;21/01/2015;0000;26.8;24;79;1006.1;14;3.3;2;
82598;21/01/2015;1200;29.2;25.2;72;1008.5;14;5;8;
