--------------------
BDMEP - INMET
--------------------
Estação           : PALMAS - TO (OMM: 83033)
Latitude  (graus) : -10.19
Longitude (graus) : -48.3
Altitude  (metros): 280.00
Estação Operante
Inicio de operação: 08/10/1993
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83033;01/01/2015;0000;24.9;22.9;84;978.7;0;0;7.5;
83033;01/01/2015;1200;27.6;24.7;78;980.9;0;0;3;
83033;01/01/2015;1800;33.9;26.9;56;976.6;23;2.2;7;
83033;02/01/2015;0000;28.5;24.5;71;978.1;0;0;10;
83033;02/01/2015;1200;29.1;23.3;59;980.6;0;0;3;
83033;02/01/2015;1800;33.7;25.7;50;977.2;9;2;4;
83033;03/01/2015;0000;27.9;24.1;72;978.2;23;2.8;0;
83033;03/01/2015;1200;28.1;24.9;75;979.9;5;0.8;4;
83033;03/01/2015;1800;33.3;25.8;54;976.6;36;3.2;6;
83033;04/01/2015;0000;29.7;25;67;976.7;0;0;0;
83033;04/01/2015;1200;22.9;22.1;93;980.1;18;1.6;10;
83033;04/01/2015;1800;28.3;24.1;69;979.2;27;2.4;10;
83033;05/01/2015;0000;24.9;23.1;86;979.5;0;0;6;
83033;05/01/2015;1200;26;22.9;75;981.7;9;2.4;5;
83033;05/01/2015;1800;32.1;25.9;59;978.5;5;2.4;6;
83033;06/01/2015;0000;24;22.7;89;979.7;0;0;5;
83033;06/01/2015;1200;25.2;23.1;83;982.4;0;0;5;
83033;06/01/2015;1800;31.1;26.2;66;979.2;27;3.6;7;
83033;07/01/2015;0000;24.9;23.1;86;980.4;0;0;4;
83033;07/01/2015;1200;25.5;23.7;86;980.9;9;1.2;7;
83033;07/01/2015;1800;31.1;25.5;62;977.2;23;2.8;10;
83033;08/01/2015;0000;25.9;24.1;85;978.1;0;0;4;
83033;08/01/2015;1200;26.5;24.3;82;981;36;2.8;7;
83033;08/01/2015;1800;31;26.1;67;977.2;23;2.2;7;
83033;09/01/2015;0000;27.7;26;87;977.5;0;0;0;
83033;09/01/2015;1200;27.8;25.4;81;981.1;0;0;3.75;
83033;09/01/2015;1800;27.3;23.3;70;988.7;23;2.8;7.5;
83033;10/01/2015;0000;25.4;24.1;90;979;0;0;0;
83033;10/01/2015;1200;27.2;24.5;80;981.8;23;4.8;5;
83033;10/01/2015;1800;33.2;26.5;58;977.1;23;2;7.5;
83033;11/01/2015;0000;26.3;23.7;80;978.2;0;0;0;
83033;11/01/2015;1200;26.8;23.5;74;981.1;23;1.6;3.75;
83033;11/01/2015;1800;32.1;26.7;64;976.8;9;2.8;7.5;
83033;12/01/2015;0000;26.3;24.3;83;979.3;0;0;10;
83033;12/01/2015;1200;25.1;24.1;92;981.2;0;0;8;
83033;12/01/2015;1800;28.9;23.6;62;977.6;36;5.4;8;
83033;13/01/2015;0000;23.6;22.8;92;979.3;0;0;10;
83033;13/01/2015;1200;24.8;22.7;83;981.2;18;2.8;6.25;
83033;13/01/2015;1800;30.3;25.3;65;977.4;27;3.6;7.5;
83033;14/01/2015;0000;25.8;23.5;81;979.9;0;0;10;
83033;14/01/2015;1200;26.9;23.3;73;980.9;18;2.4;7;
83033;14/01/2015;1800;31.1;25.5;62;977;0;0;3.75;
83033;15/01/2015;0000;23.6;21.9;85;978.9;0;0;10;
83033;15/01/2015;1200;25.6;23.3;81;981;18;2.4;5;
83033;15/01/2015;1800;32.9;25.3;52;977.2;23;5.2;5;
83033;16/01/2015;0000;25.1;22.5;79;979.9;18;2.8;7;
83033;16/01/2015;1200;25.1;23.2;85;981.7;0;0;10;
83033;16/01/2015;1800;27.3;24.8;81;979;5;3.60108;10;
83033;17/01/2015;0000;25.3;23.7;88;980.7;36;2;5;
83033;17/01/2015;1200;25.4;23.7;87;982.1;18;1.2;6.25;
83033;17/01/2015;1800;29.6;25.3;69;979.6;18;2.4;7.5;
83033;18/01/2015;0000;25.6;24.5;91;980.1;0;0;6.25;
83033;18/01/2015;1200;25.9;23.8;84;981.2;23;1.02888;6.25;
83033;18/01/2015;1800;24.2;22.7;86;977.8;14;2.4;7.5;
83033;19/01/2015;0000;23.5;22.3;90;979.8;36;2;10;
83033;19/01/2015;1200;24.8;23.5;90;981.6;5;1.02888;7.5;
83033;19/01/2015;1800;29.2;24.7;68;979.6;36;2.4;7.5;
83033;20/01/2015;0000;24.7;23.6;91;980.1;0;0;7.5;
83033;20/01/2015;1200;26.3;23.9;81;981;9;0.8;6.25;
83033;20/01/2015;1800;25.9;24.1;94;978;27;0.8;10;
83033;21/01/2015;0000;24.5;23.6;93;979.1;0;0;6.25;
83033;21/01/2015;1200;25.9;24;85;980.9;18;2.4;6.25;
83033;21/01/2015;1800;31.6;25;57;978.2;9;2.4;7;
83033;22/01/2015;0000;24.9;22.8;83;980.8;9;4.4;10;
83033;22/01/2015;1200;25.1;22.3;77;980.7;5;0.8;7;
83033;22/01/2015;1800;33.2;23.5;41;977.3;32;2.8;6.25;
83033;23/01/2015;0000;27.8;24.1;72;977.8;0;0;2.5;
83033;23/01/2015;1200;28.1;22.9;62;981.1;5;3.60108;2.5;
83033;23/01/2015;1800;27.1;25.2;85;976.5;14;0.8;7.5;
83033;24/01/2015;0000;26.9;23.9;77;978.5;0;0;10;
83033;24/01/2015;1200;24.3;22.4;84;980.7;32;3.6;10;
83033;24/01/2015;1800;27.3;24.2;77;977.4;27;4.8;10;
83033;25/01/2015;0000;23.9;22.4;88;979.8;0;0;10;
83033;25/01/2015;1200;24.7;22.9;85;980.9;23;1.2;10;
83033;25/01/2015;1800;28;23.9;69;978.6;23;2.8;10;
83033;26/01/2015;0000;21.1;20.8;97;981.5;0;0;10;
83033;26/01/2015;1200;23.9;22.3;86;982.7;0;0;10;
83033;26/01/2015;1800;30.4;24.9;62;977.9;23;4;6.25;
83033;27/01/2015;0000;26.2;23.7;81;979;0;0;10;
83033;27/01/2015;1200;26.9;23.7;75;981;23;2;2;
83033;27/01/2015;1800;27.9;25;78;986.9;0;0;3.75;
83033;28/01/2015;0000;25.5;24.4;91;979;0;0;0;
83033;28/01/2015;1200;27.4;23.8;73;980.1;23;2;0;
83033;28/01/2015;1800;33.7;26.4;54;977.1;23;3.2;2.5;
83033;29/01/2015;0000;26.4;23.9;80;977.9;0;0;0;
83033;29/01/2015;1200;29.3;24.2;64;979.9;18;2.4;2;
83033;29/01/2015;1800;34.8;26.5;41;976.3;9;2;3.75;
83033;30/01/2015;0000;29.6;24.7;65;978.1;0;0;2;
83033;30/01/2015;1200;27.5;25.3;82;980;27;2.4;3.75;
83033;30/01/2015;1800;34.9;26.1;47;977.5;23;3.2;6.25;
83033;31/01/2015;0000;28.5;25.2;75;977.3;0;0;0;
83033;31/01/2015;1200;29.1;25.2;71;979.9;32;2.4;3.75;
83033;31/01/2015;1800;31.5;26.3;65;977.4;0;0;7;
83033;01/02/2015;0000;22.5;20.4;82;979;9;0.9;10;
83033;01/02/2015;1200;23.9;22.3;86;980.6;18;0.8;7.5;
83033;01/02/2015;1800;28.7;23.3;62;979.2;18;0.6;7.5;
83033;02/02/2015;0000;25.3;23.5;86;978.5;0;0;7.5;
83033;02/02/2015;1200;25.7;23.5;82;980.5;0;0;7.5;
83033;02/02/2015;1800;33.3;25.1;49;977.2;9;0.6;7.5;
83033;03/02/2015;0000;24.3;23.3;92;979.3;0;0;10;
83033;03/02/2015;1200;25.1;23.1;84;980.7;0;0;10;
83033;03/02/2015;1800;29.3;24.9;68;977.4;23;5.3;10;
83033;04/02/2015;0000;25.5;23.1;81;979.3;0;0;10;
83033;04/02/2015;1200;24.1;22.1;83;980.9;36;2;10;
83033;04/02/2015;1800;29.9;24.3;61;977.6;36;5.2;7;
83033;05/02/2015;0000;25.6;23.3;80;978.1;36;0.8;7;
83033;05/02/2015;1200;25.5;23.7;86;980.3;0;0;7.5;
83033;05/02/2015;1800;31.7;23.9;49;976.1;32;8.74548;7;
83033;06/02/2015;0000;28.1;24.1;70;980.7;36;1.2;7.5;
83033;06/02/2015;1200;25.3;24.2;92;978.9;32;0.8;10;
83033;06/02/2015;1800;24.3;23.3;92;977.2;0;0;10;
83033;07/02/2015;0000;22.3;21.9;96;978.6;0;0;10;
83033;07/02/2015;1200;24.1;23.1;91;979.3;23;0.6;10;
83033;07/02/2015;1800;30.3;25.1;64;976.2;27;0.8;7;
83033;08/02/2015;0000;23.3;22.7;95;979.1;36;3.2;10;
83033;08/02/2015;1200;24.4;22.2;82;979.9;0;0;10;
83033;08/02/2015;1800;31.7;24.9;55;978.2;18;2.4;10;
83033;09/02/2015;0000;24.3;22.5;85;979.1;0;0;10;
83033;09/02/2015;1200;23.5;21.7;85;980.5;36;1.2;10;
83033;09/02/2015;1800;28.1;24.3;71;977.6;23;2.1;10;
83033;10/02/2015;0000;25.5;22.5;76;978.1;18;4.9;5;
83033;10/02/2015;1200;25.9;23.7;83;979.6;0;0;8;
83033;10/02/2015;1800;29.7;25.1;68;977;27;4.3;7.5;
83033;11/02/2015;0000;26.9;24.1;79;978.2;0;0;10;
83033;11/02/2015;1200;26.2;23.9;82;980.7;18;3.2;7.5;
83033;11/02/2015;1800;33.9;26.5;54;978.9;9;2.4;7;
83033;12/02/2015;0000;28.7;25.5;76;977.8;0;0;3.75;
83033;12/02/2015;1200;26.9;24.1;79;981.7;0;0;5;
83033;12/02/2015;1800;33.5;26.5;56;978.3;18;0.8;7;
83033;13/02/2015;0000;27.5;25.5;84;980.3;0;0;2.5;
83033;13/02/2015;1200;27.5;24.5;79;982.3;27;1.2;10;
83033;13/02/2015;1800;31.1;26.3;67;978.2;18;2.8;7.5;
83033;14/02/2015;0000;27.1;25.1;84;979.1;32;1.2;10;
83033;14/02/2015;1200;25.3;23.3;84;981.4;0;0;7.5;
83033;14/02/2015;1800;28.6;25.5;77;978.1;36;5.3;10;
83033;15/02/2015;0000;26.3;23.7;80;979.5;0;0;10;
83033;15/02/2015;1200;24.1;22.5;86;980.8;0;0;7.5;
83033;15/02/2015;1800;32.1;23.1;55;977.8;36;0.8;7.5;
83033;16/02/2015;0000;27.9;24.3;73;978.2;0;0;8;
83033;16/02/2015;1200;26.5;23.5;76;980.5;0;0;5;
83033;16/02/2015;1800;33.9;25.6;49;976;18;2.8;6.25;
83033;17/02/2015;0000;26.1;23.8;81;978.6;0;0;2.5;
83033;17/02/2015;1200;21.9;20.6;89;980.4;5;1.1;10;
83033;17/02/2015;1800;24;23.3;94;978.5;36;2.4;10;
83033;18/02/2015;0000;23.3;22.6;94;977.6;0;0;10;
83033;18/02/2015;1200;24.8;23.2;87;979.8;14;2.4;7.5;
83033;18/02/2015;1800;29.9;24.6;64;976.6;14;0.8;7.5;
83033;19/02/2015;0000;22.9;22.3;95;979.2;0;0;10;
83033;19/02/2015;1200;23.6;22.5;91;980.3;0;0;10;
83033;19/02/2015;1800;28.1;25.2;78;977.1;9;2.4;10;
83033;20/02/2015;0000;25.3;24.1;91;978.2;5;1.6;7.5;
83033;20/02/2015;1200;23.8;23.2;95;981.1;0;0;10;
83033;20/02/2015;1800;25.4;22.9;80;979;32;1.2;10;
83033;21/02/2015;0000;23.5;22.7;93;979.2;0;0;10;
83033;21/02/2015;1200;24.5;22.9;86;980.9;0;0;7.5;
83033;21/02/2015;1800;30.1;24.5;61;977.9;9;3.2;10;
83033;22/02/2015;0000;25.3;23.5;86;978.6;0;0;3.75;
83033;22/02/2015;1200;25.4;22.3;75;980.4;23;2;3.75;
83033;22/02/2015;1800;33.3;24.9;49;976.8;14;3.2;7;
83033;23/02/2015;0000;23.6;22.3;87;978.7;9;1.2;3.75;
83033;23/02/2015;1200;23.6;21.3;80;981.3;14;1.6;7;
83033;23/02/2015;1800;30.5;24.9;61;977.8;18;1.8;7;
83033;24/02/2015;0000;24.9;22.7;83;978.9;0;0;3.75;
83033;24/02/2015;1200;26.8;22.7;69;981.5;9;4.8;6.25;
83033;24/02/2015;1800;32.3;25.7;57;977.9;5;6;7;
83033;25/02/2015;0000;27.1;23.9;75;980.2;0;0;5;
83033;25/02/2015;1200;26.5;23.5;76;980.7;0;0;6.25;
83033;25/02/2015;1800;30.2;26.1;71;978.3;14;1.2;7.5;
83033;26/02/2015;0000;26.3;25.2;92;979.2;0;0;5;
83033;26/02/2015;1200;26.6;25.3;89;980.2;18;0.8;7.5;
83033;26/02/2015;1800;34.1;26.9;55;975.3;18;2.4;7.5;
83033;27/02/2015;0000;27.1;25.1;84;976.1;0;0;10;
83033;27/02/2015;1200;25.9;24.6;90;980.3;9;2;10;
83033;27/02/2015;1800;22.3;21.5;93;979.5;27;1.2;10;
83033;28/02/2015;0000;22.5;21.8;93;978;0;0;5;
83033;28/02/2015;1200;24.3;23.1;90;981.1;0;0;7.5;
83033;28/02/2015;1800;33.1;25.8;50;978.1;18;2;6.25;
83033;01/03/2015;0000;26.5;24.8;86;977.8;0;0;3.75;
83033;01/03/2015;1200;26.7;23.9;78;981;36;1.2;7;
83033;01/03/2015;1800;23.1;22.5;95;978.2;18;4;10;
83033;02/03/2015;0000;22.1;21.6;95;979.1;0;0;5;
83033;02/03/2015;1200;25.6;23.4;83;980.5;0;0;6.25;
83033;02/03/2015;1800;32.4;26.1;59;976;18;0.4;7;
83033;03/03/2015;0000;27.3;24.3;77;977.4;0;0;6.25;
83033;03/03/2015;1200;26.9;23.8;76;980.3;36;3.60108;7;
83033;03/03/2015;1800;25.8;22.8;76;976.7;5;2.8;10;
83033;04/03/2015;0000;24.3;23.2;91;977.8;5;0.8;10;
83033;04/03/2015;1200;25.7;23.3;80;980.5;0;0;7;
83033;04/03/2015;1800;33.3;25.9;53;977.3;0;0;7;
83033;05/03/2015;0000;24.6;23.9;94;978.3;0;0;2;
83033;05/03/2015;1200;26.1;23.8;81;980.4;18;2.6;6.25;
83033;05/03/2015;1800;32.5;26;58;976.2;14;3.6;7;
83033;06/03/2015;0000;25.5;23.9;87;978.4;18;3.2;3.75;
83033;06/03/2015;1200;27;23.9;76;980.7;36;4;3.75;
83033;06/03/2015;1800;32.7;25.8;56;976.2;18;2.4;7;
83033;07/03/2015;0000;27.4;25.3;83;977.4;5;2;3.75;
83033;07/03/2015;1200;26.7;24.6;84;980.7;27;1.6;7.5;
83033;07/03/2015;1800;22.8;22.4;97;979.9;0;0;10;
83033;08/03/2015;0000;23.3;22.4;92;978.7;0;0;3.75;
83033;08/03/2015;1200;25.5;23.7;86;980.5;18;2.4;5;
83033;08/03/2015;1800;32;26.8;65;977.5;18;2.4;3.75;
83033;09/03/2015;0000;26.9;24.7;83;977.6;0;0;2;
83033;09/03/2015;1200;26.9;25.1;86;980;18;2;6.25;
83033;09/03/2015;1800;30.5;25.6;66;976.3;9;3;7;
83033;10/03/2015;0000;28.2;25.8;82;976.2;0;0;2;
83033;10/03/2015;1200;28.5;24.7;72;979.6;5;1.6;3.75;
83033;10/03/2015;1800;35.7;27.5;51;975;9;2.8;7;
83033;11/03/2015;0000;26.1;24.9;90;977.4;5;1.6;3.75;
83033;11/03/2015;1200;27.5;24.2;75;979.8;0;0;3.75;
83033;11/03/2015;1800;31.7;26.9;67;975.3;36;2.8;7.5;
83033;12/03/2015;0000;26.2;23.9;82;978.4;0;0;6.25;
83033;12/03/2015;1200;24.8;23.4;89;980.2;18;1.2;10;
83033;12/03/2015;1800;30.3;25.1;64;976.1;23;3.60108;7;
83033;13/03/2015;0000;25.4;22.8;79;978.3;18;2.4;7.5;
83033;13/03/2015;1200;27.1;24.6;81;978.7;0;0;5;
83033;13/03/2015;1800;28.4;26;82;974.5;36;1.2;7.5;
83033;14/03/2015;0000;26.1;24.8;89;976.6;0;0;3.75;
83033;14/03/2015;1200;27.2;24.4;79;978.4;0;0;5;
83033;14/03/2015;1800;32.3;26.4;61;974.9;23;2.4;7.5;
83033;15/03/2015;0000;23.5;22.9;94;977;5;1.2;10;
83033;15/03/2015;1200;26.2;23.9;82;979.6;18;3.60108;7;
83033;15/03/2015;1800;29.3;25.9;75;975.5;0;0;7;
83033;16/03/2015;0000;27.2;25;83;977.9;0;0;7.5;
83033;16/03/2015;1200;26;24;84;979.2;32;0.4;7;
83033;16/03/2015;1800;31.9;26.3;63;974.8;18;2.6;7.5;
83033;17/03/2015;0000;24.9;22.3;79;976.6;0;0;10;
83033;17/03/2015;1200;23.9;22.3;86;979.7;14;0.4;7.5;
83033;17/03/2015;1800;30.9;24.7;58;976.9;27;2.5722;7.5;
83033;18/03/2015;0000;23.9;22.5;88;978.4;5;5;10;
83033;18/03/2015;1200;24.5;23.5;92;980.2;14;0.4;7.5;
83033;18/03/2015;1800;31.9;25.5;58;977.1;23;5.6;7.5;
83033;19/03/2015;0000;27.3;24.5;79;978;0;0;7.5;
83033;19/03/2015;1200;23.5;22.5;91;980.5;9;0.4;7.5;
83033;19/03/2015;1800;27.3;23.6;72;977.8;23;3.3;10;
83033;20/03/2015;0000;24.8;23.3;88;978.9;0;0;10;
83033;20/03/2015;1200;23.8;22.7;91;979.5;14;0.4;7.5;
83033;20/03/2015;1800;28.9;24.7;70;976.2;18;3.6;7.5;
83033;21/03/2015;0000;25.1;22.7;81;977.9;0;0;7.5;
83033;21/03/2015;1200;25.1;21.3;95;981.2;36;0.4;10;
83033;21/03/2015;1800;22.2;21.6;94;979.3;36;0.4;7.5;
83033;22/03/2015;0000;22.1;21.4;93;978.8;5;0.4;7.5;
83033;22/03/2015;1200;23.7;22;85;981.6;36;3.2;10;
83033;22/03/2015;1800;29.4;24.9;68;978.6;23;4.4;7.5;
83033;23/03/2015;0000;25.8;23.4;81;979;23;0.4;2;
83033;23/03/2015;1200;25.4;23.8;87;982.4;5;0.4;5;
83033;23/03/2015;1800;31.5;25.9;62;978.5;36;3.3;7.5;
83033;24/03/2015;0000;24.7;22.7;84;981.1;0;0;7;
83033;24/03/2015;1200;25.9;23.9;84;982.8;27;0.4;7.5;
83033;24/03/2015;1800;26.5;23.8;79;980.1;5;6.4;7.5;
83033;25/03/2015;0000;25.8;24.5;90;981.2;9;0.4;10;
83033;25/03/2015;1200;24.5;23.9;95;982.4;14;0.4;7.5;
83033;25/03/2015;1800;31.1;25.5;62;978.2;36;0.8;5;
83033;26/03/2015;0000;25;23.6;89;979.4;36;0.4;7.5;
83033;26/03/2015;1200;24.7;24;94;981.3;23;0.4;10;
83033;26/03/2015;1800;30.7;24.9;60;978.9;36;5.2;10;
83033;27/03/2015;0000;24.5;23.1;88;978.4;18;2;7.5;
83033;27/03/2015;1200;24.7;23.3;88;982.4;18;4;7.5;
83033;27/03/2015;1800;32.6;25.7;56;979.6;18;0.4;5;
83033;28/03/2015;0000;28.1;24.3;71;980.1;5;0.4;7.5;
83033;28/03/2015;1200;27.1;25.3;85;982.5;23;2;3.75;
83033;28/03/2015;1800;32.9;26.8;60;978.9;18;0.4;7.5;
83033;29/03/2015;0000;28.7;25.5;76;978.4;0;0;7;
83033;29/03/2015;1200;28.1;24.9;75;981.8;32;1.6;7;
83033;29/03/2015;1800;32.4;26;59;977.6;32;2.3;7;
83033;30/03/2015;0000;26.9;23.7;74;978.9;0;0;6;
83033;30/03/2015;1200;26.7;24.4;82;980.3;14;0.4;2;
83033;30/03/2015;1800;34.1;26.1;51;976.1;18;2.8;7;
83033;31/03/2015;0000;25.3;23.7;88;977.3;14;0.4;7.5;
83033;31/03/2015;1200;26.5;25;88;981;27;0.4;7;
83033;31/03/2015;1800;29.3;25.1;70;977.7;18;1.6;7.5;
83033;01/04/2015;0000;24.3;23.1;90;978.7;9;0.4;7;
83033;01/04/2015;1200;25.3;24.3;92;981.8;0;0;10;
83033;01/04/2015;1800;32.5;25.9;57;977.6;0;0;7;
83033;02/04/2015;0000;28.2;25.7;82;979.1;0;0;8;
83033;02/04/2015;1200;27.1;25.1;84;981.9;32;2.8;7;
83033;02/04/2015;1800;33.7;26.1;53;976.9;27;2.4;6;
83033;03/04/2015;0000;28.7;26.4;82;978.9;0;0;5;
83033;03/04/2015;1200;26.1;24.8;89;980.6;0;0;10;
83033;03/04/2015;1800;31.7;25.9;61;976;23;2.8;7;
83033;04/04/2015;0000;27.5;25.5;84;977.1;0;0;4;
83033;04/04/2015;1200;27.1;24.8;82;978.5;0;0;6.25;
83033;04/04/2015;1800;30.9;25.7;65;973.5;27;1.6;7;
83033;05/04/2015;0000;26.3;23.7;80;976.3;36;1.6;7.5;
83033;05/04/2015;1200;27.3;24.7;80;979.5;0;0;7.5;
83033;05/04/2015;1800;31.5;25.1;58;975.5;0;0;6.25;
83033;06/04/2015;0000;27.3;25.3;84;977.7;0;0;7;
83033;06/04/2015;1200;24.9;23;85;979.8;32;4.8;7.5;
83033;06/04/2015;1800;27.8;24.8;77;976;36;2.8;7.5;
83033;07/04/2015;0000;25.1;23.7;89;978.1;18;1.2;10;
83033;07/04/2015;1200;25.5;23.9;87;979.2;27;2.4;5;
83033;07/04/2015;1800;27.5;24.3;75;975.8;32;1.2;10;
83033;08/04/2015;0000;25.5;24.1;89;978.3;0;0;0;
83033;08/04/2015;1200;27.3;25.1;82;980.6;5;0.8;7;
