--------------------
BDMEP - INMET
--------------------
Estação           : PARNAIBA - PI (OMM: 82287)
Latitude  (graus) : -3.08
Longitude (graus) : -41.76
Altitude  (metros): 79.50
Estação Operante
Inicio de operação: 16/11/1970
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82287;01/01/2015;0000;;;;;5;;;
82287;01/01/2015;1200;29;23.6;64;1007.4;9;4.3;6;
82287;01/01/2015;1800;31;25.2;63;1003.3;5;5.5;3;
82287;02/01/2015;0000;;;;;5;3.6;;
82287;02/01/2015;1200;28.4;23.6;67;1007;9;4.6;6;
82287;02/01/2015;1800;30.8;24.5;60;1004;5;5;1;
82287;03/01/2015;0000;;;;;5;2;;
82287;03/01/2015;1200;28.3;23.6;67;1007.2;5;3.8;9;
82287;03/01/2015;1800;31.4;23.7;52;1004.2;36;4.5;6;
82287;04/01/2015;0000;;;;;5;1.8;;
82287;04/01/2015;1200;28.5;24.2;71;1007.9;5;5;7;
82287;04/01/2015;1800;;;;;5;5.3;;
82287;05/01/2015;0000;;;;;9;2;;
82287;05/01/2015;1200;28.2;23.1;65;1008.7;9;6.5;9;
82287;05/01/2015;1800;31.1;24.5;58;1005.2;5;5;9;
82287;06/01/2015;0000;;;;;5;4.1;;
82287;06/01/2015;1200;29.1;23.5;62;1007.7;9;6.5;9;
82287;06/01/2015;1800;31.8;25;58;1004.9;5;5.6;7;
82287;07/01/2015;0000;;;;;5;3.1;;
82287;07/01/2015;1200;28.5;24.1;66;1007.1;9;5.8;10;
82287;07/01/2015;1800;31.7;25.5;61;1003.1;5;5.8;7;
82287;08/01/2015;0000;;;;;5;5.1;;
82287;08/01/2015;1200;30.1;23.4;57;1006.1;9;7.5;1;
82287;08/01/2015;1800;31.7;24.9;58;1003.1;5;6.6;1;
82287;09/01/2015;0000;;;;;5;5;;
82287;09/01/2015;1200;29.2;23.3;61;1006.7;9;6.1;2;
82287;09/01/2015;1800;32.3;25.2;56;1003.5;5;6;1;
82287;10/01/2015;0000;;;;;5;4.3;;
82287;10/01/2015;1200;30.5;24.7;62;1006.6;9;4.5;9;
82287;10/01/2015;1800;29.9;26;74;1003.6;5;3.8;8;
82287;11/01/2015;0000;;;;;5;3.8;;
82287;11/01/2015;1200;30.7;24.3;59;1006.9;9;4.5;7;
82287;11/01/2015;1800;;;;;5;7;;
82287;12/01/2015;0000;;;;;5;6;;
82287;12/01/2015;1200;29.7;23.4;59;1007.9;9;6.1;8;
82287;12/01/2015;1800;32.7;25.1;54;1003.2;5;5.6;1;
82287;13/01/2015;0000;;;;;5;5;;
82287;13/01/2015;1200;30.1;24.1;61;1005.8;9;5.8;6;
82287;13/01/2015;1800;32.9;25.3;54;1002;5;6.6;1;
82287;14/01/2015;0000;;;;;5;6.5;;
82287;14/01/2015;1200;29.3;23.2;60;1006;9;5.8;10;
82287;14/01/2015;1800;31.2;24.9;60;1002.8;5;5.3;10;
82287;15/01/2015;0000;;;;;5;4.3;;
82287;15/01/2015;1200;29.3;23.7;62;1007.1;9;6.3;8;
82287;15/01/2015;1800;30.8;24.7;61;1004.2;5;5.5;7;
82287;16/01/2015;0000;;;;;5;3.8;;
82287;16/01/2015;1200;30;24.1;61;1007.1;9;6.8;4;
82287;16/01/2015;1800;32.1;24.9;56;1003.6;5;5;4;
82287;17/01/2015;0000;;;;;5;3.8;;
82287;17/01/2015;1200;29.2;24.3;67;1007;9;6;8;
82287;17/01/2015;1800;31.9;25.5;60;1003.3;5;5.5;1;
82287;18/01/2015;0000;;;;;5;4.3;;
82287;18/01/2015;1200;30.1;24.8;65;1007;9;6.6;5;
82287;18/01/2015;1800;;;;;9;4.5;;
82287;19/01/2015;0000;;;;;5;6.1;;
82287;19/01/2015;1200;28.9;24;67;1006.5;9;5.5;9;
82287;19/01/2015;1800;31.3;25.1;60;1003.5;5;5.6;2;
82287;20/01/2015;0000;;;;;5;4.5;;
82287;20/01/2015;1200;29.4;23.8;62;1005.3;9;4.6;9;
82287;20/01/2015;1800;31.9;24.9;57;1001.7;5;5.8;2;
82287;21/01/2015;0000;;;;;5;4.5;;
82287;21/01/2015;1200;29;24.5;69;1006.7;9;4.3;9;
82287;21/01/2015;1800;31.5;25.2;61;1002.1;5;6.1;2;
82287;22/01/2015;0000;;;;;9;1.1;;
82287;22/01/2015;1200;28.1;24.1;72;1006.5;9;4.5;7;
82287;22/01/2015;1800;31.9;24.9;57;1003;5;6;8;
82287;23/01/2015;0000;;;;;5;3.6;;
82287;23/01/2015;1200;28.2;23.4;67;1007.1;9;5.6;8;
82287;23/01/2015;1800;31.7;24.7;57;1003.7;5;6.3;8;
82287;24/01/2015;0000;;;;;5;4.8;;
82287;24/01/2015;1200;27.5;23.8;74;1006;9;4.1;10;
82287;24/01/2015;1800;31.7;24.8;57;1003.1;5;6.1;3;
82287;25/01/2015;0000;;;;;5;5.5;;
82287;25/01/2015;1200;28.5;23.9;68;1006.1;9;5.6;10;
82287;25/01/2015;1800;;;;;5;6.6;;
82287;26/01/2015;0000;;;;;5;3.6;;
82287;26/01/2015;1200;30.1;22.6;52;1007.1;9;5.3;4;
82287;26/01/2015;1800;31.7;24.1;54;1003.2;5;5.8;6;
82287;27/01/2015;0000;;;;;5;3.1;;
82287;27/01/2015;1200;29.7;23.5;60;1006.5;9;6.6;4;
82287;27/01/2015;1800;32.5;25.1;55;1002.7;5;6.3;2;
82287;28/01/2015;0000;;;;;5;4.8;;
82287;28/01/2015;1200;30.5;23.3;54;1005.7;9;5.8;2;
82287;28/01/2015;1800;31.7;24.6;56;1002.2;5;7;1;
82287;29/01/2015;0000;;;;;5;5.5;;
82287;29/01/2015;1200;29.1;22.9;59;1006;9;5;1;
82287;29/01/2015;1800;31.5;24.9;59;1002.2;5;5.6;1;
82287;30/01/2015;0000;;;;;5;3.8;;
82287;30/01/2015;1200;29.2;24;65;1006.2;9;5.8;4;
82287;30/01/2015;1800;31.8;24.9;57;1003.1;5;6.6;1;
82287;31/01/2015;0000;;;;;5;5;;
82287;31/01/2015;1200;28.9;23.8;66;1005.7;9;6.6;3;
82287;31/01/2015;1800;32.2;25.4;58;1002.1;5;5.6;1;
82287;01/02/2015;0000;;;;;5;5.3;;
82287;01/02/2015;1200;30.3;24.9;64;1005.6;9;6.1;3;
82287;01/02/2015;1800;;;;;5;8;;
82287;02/02/2015;0000;;;;;5;4.6;;
82287;02/02/2015;1200;30.5;24.4;60;1006.5;9;5.3;5;
82287;02/02/2015;1800;31.6;25.1;60;1002.2;5;6.6;4;
82287;03/02/2015;0000;;;;;9;4.1;;
82287;03/02/2015;1200;28.5;24.5;72;1007.9;9;3.6;10;
82287;03/02/2015;1800;29.6;24.6;67;1004;5;4;10;
82287;04/02/2015;0000;;;;;9;1.5;;
82287;04/02/2015;1200;27.3;24.9;82;1006.3;5;1.3;8;
82287;04/02/2015;1800;28.1;24.7;76;1003.3;9;2.3;10;
82287;05/02/2015;0000;;;;;14;0.1;;
82287;05/02/2015;1200;27.5;25.3;84;1007.1;9;3;10;
82287;05/02/2015;1800;30.5;25.5;67;1002.9;5;5.1;6;
82287;06/02/2015;0000;;;;;5;1.5;;
82287;06/02/2015;1200;28.9;24.5;70;1004.9;5;4.6;8;
82287;06/02/2015;1800;30.9;24.9;61;1001.8;5;5.8;6;
82287;07/02/2015;0000;;;;;5;2;;
82287;07/02/2015;1200;29.9;23.3;57;1005.2;9;5.3;8;
82287;07/02/2015;1800;32.9;25.4;55;1001.8;5;5;6;
82287;08/02/2015;0000;;;;;5;3.3;;
82287;08/02/2015;1200;29.7;24.3;64;1005.3;9;6;2;
82287;08/02/2015;1800;;;;;9;4.5;;
82287;09/02/2015;0000;;;;;5;4.5;;
82287;09/02/2015;1200;31.3;23.6;52;1004;14;3.5;0;
82287;09/02/2015;1800;34.6;25.9;50;1000.4;5;5.8;1;
82287;10/02/2015;0000;;;;;5;4.8;;
82287;10/02/2015;1200;29.9;24.1;62;1005;9;0.8;6;
82287;10/02/2015;1800;31.7;25.3;60;1002.4;5;4.6;10;
82287;11/02/2015;0000;;;;;5;3.1;;
82287;11/02/2015;1200;30.9;23.9;56;1007.1;9;5.8;6;
82287;11/02/2015;1800;32.3;25.3;57;1003.7;5;5;2;
82287;12/02/2015;0000;;;;;5;4.1;;
82287;12/02/2015;1200;30.7;23.3;54;1008.2;9;6;6;
82287;12/02/2015;1800;33;25.3;54;1004.9;5;5.3;4;
82287;13/02/2015;0000;;;;;5;4.8;;
82287;13/02/2015;1200;30.5;24.4;60;1007.4;5;6.5;4;
82287;13/02/2015;1800;32.8;25.3;55;1004.2;5;6;1;
82287;14/02/2015;0000;;;;;5;5.3;;
82287;14/02/2015;1200;30.1;24.8;65;1007.9;9;3.8;5;
82287;14/02/2015;1800;32.7;25.4;56;1004;5;6;1;
82287;15/02/2015;0000;;;;;5;4;;
82287;15/02/2015;1200;30;24.5;64;1007.3;9;5.8;3;
82287;15/02/2015;1800;;;;;5;6;;
82287;16/02/2015;0000;;;;;5;2.1;;
82287;16/02/2015;1200;28.2;24.6;75;1007;9;4.3;10;
82287;16/02/2015;1800;30.7;25.9;69;1004.1;5;6.1;7;
82287;17/02/2015;0000;;;;;9;2.6;;
82287;17/02/2015;1200;29.5;24.3;66;1006.1;9;5.3;6;
82287;17/02/2015;1800;27.3;25.5;87;1002.7;5;5.8;6;
82287;18/02/2015;0000;;;;;5;4;;
82287;18/02/2015;1200;29.2;24.5;68;1004.7;9;5.3;6;
82287;18/02/2015;1800;30.2;24.9;65;1001.4;5;5.3;10;
82287;19/02/2015;0000;;;;;5;4.8;;
82287;19/02/2015;1200;25.3;24.4;93;1005.9;32;1.1;10;
