--------------------
BDMEP - INMET
--------------------
Estação           : PAULO AFONSO - BA (OMM: 82986)
Latitude  (graus) : -9.36
Longitude (graus) : -38.21
Altitude  (metros): 252.69
Estação Operante
Inicio de operação: 01/02/1951
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82986;01/01/2015;0000;29;25.5;75;983.7;;;0;
82986;01/01/2015;1200;28.2;23.4;66;986.2;4;3.3;7;
82986;01/01/2015;1800;34;28.1;64;981.1;;;8;
82986;02/01/2015;0000;27.4;25.1;82;983.5;18;5;5;
82986;02/01/2015;1200;27.8;24.1;74;984.7;14;3.3;8;
82986;02/01/2015;1800;35.1;26.8;53;980.7;;;5;
82986;03/01/2015;0000;28.2;22.1;58;983.5;18;5;0;
82986;03/01/2015;1200;27.4;22.2;63;985;9;3.3;4;
82986;03/01/2015;1800;34.3;24.2;40;980.7;;;6;
82986;04/01/2015;0000;28.6;20.6;49;983;;;0;
82986;04/01/2015;1200;27.6;22.1;62;986.2;;;7;
82986;04/01/2015;1800;33.3;24.1;47;982.1;23;1.7;4;
82986;05/01/2015;0000;28.1;22.3;60;984.8;14;5;0;
82986;05/01/2015;1200;27.6;23.4;70;986.9;23;1.2;8;
82986;05/01/2015;1800;35.1;24.9;44;983.9;18;1.7;6;
82986;06/01/2015;0000;28.6;22.4;59;984.6;14;5;0;
82986;06/01/2015;1200;27.8;22.7;65;986.3;18;3.3;7;
82986;06/01/2015;1800;34;23.9;43;982.6;9;3.7;4;
82986;07/01/2015;0000;28.4;22.5;60;984.9;18;5;0;
82986;07/01/2015;1200;26.4;23.6;79;986;9;3.3;8;
82986;07/01/2015;1800;34.8;24.3;42;980.9;18;3.3;7;
82986;08/01/2015;0000;27.4;21.9;61;984.1;18;5;0;
82986;08/01/2015;1200;27.4;22.5;65;985.8;9;3.7;9;
82986;08/01/2015;1800;34.3;23.4;39;981.9;;;7;
82986;09/01/2015;0000;27.4;21.1;56;984.4;;;0;
82986;09/01/2015;1200;26.4;22.3;70;986.3;9;3.3;7;
82986;09/01/2015;1800;34.7;23.7;39;982.4;;;6;
82986;10/01/2015;0000;27.5;22;61;985;;;0;
82986;10/01/2015;1200;27.2;23.5;74;986.8;14;5;8;
82986;10/01/2015;1800;35.2;24.1;40;982.1;9;3.3;5;
82986;11/01/2015;0000;27.2;22.7;69;985.1;14;6.7;0;
82986;11/01/2015;1200;28.4;22.7;62;986.5;14;5.2;8;
82986;11/01/2015;1800;34.8;24;40;982.2;18;3.3;5;
82986;12/01/2015;0000;26.8;23.1;72;985.2;14;3.3;4;
82986;12/01/2015;1200;27.4;22.8;66;987.9;18;3;7;
82986;12/01/2015;1800;35.1;23.9;40;982;;;6;
82986;13/01/2015;0000;27.4;22.3;63;984.9;18;5;0;
82986;13/01/2015;1200;27.6;22.5;64;987.2;18;3.3;7;
82986;13/01/2015;1800;34.2;23.8;43;981.3;;;2;
82986;14/01/2015;0000;27.6;21.9;60;984.2;18;4.7;0;
82986;14/01/2015;1200;27.2;22.1;65;985.6;18;5;7;
82986;14/01/2015;1800;35.1;23.7;39;981.1;;;4;
82986;15/01/2015;0000;26.2;22.3;70;984.8;18;5;0;
82986;15/01/2015;1200;27;22.3;66;986.1;14;3.3;7;
82986;15/01/2015;1800;34.5;23.7;40;981.7;;;7;
82986;16/01/2015;0000;27.4;21.9;61;984.8;18;6.2;0;
82986;16/01/2015;1200;26.8;22.5;68;986.7;14;3.5;8;
