--------------------
BDMEP - INMET
--------------------
Estação           : PELOTAS - RS (OMM: 83985)
Latitude  (graus) : -31.78
Longitude (graus) : -52.41
Altitude  (metros): 13.00
Estação Operante
Inicio de operação: 01/01/1926
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83985;01/01/2015;0000;25;24.6;97;1001.9;5;1.8;7;
83985;01/01/2015;1200;28.5;25.3;76;1002.7;32;2;8;
83985;01/01/2015;1800;20.9;20.2;94;1003.4;18;2.5;10;
83985;02/01/2015;0000;21.4;21;96;1001.5;5;2.3;10;
83985;02/01/2015;1200;20.7;17.2;69;1010.3;23;3.1;9;
83985;02/01/2015;1800;24.4;18.6;56;1011.9;23;4.3;7;
83985;03/01/2015;0000;19.4;17;78;1012.8;23;0.8;7;
83985;03/01/2015;1200;22.2;17.4;60;1016;23;3;2;
83985;03/01/2015;1800;27.8;20.1;47;1013.1;23;3;1;
83985;04/01/2015;0000;20.3;18.4;83;1013.9;9;1;1;
83985;04/01/2015;1200;25.4;19.9;58;1014.2;23;2.8;0;
83985;04/01/2015;1800;29.3;21.1;45;1013.6;18;3.8;1;
83985;05/01/2015;0000;20.6;19.4;89;1014.8;14;1.3;2;
83985;05/01/2015;1200;25.3;21.8;72;1015.6;5;4.6;4;
83985;05/01/2015;1800;29.2;23.4;59;1013.2;9;6.1;1;
83985;06/01/2015;0000;24.6;23;87;1011.9;5;4.5;2;
83985;06/01/2015;1200;27.4;24.6;79;1011.6;36;3;7;
83985;06/01/2015;1800;27.8;25.5;82;1009.4;9;3.3;8;
83985;07/01/2015;0000;21.6;21.4;98;1011.4;18;1;10;
83985;07/01/2015;1200;23.2;22.5;94;1009.9;23;1.3;10;
83985;07/01/2015;1800;25.8;24;86;1008.8;23;2.8;9;
83985;08/01/2015;0000;23.4;23.2;98;1007.8;5;1.6;10;
83985;08/01/2015;1200;22.4;22.4;100;1013.9;0;0;10;
83985;08/01/2015;1800;25.5;23.6;85;1011.6;9;2.6;8;
83985;09/01/2015;0000;24;23;91;1009.6;9;2.1;2;
83985;09/01/2015;1200;26.4;24.2;83;1009.5;36;2.1;7;
83985;09/01/2015;1800;26.4;25.2;91;1006.6;18;2.6;10;
83985;10/01/2015;0000;24.5;23.6;94;1006.3;27;2.3;4;
83985;10/01/2015;1200;27.2;24.2;78;1010.6;27;2.6;2;
83985;10/01/2015;1800;32.4;25.4;55;1008.6;5;1.3;4;
