--------------------
BDMEP - INMET
--------------------
Estação           : PETROLINA - PE (OMM: 82983)
Latitude  (graus) : -9.38
Longitude (graus) : -40.48
Altitude  (metros): 370.46
Estação Operante
Inicio de operação: 01/01/1941
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82983;01/01/2015;0000;29.2;23;58;969.8;18;3.3;5;
82983;01/01/2015;1200;26.8;22;65;973.6;14;4.7;8;
82983;02/01/2015;0000;28.4;23.6;66;969.6;18;1.5;0;
82983;02/01/2015;1200;25.6;22.2;73;973.2;14;3.3;9;
82983;03/01/2015;0000;29.6;23.4;59;969.9;14;1.7;0;
82983;03/01/2015;1200;27;22.2;65;972.4;14;1.7;2;
82983;04/01/2015;0000;28.8;22.6;58;969.5;14;0.8;0;
82983;04/01/2015;1200;26;21.4;66;973.7;14;3.3;3;
82983;05/01/2015;0000;28.6;22.8;60;971;14;1.7;3;
82983;05/01/2015;1200;26.6;22.4;69;974.3;14;3.3;6;
82983;06/01/2015;0000;30.4;24.2;59;970.9;9;0.8;4;
82983;06/01/2015;1200;27.4;22.2;63;974.1;14;4.2;4;
82983;07/01/2015;0000;29.8;23.2;56;970.9;14;2.5;0;
82983;07/01/2015;1200;25.6;21.8;72;973.4;14;3.3;9;
82983;08/01/2015;0000;29.8;24;61;969.4;18;0.8;0;
82983;08/01/2015;1200;26.4;22.2;69;973.8;14;3.3;8;
82983;09/01/2015;0000;26.6;22.2;68;970.9;14;4.2;0;
82983;09/01/2015;1200;26.2;21.2;63;974;14;3.3;4;
82983;10/01/2015;0000;29.4;22.8;55;971;14;2.5;0;
82983;10/01/2015;1200;25.8;21.2;66;974.4;14;3.3;6;
82983;11/01/2015;0000;29.6;22.8;55;971.2;18;2.2;0;
82983;11/01/2015;1200;27;22.6;68;974.1;14;4.2;8;
82983;12/01/2015;0000;31.4;23;47;970;14;1.7;4;
82983;12/01/2015;1200;27.2;22;63;974.5;14;3.3;7;
82983;13/01/2015;0000;31.4;23.4;49;970.1;14;1.7;0;
82983;13/01/2015;1200;26.4;21.2;62;974.2;14;3.3;8;
82983;14/01/2015;0000;30.4;22.4;48;969.5;14;1.7;0;
82983;14/01/2015;1200;26.6;21;64;973.3;14;3.3;7;
82983;15/01/2015;0000;30.4;22.4;48;969.5;18;1.7;2;
82983;15/01/2015;1200;26.2;21.8;67;973.6;14;3.3;10;
82983;16/01/2015;0000;29.8;22.4;52;970.2;18;1.7;0;
82983;16/01/2015;1200;25.6;20.6;63;974.2;14;3.3;6;
82983;17/01/2015;0000;30.4;23.2;53;970.2;18;1.7;0;
82983;17/01/2015;1200;26.4;21.4;63;973.8;14;3.3;8;
82983;18/01/2015;0000;31.6;22.8;46;969.2;14;1.7;0;
82983;18/01/2015;1200;26.8;21.6;63;973.6;14;4.2;7;
82983;19/01/2015;0000;32;22.6;43;969.4;14;3.3;4;
82983;19/01/2015;1200;26;21.4;66;973.3;14;5;4;
82983;20/01/2015;0000;30.8;22.6;49;969.6;18;1.7;5;
82983;20/01/2015;1200;26.6;21.4;63;972;14;3.3;8;
82983;21/01/2015;0000;31.4;23;47;967.8;14;3.3;6;
82983;21/01/2015;1200;26.2;21.8;67;972.5;14;3.3;9;
82983;22/01/2015;0000;30.2;23;53;968.6;18;1.7;0;
82983;22/01/2015;1200;28.2;23.4;66;971.9;14;3.3;10;
82983;23/01/2015;0000;22.4;21.4;91;971.4;23;1.7;7;
82983;23/01/2015;1200;26.2;21.6;66;973.1;14;4.2;7;
82983;24/01/2015;0000;30.2;22.2;48;969.4;9;3.3;5;
82983;24/01/2015;1200;26.2;22;69;972.3;14;4.2;8;
82983;25/01/2015;0000;28.2;21.4;53;969.8;14;5;9;
82983;25/01/2015;1200;26.2;22.8;73;972.1;14;3.3;8;
82983;26/01/2015;0000;26.4;24.2;82;969.6;18;1.7;7;
82983;26/01/2015;1200;26;21.6;67;973.5;14;4.2;8;
82983;27/01/2015;0000;30.2;23.6;56;969.5;14;1.7;6;
82983;27/01/2015;1200;26;21.8;69;973.4;14;3.3;6;
82983;28/01/2015;0000;30.2;23.6;56;968.9;18;0.8;5;
82983;28/01/2015;1200;25.4;21.4;69;972.8;14;3.3;7;
82983;29/01/2015;0000;31;22.8;48;968.5;14;1.7;0;
82983;29/01/2015;1200;25;20.4;65;972.6;14;3.3;8;
82983;30/01/2015;0000;30.8;23.6;54;968.9;14;1.7;0;
82983;30/01/2015;1200;26.6;23;74;971.4;14;1.7;10;
82983;31/01/2015;0000;30.6;25.4;66;969.4;5;1.7;4;
82983;31/01/2015;1200;28;23.4;67;972.2;14;3.3;9;
82983;01/02/2015;0000;31.4;24.6;56;968.8;14;1.7;3;
82983;01/02/2015;1200;26;21.6;67;972.6;14;4.2;8;
82983;01/02/2015;1800;32.2;24.8;54;968.8;14;1.7;9;
82983;02/02/2015;0000;30.8;24.6;60;969.4;14;1.7;4;
82983;02/02/2015;1200;26.4;21.8;66;972.6;14;1.7;8;
82983;02/02/2015;1800;33.6;24;44;968;14;3.3;7;
82983;03/02/2015;0000;31.8;24.6;55;968.6;14;1.7;10;
82983;03/02/2015;1200;27.4;21.8;60;972.7;14;4.5;10;
82983;03/02/2015;1800;33.8;24.8;47;967.4;14;2.8;10;
82983;04/02/2015;0000;31.4;25.2;60;968.6;14;1.3;10;
82983;04/02/2015;1200;23.6;22.8;93;972.4;14;1.7;10;
82983;04/02/2015;1800;25.2;23.6;87;968.7;5;1.7;10;
82983;05/02/2015;0000;24.6;23.4;90;969.9;36;0.8;4;
82983;05/02/2015;1200;24;22.8;90;972.1;;0;10;
82983;05/02/2015;1800;31.8;24.4;54;967.1;9;3;8;
82983;06/02/2015;0000;28.2;25.6;81;968.1;;0;6;
82983;06/02/2015;1200;27.6;23.4;70;970.2;9;2.5;7;
82983;06/02/2015;1800;32.6;25.2;54;965.9;36;2.2;10;
82983;07/02/2015;0000;31.2;23.2;49;967.6;9;2.5;0;
82983;07/02/2015;1200;27.4;23.2;68;970.2;9;3.3;9;
82983;07/02/2015;1800;35.4;25.2;42;966;5;2.8;9;
82983;08/02/2015;0000;32.4;23.6;46;967.7;5;1.7;10;
82983;08/02/2015;1200;27.2;22.2;64;971.9;9;4.8;9;
82983;08/02/2015;1800;34.4;24.4;42;968.5;14;3.7;9;
82983;09/02/2015;0000;31.2;22;43;969.3;9;3.7;0;
82983;09/02/2015;1200;26.2;22;69;972;14;3.3;8;
82983;09/02/2015;1800;34.6;;39;967.3;14;2.5;6;
82983;10/02/2015;0000;31.6;24.8;57;967.9;14;1.7;0;
82983;10/02/2015;1200;25.6;21.2;67;972;14;5;7;
82983;10/02/2015;1800;34.2;24;41;967.7;9;3.3;5;
82983;11/02/2015;0000;31.8;23.6;49;968.6;18;1.7;2;
82983;11/02/2015;1200;26.2;21.8;67;974.2;14;4.2;9;
82983;11/02/2015;1800;34.6;24.6;43;969.1;14;2.5;6;
82983;12/02/2015;0000;32;24.6;54;969.6;14;1.7;0;
82983;12/02/2015;1200;27.2;23;68;975;9;3.3;6;
82983;12/02/2015;1800;35.2;25;42;970.3;9;3;4;
82983;13/02/2015;0000;32.6;24.2;49;971.1;14;2;6;
82983;13/02/2015;1200;26.6;22.6;69;974.7;14;4;9;
82983;13/02/2015;1800;34.4;25;45;969.5;14;3;5;
