--------------------
BDMEP - INMET
--------------------
Estação           : PONTA PORA - MS (OMM: 83702)
Latitude  (graus) : -22.55
Longitude (graus) : -55.71
Altitude  (metros): 650.00
Estação Operante
Inicio de operação: 24/11/1941
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83702;01/01/2015;0000;24.8;22.5;81;933.2;5;2;0;
83702;01/01/2015;1200;26.9;23.1;73;935.8;5;2;10;
83702;01/01/2015;1800;30.5;23.7;55;933.2;36;6;8;
83702;02/01/2015;0000;24.8;22.7;83;933.6;5;2;0;
83702;02/01/2015;1200;20.4;20.3;99;939.2;23;5;10;
83702;02/01/2015;1800;26.3;22.1;69;937.5;32;3;10;
83702;03/01/2015;0000;23;21.7;89;937.2;5;1;8;
83702;03/01/2015;1200;22.8;21.3;87;940.5;5;2;10;
83702;03/01/2015;1800;30.9;24.1;56;938;32;4;8;
83702;04/01/2015;0000;27.3;23.5;72;938.5;23;1;3;
83702;04/01/2015;1200;26.3;23.9;81;941.1;23;2;9;
83702;04/01/2015;1800;22.6;21.9;94;940.1;0;0;10;
83702;05/01/2015;0000;21.6;21.5;99;939.3;5;1;3;
83702;05/01/2015;1200;21.4;20.7;94;940.3;5;4;10;
83702;05/01/2015;1800;26.9;23.1;73;939;32;4;10;
83702;06/01/2015;0000;26;22.9;76;937.4;5;1;3;
83702;06/01/2015;1200;26.5;23.5;77;938.5;5;5;5;
83702;06/01/2015;1800;31.3;24.3;55;937.1;32;4;10;
83702;07/01/2015;0000;22.8;22.3;96;936.7;5;1;3;
83702;07/01/2015;1200;27.1;22.7;68;938.3;5;5;0;
83702;07/01/2015;1800;32.3;24.1;50;936.7;5;3;10;
83702;08/01/2015;0000;24.2;22.9;89;936.2;5;1;3;
83702;08/01/2015;1200;28.3;24.5;71;939.1;5;2;0;
83702;08/01/2015;1800;33.1;23.7;44;936.7;32;4;7;
83702;09/01/2015;0000;23.8;22.1;86;936.3;9;1;10;
83702;09/01/2015;1200;25.4;22.7;79;939.8;5;3;4;
83702;09/01/2015;1800;26.5;23.7;79;937.9;5;2;10;
83702;10/01/2015;0000;22.4;21.1;89;938.1;5;3;4;
83702;10/01/2015;1200;26.5;20.9;58;940.5;36;2;10;
83702;10/01/2015;1800;32.1;23.7;48;937.8;5;2;8;
83702;11/01/2015;0000;28.1;23.3;66;938;36;1;0;
83702;11/01/2015;1200;26.9;24.3;80;938.7;5;3;10;
83702;11/01/2015;1800;33.9;27.1;58;938.2;32;3;10;
83702;12/01/2015;0000;26;21.7;67;937.1;9;1;3;
83702;12/01/2015;1200;28.3;24.3;71;939.6;5;1;9;
83702;12/01/2015;1800;24.8;23.1;87;937.8;32;3;9;
83702;13/01/2015;0000;25.4;21.9;73;937.6;0;0;9;
83702;13/01/2015;1200;24.6;21.5;75;938.3;5;3;10;
83702;13/01/2015;1800;31.3;23.3;49;936.5;5;2;10;
83702;14/01/2015;0000;24;20.7;74;936.1;5;2;0;
83702;14/01/2015;1200;28.7;24.5;70;939.1;36;3;10;
83702;14/01/2015;1800;22;21.9;99;937.4;14;3;10;
83702;15/01/2015;0000;21.8;21.1;94;938.4;5;3;0;
83702;15/01/2015;1200;24.6;22.3;81;940.5;5;4;10;
83702;15/01/2015;1800;27.1;22.9;69;939.3;32;8;10;
83702;16/01/2015;0000;23.4;21.3;82;939;14;1;3;
83702;16/01/2015;1200;25;23.1;85;940.8;18;1;8;
83702;16/01/2015;1800;31.9;27.1;67;937.4;32;3;8;
83702;17/01/2015;0000;27.9;25.1;78;937.9;36;1;0;
83702;17/01/2015;1200;28.5;24.3;70;939.1;5;1;9;
83702;17/01/2015;1800;31.3;23.3;49;938.6;32;5;9;
83702;18/01/2015;0000;28.7;23.5;64;936.7;0;0;1;
83702;18/01/2015;1200;25;23.6;89;940.5;32;3;10;
83702;18/01/2015;1800;20;19.9;99;938.2;32;2;10;
83702;19/01/2015;0000;22;21.9;99;938;32;1;10;
83702;19/01/2015;1200;25.6;22.9;78;940.5;5;1;4;
83702;19/01/2015;1800;32.5;24.5;51;937.5;36;2;10;
83702;20/01/2015;0000;27.9;21.3;54;937.1;27;1;0;
83702;20/01/2015;1200;29.9;25.1;67;938.7;23;1;10;
83702;20/01/2015;1800;26;24.1;85;938.1;32;1;10;
83702;21/01/2015;0000;23;21.1;84;940.1;32;1;0;
83702;21/01/2015;1200;24.4;22.3;82;939.5;5;1;10;
83702;21/01/2015;1800;29.5;24.7;67;939.2;23;4;10;
83702;22/01/2015;0000;25.2;22.1;77;938.9;18;1;0;
83702;22/01/2015;1200;26;24.1;85;941;32;1;10;
83702;22/01/2015;1800;31.9;26.1;62;937.8;32;1;10;
83702;23/01/2015;0000;24;22.1;84;938.2;32;1;0;
83702;23/01/2015;1200;24.6;22.3;81;940.2;5;2;2;
83702;23/01/2015;1800;31.3;25.1;60;937.4;5;2;10;
83702;24/01/2015;0000;26;24.1;85;936.7;5;1;0;
83702;24/01/2015;1200;26;23.1;77;939;32;2;10;
83702;24/01/2015;1800;29.9;25.1;68;936.6;32;3;10;
83702;25/01/2015;0000;23.5;21.1;80;936.1;32;2;0;
83702;25/01/2015;1200;25.2;21.9;75;936.9;5;1;9;
83702;25/01/2015;1800;27.7;23.3;69;936.5;32;3;10;
83702;26/01/2015;0000;23;20.9;82;936;23;1;10;
83702;26/01/2015;1200;22;21.1;90;938.3;23;2;10;
83702;26/01/2015;1800;26.9;24.1;79;937;23;2;10;
83702;27/01/2015;0000;23;21.1;84;936.5;23;1;10;
83702;27/01/2015;1200;21;20.9;99;938.7;5;5;10;
83702;27/01/2015;1800;21.8;21.5;97;935.9;32;4;10;
83702;28/01/2015;0000;21.2;21.1;99;935.1;5;2;10;
83702;28/01/2015;1200;22;21.1;91;937.6;5;3;10;
83702;28/01/2015;1800;22;21.9;99;937;5;3;10;
83702;29/01/2015;0000;22;21.9;99;936.3;5;3;10;
83702;29/01/2015;1200;23.2;22.1;90;937;32;4;10;
83702;29/01/2015;1800;23;21.9;90;936.5;32;4;10;
