--------------------
BDMEP - INMET
--------------------
Estação           : PORTO ALEGRE - RS (OMM: 83967)
Latitude  (graus) : -30.05
Longitude (graus) : -51.16
Altitude  (metros): 46.97
Estação Operante
Inicio de operação: 09/12/1909
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83967;01/01/2015;0000;28.3;25.8;81;1000.3;5;1.5;5;
83967;01/01/2015;1200;26.7;23.1;73;1001.8;5;1.2;10;
83967;01/01/2015;1800;26.7;23.1;73;998.8;32;3.6;9;
83967;02/01/2015;0000;23.2;22.3;92;999.9;18;1.6;9;
83967;02/01/2015;1200;20.6;19.5;90;1007.5;32;3.6;10;
83967;02/01/2015;1800;25.1;20.3;62;1006.6;27;2.1;8;
83967;03/01/2015;0000;21.7;19;76;1008.4;14;1.4;4;
83967;03/01/2015;1200;24.1;20;67;1011.8;14;1.7;4;
83967;03/01/2015;1800;28.2;22.4;58;1009.4;18;2.4;4;
83967;04/01/2015;0000;22.5;19.7;76;1011;14;1.7;3;
83967;04/01/2015;1200;24.5;21.2;81;1011.2;32;1.6;0;
83967;04/01/2015;1800;31.5;22.1;41;1010.4;18;2.2;1;
83967;05/01/2015;0000;24.4;20.2;67;1011.4;14;2.4;0;
83967;05/01/2015;1200;25.9;20.7;61;1010.3;9;1.3;0;
83967;05/01/2015;1800;33.2;23.9;43;1007.6;14;3.4;1;
83967;06/01/2015;0000;25.6;23.5;83;1009.1;14;2;0;
83967;06/01/2015;1200;28.9;23.4;61;1008.8;36;2.8;1;
83967;06/01/2015;1800;35.7;27;49;1004.7;18;1.9;3;
83967;07/01/2015;0000;29.2;25.4;72;1004.3;14;1.4;4;
83967;07/01/2015;1200;29.5;25.5;71;1005.2;32;2.4;6;
83967;07/01/2015;1800;31.8;27.6;72;1004.6;14;2.6;10;
83967;08/01/2015;0000;23.3;22.6;94;1007.9;27;1.7;10;
83967;08/01/2015;1200;26.1;24.4;86;1006.4;23;1.3;9;
