--------------------
BDMEP - INMET
--------------------
Estação           : RECIFE  CURADO  - PE (OMM: 82900)
Latitude  (graus) : -8.05
Longitude (graus) : -34.95
Altitude  (metros): 10.00
Estação Operante
Inicio de operação: 07/07/1961
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82900;01/01/2015;0000;26.6;23.4;77;1014.9;14;2;4;
82900;01/01/2015;1200;27;24.6;82;1014.3;36;0.8;10;
82900;01/01/2015;1800;25.4;24;89;1012;14;2.7;10;
82900;02/01/2015;0000;24.4;23.4;92;1014.4;0;0;10;
82900;02/01/2015;1200;28.1;24.4;71;1013.7;14;1.7;9;
82900;02/01/2015;1800;28.9;24.2;68;1011.5;14;2.2;8;
82900;03/01/2015;0000;25.5;23;81;1014.1;14;1.3;7;
82900;03/01/2015;1200;27;22.8;70;1014;14;1.7;5;
82900;03/01/2015;1800;29;24.2;67;1011.2;14;3.3;4;
82900;04/01/2015;0000;25.2;22.1;76;1013.8;14;1.7;3;
82900;04/01/2015;1200;27.2;22.3;65;1014.8;5;1.7;7;
82900;04/01/2015;1800;30.2;23.9;59;1012.3;5;3;4;
82900;05/01/2015;0000;26.4;22.8;73;1014.7;9;1.7;3;
82900;05/01/2015;1200;29.4;23.5;61;1016.1;5;2.5;8;
82900;05/01/2015;1800;30;24.1;61;1013.7;5;2.5;10;
82900;06/01/2015;0000;26.8;23.8;78;1014.9;14;2;7;
82900;06/01/2015;1200;28.9;24.2;68;1016.1;14;2.7;8;
82900;06/01/2015;1800;29.6;23.6;61;1013.6;14;3.8;5;
82900;07/01/2015;0000;26.4;23.1;75;1015;14;1.7;6;
82900;08/01/2015;0000;25.8;22.7;77;1014.1;0;0;6;
82900;08/01/2015;1200;28.4;23.8;69;1014.5;14;3;5;
82900;08/01/2015;1800;29.8;24;62;1013.3;18;1.7;4;
82900;09/01/2015;0000;26;22.7;75;1014.6;14;1.7;3;
82900;09/01/2015;1200;28.6;23.7;67;1014.5;14;4.3;6;
82900;09/01/2015;1800;29.4;23.1;58;1012.9;9;3.3;5;
82900;10/01/2015;0000;26.4;22.8;73;1015.2;14;1.8;4;
82900;10/01/2015;1200;28.1;24;71;1015;14;2.7;10;
82900;10/01/2015;1800;27.5;24.3;77;1013.1;9;3.3;9;
82900;11/01/2015;0000;26.7;23.6;77;1015.7;14;1;6;
82900;11/01/2015;1200;27.3;24;76;1015.3;14;3.3;10;
82900;11/01/2015;1800;29.3;24.4;67;1013.2;9;3.3;8;
82900;12/01/2015;0000;25.9;23.9;85;1015.1;14;2.7;8;
82900;12/01/2015;1200;28.5;25;75;1015.8;14;3.3;8;
82900;12/01/2015;1800;27.9;24.6;76;1013.6;9;3;8;
82900;13/01/2015;0000;26.2;23.4;79;1015.2;14;1.8;6;
82900;13/01/2015;1200;29;23.8;65;1015.5;14;2.8;7;
82900;13/01/2015;1800;29;23.3;62;1012.7;14;2.8;6;
82900;14/01/2015;0000;26.2;22.8;75;1014.5;14;1.7;4;
82900;14/01/2015;1200;29.4;24.2;65;1014.4;14;3;7;
82900;14/01/2015;1800;28.4;23.5;66;1012;14;1.7;8;
82900;15/01/2015;0000;26.1;22.2;71;1014.5;9;1;5;
82900;15/01/2015;1200;29.3;23.4;61;1014.6;14;3.3;6;
82900;15/01/2015;1800;29.7;22.6;55;1012.4;9;3.7;4;
82900;16/01/2015;0000;25.5;22.4;77;1014.9;14;1;3;
82900;16/01/2015;1200;29.3;23.4;61;1015;5;1.7;4;
82900;16/01/2015;1800;29.5;23.6;61;1012.3;5;2;5;
82900;17/01/2015;0000;26.6;23.3;76;1014.7;14;2;3;
82900;17/01/2015;1200;29.4;24.2;65;1015.2;14;2.7;8;
82900;17/01/2015;1800;29.6;24.2;64;1012.4;14;3.3;5;
82900;18/01/2015;0000;26.8;23.8;78;1014.7;14;2;10;
82900;18/01/2015;1200;29.7;23.9;62;1015.1;14;1.7;9;
82900;18/01/2015;1800;30;23.2;56;1012.4;14;3;6;
82900;19/01/2015;0000;26.4;23;75;1015;0;0;5;
82900;19/01/2015;1200;28.9;24.2;68;1014.5;9;2.5;7;
82900;19/01/2015;1800;30.1;24.2;61;1011.8;9;1.7;6;
82900;20/01/2015;0000;26.6;23.7;78;1013.4;0;0;6;
82900;20/01/2015;1200;28.5;23.8;67;1013.2;9;3.3;6;
82900;20/01/2015;1800;30.3;24;59;1010.3;9;3.3;7;
82900;21/01/2015;0000;26.2;23.8;82;1011.6;14;1.7;6;
82900;21/01/2015;1200;29.4;24.5;67;1013.5;14;3.3;10;
82900;21/01/2015;1800;29.6;24.4;66;1011.2;14;2.5;8;
82900;22/01/2015;0000;26.6;23.4;77;1013;14;1.7;6;
82900;22/01/2015;1200;29.1;23.6;63;1014.1;9;1.7;8;
82900;22/01/2015;1800;29.3;23.2;60;1011.8;9;1;7;
82900;23/01/2015;0000;26.5;23;74;1013.7;14;1.7;8;
82900;23/01/2015;1200;30.3;23.4;61;1014.2;9;3.3;4;
82900;23/01/2015;1800;30.1;23.6;58;1011.9;9;3.3;7;
82900;24/01/2015;0000;26.7;24.2;82;1013.8;14;3;8;
82900;24/01/2015;1200;24.5;23.8;95;1013.7;0;0;9;
82900;24/01/2015;1800;29.5;24.6;67;1011.2;9;3.2;8;
82900;25/01/2015;0000;26.8;24;79;1013.5;9;2;4;
82900;25/01/2015;1200;29.2;24.4;67;1013.8;14;2.5;6;
82900;25/01/2015;1800;29.2;23.6;62;1011.9;9;2.8;7;
82900;26/01/2015;0000;26.6;23.2;75;1013.8;14;1.3;3;
82900;26/01/2015;1200;29.3;23.4;61;1015;14;2.5;8;
82900;26/01/2015;1800;30.2;23.6;57;1011.7;14;2.7;4;
82900;27/01/2015;0000;26.3;22.8;74;1014.2;14;1.7;7;
82900;27/01/2015;1200;28.5;22.8;61;1014.6;9;1.7;6;
82900;27/01/2015;1800;29.5;23.6;61;1012.1;9;3.3;7;
82900;28/01/2015;0000;26.4;22.4;71;1013.4;14;1.7;5;
82900;28/01/2015;1200;29.1;24;66;1013.6;9;3.3;8;
82900;28/01/2015;1800;30.3;23.2;55;1010.9;9;3.3;5;
82900;29/01/2015;0000;26.8;23;73;1013.3;14;2;10;
82900;30/01/2015;1200;29.2;25;71;1013.2;14;1.7;6;
82900;30/01/2015;1800;30.2;24.3;61;1011.3;14;2.7;5;
82900;31/01/2015;0000;26.6;24;81;1013.6;14;1.2;4;
82900;31/01/2015;1200;29.1;24.4;68;1013.5;14;1.7;7;
82900;31/01/2015;1800;29.9;25;67;1011.1;9;3.3;8;
82900;01/02/2015;0000;25.4;22.1;75;1012.8;14;1.7;4;
82900;01/02/2015;1200;28.8;24.5;70;1013;14;3;6;
82900;01/02/2015;1800;29.8;24.4;65;1011.1;14;3.3;4;
82900;02/02/2015;0000;26;22.9;77;1014.4;0;0;4;
82900;02/02/2015;1200;29.3;23.8;63;1013.7;14;3.3;10;
82900;02/02/2015;1800;29.5;24.4;66;1011;9;3;8;
82900;03/02/2015;0000;27;23.3;73;1013.8;9;1.7;5;
82900;03/02/2015;1200;29.4;23.5;61;1014.3;14;2;8;
82900;03/02/2015;1800;30.1;23.9;60;1010.9;14;3.3;6;
82900;04/02/2015;0000;27.2;23.2;71;1013.5;0;0;4;
82900;04/02/2015;1200;29.5;24.8;69;1013;9;2;7;
82900;04/02/2015;1800;29.9;24.6;65;1011;9;3.7;6;
82900;05/02/2015;0000;27.1;23.5;74;1012;0;0;5;
82900;05/02/2015;1200;28.3;24.6;74;1013.1;9;1.2;10;
82900;05/02/2015;1800;30.7;23.8;57;1010.4;9;2.5;7;
82900;06/02/2015;0000;26.4;23.2;76;1011.5;9;1.7;3;
82900;06/02/2015;1200;28.9;24.1;67;1012.2;14;3;7;
82900;06/02/2015;1800;30.8;24.8;61;1010;9;3.3;4;
82900;07/02/2015;0000;27.3;23.6;73;1010.6;14;1.7;5;
82900;07/02/2015;1200;29.6;24.3;65;1012.8;9;5;6;
82900;07/02/2015;1800;30.6;24.9;63;1010.5;14;3.3;4;
82900;08/02/2015;0000;27.2;23.4;72;1011.5;14;1.7;7;
82900;08/02/2015;1200;30.3;24.8;64;1013.6;18;3.3;6;
82900;08/02/2015;1800;30.7;24;58;1012.1;14;1.7;8;
82900;09/02/2015;0000;25.2;22.6;80;1013.5;0;0;6;
82900;09/02/2015;1200;29.3;24.6;68;1012.7;18;1.7;5;
82900;09/02/2015;1800;30.5;23.8;58;1010.4;14;3.7;4;
82900;10/02/2015;0000;27.4;23.6;73;1012.1;18;1.7;7;
82900;10/02/2015;1200;28;24.4;74;1012.2;14;3.3;7;
82900;10/02/2015;1800;29.6;23.5;60;1010.5;14;5;5;
82900;11/02/2015;0000;27.2;23.7;75;1013;0;0;4;
82900;11/02/2015;1200;30.4;25.2;66;1015;14;2;9;
82900;11/02/2015;1800;30.5;24.3;60;1012.6;14;2.7;7;
82900;12/02/2015;0000;27.1;24.5;81;1015;14;1.7;6;
82900;12/02/2015;1200;30.9;24.8;61;1015.9;14;3.3;5;
82900;12/02/2015;1800;30.5;25;64;1014;9;4;6;
82900;13/02/2015;0000;27.2;23.3;70;1015.6;14;1.7;5;
82900;13/02/2015;1200;30.5;24.4;60;1015.6;14;3.3;7;
82900;13/02/2015;1800;30.3;23.8;58;1013;14;2;6;
82900;14/02/2015;0000;26.8;23.1;73;1015;14;1.7;5;
82900;14/02/2015;1200;28.8;23.5;64;1014.5;14;1.7;7;
82900;14/02/2015;1800;31.8;24.5;55;1012.5;9;3;5;
82900;15/02/2015;0000;27.2;23.4;73;1013.5;0;0;4;
82900;15/02/2015;1200;29;24.7;70;1014.4;9;1.7;7;
82900;15/02/2015;1800;30.1;24.6;64;1011.6;14;2.3;6;
82900;16/02/2015;0000;27.1;23.9;77;1014.3;9;0.7;9;
82900;16/02/2015;1200;30.1;24.8;65;1014.7;14;3;5;
82900;16/02/2015;1800;30.3;25;65;1011.1;9;2;8;
82900;17/02/2015;0000;27.6;23.7;73;1014.4;14;0.8;6;
82900;17/02/2015;1200;29.7;24.4;65;1013.4;9;1.7;7;
82900;17/02/2015;1800;29.1;25;72;1011;14;4.5;10;
82900;18/02/2015;0000;25.6;24.6;92;1015;9;1.7;10;
82900;18/02/2015;1200;25.6;23.9;88;1012.4;9;1.7;7;
82900;18/02/2015;1800;29;25;72;1010.2;14;1.7;7;
82900;19/02/2015;0000;26.6;25.2;90;1012.3;0;0;7;
82900;19/02/2015;1200;29.1;24.2;67;1012.5;14;3.7;9;
82900;19/02/2015;1800;29.9;24;61;1009.2;14;1.8;9;
82900;20/02/2015;0000;25.8;24;86;1011;0;0;6;
82900;20/02/2015;1200;28.1;24.6;75;1012;0;0;8;
82900;20/02/2015;1800;29.9;23.8;60;1009.9;14;3.7;8;
82900;21/02/2015;0000;27.1;24.1;78;1012.4;14;0.3;7;
82900;21/02/2015;1200;27.1;24.4;80;1013.1;0;0;10;
82900;21/02/2015;1800;28.5;24.2;70;1010.4;14;2.2;9;
82900;22/02/2015;0000;26.1;23.7;82;1011.9;18;0.8;9;
82900;22/02/2015;1200;27.7;25;81;1011.7;18;1.7;10;
82900;22/02/2015;1800;28.8;23;61;1009;14;3.3;5;
82900;23/02/2015;0000;26.2;23.6;80;1011.5;14;0.8;8;
82900;23/02/2015;1200;28.9;24.3;69;1012.6;9;2;8;
82900;23/02/2015;1800;29.3;24.7;65;1010.7;14;2.8;7;
82900;24/02/2015;0000;25.3;23.8;88;1014.4;18;0.5;9;
82900;24/02/2015;1200;29.1;25;72;1013.7;14;2;8;
82900;24/02/2015;1800;30.3;24.4;61;1011.7;14;1.7;7;
82900;25/02/2015;0000;25.8;24.4;89;1014.5;0;0;8;
82900;25/02/2015;1200;29.9;25;67;1015;14;3;6;
82900;25/02/2015;1800;30.3;24.4;61;1012.1;9;1.7;4;
82900;26/02/2015;0000;26.2;22.8;74;1014;14;1.7;4;
82900;26/02/2015;1200;29.1;23.9;65;1012.9;14;1.7;6;
82900;26/02/2015;1800;30.5;23.4;55;1010;18;3;3;
82900;27/02/2015;0000;26;22.4;73;1011;0;0;4;
82900;27/02/2015;1200;28.8;24.3;69;1011.5;18;2.5;5;
82900;27/02/2015;1800;30.9;24.6;59;1009.8;9;3.3;4;
82900;28/02/2015;0000;26.6;23.7;79;1010;0;0;5;
82900;28/02/2015;1200;30.3;24.4;61;1012.4;9;1.7;4;
82900;28/02/2015;1800;31.7;24.4;53;1009.7;9;2.2;4;
82900;01/03/2015;0000;26.2;22.6;73;1011.1;14;1.7;4;
82900;01/03/2015;1200;29.1;25.2;73;1013;5;0.8;9;
82900;01/03/2015;1800;30;24.7;65;1010;14;2.5;7;
82900;02/03/2015;0000;27.6;23.5;71;1012.1;14;2.5;6;
82900;02/03/2015;1200;29.4;25.1;70;1013.7;9;1.7;7;
82900;02/03/2015;1800;30.4;24.5;61;1010;14;3;5;
82900;03/03/2015;0000;25.6;23;79;1011.5;14;1.7;8;
82900;03/03/2015;1200;29.6;24.3;65;1012.8;14;3.3;7;
82900;03/03/2015;1800;30.2;24.6;63;1009.9;14;3;5;
82900;04/03/2015;0000;26.6;23.6;78;1012.2;14;1.2;5;
82900;04/03/2015;1200;27.5;24.8;81;1013;23;0.8;10;
