--------------------
BDMEP - INMET
--------------------
Estação           : RIO BRANCO - AC (OMM: 82915)
Latitude  (graus) : -9.96
Longitude (graus) : -67.8
Altitude  (metros): 160.00
Estação Operante
Inicio de operação: 01/01/1929
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82915;01/01/2015;0000;25.9;;89;991.5;0;0;3.75;
82915;01/01/2015;1200;25.2;;92;994.3;36;2.05776;8.75;
82915;01/01/2015;1800;30.9;;69;991.6;36;3.08664;7.5;
82915;02/01/2015;0000;25.4;;91;992.2;0;0;6.25;
82915;02/01/2015;1200;23.7;;98;995.4;0;0;8.75;
82915;02/01/2015;1800;29.7;;75;993.8;36;3.08664;8.75;
82915;03/01/2015;0000;25.2;;93;992.8;0;0;3.75;
82915;03/01/2015;1200;23.3;;95;996.8;5;1.02888;10;
82915;03/01/2015;1800;24.7;;96;995.8;36;3.08664;10;
82915;04/01/2015;0000;24.9;;94;994.7;36;1.02888;10;
82915;04/01/2015;1200;22.7;;99;997.6;0;0;7.5;
82915;04/01/2015;1800;30.4;;68;995.1;18;2.05776;7.5;
82915;05/01/2015;0000;26.8;;84;993.5;27;1.02888;5;
82915;05/01/2015;1200;24.5;;93;995.4;27;2.05776;7.5;
82915;05/01/2015;1800;27.7;;82;995.5;32;3.08664;10;
82915;06/01/2015;0000;25.1;;91;993;0;0;7.5;
82915;06/01/2015;1200;23.2;;98;995.9;0;0;7.5;
82915;06/01/2015;1800;23.9;;96;996;5;3.08664;8.75;
82915;07/01/2015;0000;23.4;;95;993.9;0;0;5;
82915;07/01/2015;1200;22.1;;98;995.3;0;0;8.75;
82915;07/01/2015;1800;29.7;;69;993.5;32;3.08664;6.25;
82915;08/01/2015;0000;26.8;;84;991.6;36;1.02888;2.5;
82915;08/01/2015;1200;24.3;;95;994.7;36;2.05776;7.5;
82915;08/01/2015;1800;20.3;;96;993.6;27;2.05776;5;
82915;09/01/2015;0000;27.5;;82;992.8;5;1.02888;6.25;
82915;09/01/2015;1200;23.7;;96;996.7;0;0;6.25;
82915;09/01/2015;1800;24.2;;98;995.6;5;2.05776;8.75;
