--------------------
BDMEP - INMET
--------------------
Estação           : RIO DE JANEIRO - RJ (OMM: 83743)
Latitude  (graus) : -22.89
Longitude (graus) : -43.18
Altitude  (metros): 11.10
Estação Operante
Inicio de operação: 01/01/1917
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83743;01/01/2015;0000;27;24.4;79;1009.7;0;0;7;
83743;01/01/2015;1200;30.4;25.8;67;1007.8;0;0;1;
83743;01/01/2015;1800;33.6;24.2;42;1003.8;23;2.8;1;
83743;02/01/2015;0000;32.8;23.8;44;1006.7;0;0;5;
83743;02/01/2015;1200;31.6;27;70;1007.8;33;0.4;0;
83743;02/01/2015;1800;34.6;26.7;51;1005.1;36;1.8;7;
83743;03/01/2015;0000;31.6;27.1;70;1008;0;0;3;
83743;03/01/2015;1200;31.2;25.1;59;1011.7;0;0;1;
83743;03/01/2015;1800;30.4;25.6;66;1009.7;9;0.8;4;
83743;04/01/2015;0000;27.1;24.8;82;1012.2;0;0;4;
83743;04/01/2015;1200;30.2;26.3;71;1012.5;0;0;8;
83743;04/01/2015;1800;29.5;25.5;70;1009.9;26;1.8;7;
83743;05/01/2015;0000;25.6;24.1;86;1013.5;26;0.6;10;
83743;05/01/2015;1200;27.6;25;79;1013.3;0;0;10;
83743;05/01/2015;1800;30;25.4;68;1011.7;12;1.8;8;
83743;06/01/2015;0000;23.8;22.6;89;1015.1;0;0;10;
83743;06/01/2015;1200;26.2;23.8;79;1015.1;0;0;10;
83743;06/01/2015;1800;29.8;25;66;1012.5;9;0.7;5;
83743;07/01/2015;0000;27.9;23.7;69;1012.7;0;0;4;
83743;07/01/2015;1200;28.9;24.5;68;1012.3;0;0;0;
83743;07/01/2015;1800;32.3;24.3;50;1009.9;31;1.2;1;
83743;08/01/2015;0000;31.1;24.2;54;1009.3;0;0;0;
83743;08/01/2015;1200;30;24.7;64;1012.1;0;0;0;
83743;08/01/2015;1800;32.8;23.7;43;1009.1;9;1.2;2;
83743;09/01/2015;0000;30.9;24.3;55;1009;0;0;0;
83743;09/01/2015;1200;31.4;24.6;55;1010.9;0;0;0;
83743;09/01/2015;1800;37.7;24.9;31;1008;0;0;0;
83743;10/01/2015;0000;31.7;25.3;56;1009.3;0;0;0;
83743;10/01/2015;1200;32;24.5;51;1010.3;32;0.4;0;
83743;10/01/2015;1800;34.6;23.7;36;1008;5;3;1;
83743;11/01/2015;0000;32.5;24.6;48;1008.7;0;0;0;
83743;11/01/2015;1200;30.1;25.5;66;1010.4;0;0;0;
83743;11/01/2015;1800;31.6;25.7;62;1007.9;0;0;0;
83743;12/01/2015;0000;31;22.8;46;1009.5;0;0;0;
