--------------------
BDMEP - INMET
--------------------
Estação           : SALVADOR  ONDINA  - BA (OMM: 83229)
Latitude  (graus) : -13.01
Longitude (graus) : -38.53
Altitude  (metros): 51.41
Estação Operante
Inicio de operação: 01/01/1903
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83229;01/01/2015;0000;25.4;24;89;1009.6;9;0.5;1;
83229;01/01/2015;1200;27.5;24.2;77;1011.1;9;0.3;6;
83229;01/01/2015;1800;29.3;25.1;71;1007;9;1.6;0;
83229;02/01/2015;0000;25.8;23.6;83;1009;5;0.5;0;
83229;02/01/2015;1200;29.5;24.7;68;1009.9;9;0.8;2;
83229;02/01/2015;1800;28.7;24.2;69;1007.1;9;1.3;1;
83229;03/01/2015;0000;24.5;23.2;90;1008.5;5;1;0;
83229;03/01/2015;1200;29.9;24;61;1009.1;9;1.6;3;
83229;03/01/2015;1800;28.4;23.2;64;1007.1;9;1.6;1;
83229;04/01/2015;0000;25;22.1;78;1008.3;5;0.5;0;
83229;04/01/2015;1200;27.8;23.4;69;1010.4;5;0.5;5;
83229;04/01/2015;1800;28.7;23.8;67;1008.4;14;0.8;1;
83229;05/01/2015;0000;25.4;22.8;80;1009.6;5;1.6;1;
83229;05/01/2015;1200;27.8;24.3;75;1011.2;23;0.3;9;
83229;05/01/2015;1800;26.4;24.3;84;1008.9;9;0.3;9;
83229;06/01/2015;0000;25.7;23.7;85;1010.6;9;0.3;4;
83229;06/01/2015;1200;28.3;24.1;71;1011.7;5;0.5;6;
83229;06/01/2015;1800;29;25.2;74;1009.5;9;0.3;3;
83229;07/01/2015;0000;25.6;23.7;86;1010.8;9;0.3;3;
83229;07/01/2015;1200;27.2;25.5;87;1011;9;0.8;4;
83229;07/01/2015;1800;28;25.1;79;1008.9;18;1.6;4;
83229;08/01/2015;0000;25.3;23.1;83;1010.8;0;0;9;
83229;08/01/2015;1200;22.3;22;97;1011.9;14;0.8;9;
83229;08/01/2015;1800;24.6;23.4;91;1009.7;9;0.8;8;
83229;09/01/2015;0000;22.4;21.7;94;1010.9;0;0;9;
83229;09/01/2015;1200;24.6;24.2;97;1011.8;18;0.3;7;
83229;09/01/2015;1800;25.9;24.4;88;1009.6;14;0.5;7;
83229;10/01/2015;0000;24.4;22.9;88;1011.2;0;0;2;
83229;10/01/2015;1200;28.1;24.6;75;1012.2;23;0.3;3;
83229;10/01/2015;1800;28.2;24.6;75;1009.6;18;0.8;1;
83229;11/01/2015;0000;25.2;23.3;85;1011.1;0;0;1;
83229;11/01/2015;1200;29.2;25;71;1012.9;5;1.3;4;
83229;11/01/2015;1800;28.9;24.1;67;1009.8;36;0.3;0;
83229;12/01/2015;0000;24.4;23.8;95;1011.1;18;1.5;3;
83229;12/01/2015;1200;28;25.6;83;1012.4;0;0;6;
83229;12/01/2015;1800;28.3;24.3;72;1009.1;9;1.6;0;
83229;13/01/2015;0000;25.4;23.6;86;1010.8;0;0;1;
83229;13/01/2015;1200;29.2;24.8;70;1011.8;9;0.5;4;
83229;13/01/2015;1800;28.3;24.6;74;1008;18;0.5;7;
83229;14/01/2015;0000;25.2;23;83;1009.5;0;0;1;
83229;14/01/2015;1200;26.4;24.2;83;1010.6;0;0;8;
83229;14/01/2015;1800;28.6;24.4;71;1008.3;9;0.5;2;
83229;15/01/2015;0000;25.5;23;81;1010.3;5;1.3;2;
83229;15/01/2015;1200;28.8;24.2;67;1010.8;5;0.5;4;
83229;15/01/2015;1800;28.5;23.9;69;1008.7;5;1.6;3;
83229;16/01/2015;0000;25.2;22.6;79;1010.5;0;0;2;
83229;16/01/2015;1200;29.2;24.1;66;1011.1;9;0.3;4;
83229;16/01/2015;1800;28.5;25.4;78;1008.4;18;0.8;3;
83229;17/01/2015;0000;25.1;23.1;83;1010.2;0;0;0;
83229;17/01/2015;1200;27;24.3;80;1010.9;9;0.5;7;
83229;17/01/2015;1800;29;24.3;68;1007.9;9;0.3;0;
83229;18/01/2015;0000;24.7;23.9;93;1009.3;9;0.8;1;
83229;18/01/2015;1200;26.6;23.3;76;1011.3;5;2;3;
83229;18/01/2015;1800;28.7;23.5;63;1008.4;9;1.6;1;
83229;19/01/2015;0000;25.4;22.6;79;1010;5;0.8;1;
83229;19/01/2015;1200;29.2;23.9;65;1011.3;9;0.5;2;
83229;19/01/2015;1800;28.6;23.8;68;1008.1;14;1.3;0;
83229;20/01/2015;0000;25.9;23.2;79;1009.4;5;0.8;2;
83229;20/01/2015;1200;28.8;25.1;74;1008.8;14;0.3;4;
83229;20/01/2015;1800;27.8;24.4;76;1006.2;14;0.3;9;
83229;21/01/2015;0000;25.2;23;83;1008;0;0;1;
83229;21/01/2015;1200;29.1;25.1;73;1008.8;27;0.5;7;
83229;21/01/2015;1800;26.7;25.3;90;1006.3;14;0.3;7;
83229;22/01/2015;0000;24.6;23.9;93;1007.2;5;0.5;3;
83229;22/01/2015;1200;27.4;24.6;78;1009.1;32;0.8;9;
83229;22/01/2015;1800;28.2;24.3;72;1006.3;5;2;6;
83229;23/01/2015;0000;26.3;23.6;79;1008.6;5;2.5;7;
83229;23/01/2015;1200;28.6;24;69;1010.8;5;1.8;4;
83229;23/01/2015;1800;28.7;24.2;67;1008.3;9;1.6;2;
83229;24/01/2015;0000;26;23.6;82;1009.6;9;0.5;8;
83229;24/01/2015;1200;29.2;25.1;72;1009.8;9;0.3;6;
83229;24/01/2015;1800;26.7;24.6;85;1007.9;0;0;9;
83229;25/01/2015;0000;25.2;23;82;1009.1;0;0;0;
83229;25/01/2015;1200;28.2;25.3;79;1009.5;0;0;6;
83229;25/01/2015;1800;28.5;25.3;77;1007.7;9;0.3;9;
83229;26/01/2015;0000;25.1;23.6;88;1009.4;9;0.3;3;
83229;26/01/2015;1200;29.1;25.1;73;1010;14;0.3;2;
83229;26/01/2015;1800;29;24.2;67;1007.7;5;0.5;1;
83229;27/01/2015;0000;26.1;23.8;83;1008.5;5;0.5;1;
83229;27/01/2015;1200;30.4;25;72;1010.4;5;0.5;2;
83229;27/01/2015;1800;29.4;24.5;67;1008.2;9;1;1;
83229;28/01/2015;0000;26.1;23.2;83;1009;5;0.8;1;
83229;28/01/2015;1200;29.7;24.5;65;1010.3;9;0.5;1;
83229;28/01/2015;1800;29;23.7;64;1007.6;9;0.8;1;
83229;29/01/2015;0000;25.5;22.3;76;1009;9;0.3;1;
83229;29/01/2015;1200;30.1;24.9;64;1009.5;14;0.5;2;
83229;29/01/2015;1800;28.7;24.9;72;1006.8;14;0.5;2;
83229;30/01/2015;0000;25.8;23.5;82;1008.8;0;0;2;
83229;30/01/2015;1200;27.4;25;81;1009;14;0.3;8;
83229;30/01/2015;1800;29.5;25.2;70;1006.7;5;0.5;8;
83229;31/01/2015;0000;26.2;23.5;78;1008.7;5;0.5;1;
83229;31/01/2015;1200;29.6;26.4;78;1009.9;14;1.6;4;
83229;31/01/2015;1800;29.3;25.6;74;1007.6;14;1.6;6;
