--------------------
BDMEP - INMET
--------------------
Estação           : SAO LUIS - MA (OMM: 82280)
Latitude  (graus) : -2.53
Longitude (graus) : -44.21
Altitude  (metros): 50.86
Estação Operante
Inicio de operação: 18/11/1924
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82280;01/01/2015;0000;25.8;24.1;85;1006.9;5;1.3;1;
82280;01/01/2015;1200;28.9;24.5;68;1007.9;5;2.6;7;
82280;01/01/2015;1800;30.2;25.5;66;1005.1;2;4.1;7;
82280;02/01/2015;0000;26.4;24.5;84;1007.4;5;1.6;5;
82280;02/01/2015;1200;29;24.9;70;1007.5;3;3.3;5;
82280;02/01/2015;1800;30.8;25.2;63;1005.6;36;3.8;2;
82280;03/01/2015;0000;26.2;23.9;80;1006.4;4;1.8;4;
82280;03/01/2015;1200;27.4;24.6;77;1007.3;5;2.1;10;
82280;03/01/2015;1800;27.6;24.7;77;1006.1;36;2.3;10;
82280;04/01/2015;0000;25.8;24.1;85;1007.3;5;1.1;6;
82280;04/01/2015;1200;28.5;25.3;77;1008.1;5;2.8;7;
82280;04/01/2015;1800;31.6;25.9;63;1005.5;2;3;6;
82280;05/01/2015;0000;26.4;24.7;86;1008.1;5;1;3;
82280;05/01/2015;1200;26.6;25.2;89;1009.3;9;2.1;10;
82280;05/01/2015;1800;31.6;25.6;61;1005.7;5;4.6;5;
82280;06/01/2015;0000;25.4;23.4;84;1007.6;5;0.3;2;
82280;06/01/2015;1200;27.6;24.6;76;1008.9;5;2.8;10;
82280;06/01/2015;1800;30.5;26;68;1005.7;2;2.5;8;
82280;07/01/2015;0000;26;24.2;86;1006.6;0;0;0;
