--------------------
BDMEP - INMET
--------------------
Estação           : SAO PAULO MIR de SANTANA  - SP (OMM: 83781)
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83781;01/01/2015;0000;25.8;21.3;67;925;32;3.1;10;
83781;01/01/2015;1200;28.1;22.3;59;924.9;27;3.6;5;
83781;01/01/2015;1800;29.8;21.7;48;923.1;32;3.3;8;
83781;02/01/2015;0000;26;21.1;64;924.7;23;2.5;5;
83781;02/01/2015;1200;26.7;21.5;62;925.2;32;2.5;10;
83781;02/01/2015;1800;32.5;23.1;44;923.4;32;3.3;8;
83781;03/01/2015;0000;25.2;21.7;70;927.1;23;3.5;8;
83781;03/01/2015;1200;25.8;22.4;74;923.3;23;3.5;8;
83781;03/01/2015;1800;26.6;22.7;71;926.2;14;5.8;10;
83781;04/01/2015;0000;23;21.1;85;927.6;14;3;10;
83781;04/01/2015;1200;24.2;21.7;81;928.5;32;0.8;10;
83781;04/01/2015;1800;26.6;20.9;59;926.6;23;4.1;10;
83781;05/01/2015;0000;22.8;19.9;76;927.5;23;2.1;10;
83781;05/01/2015;1200;23.8;20.5;74;927.8;9;2.5;10;
83781;05/01/2015;1800;23.8;20.3;72;926;18;2.8;10;
83781;06/01/2015;0000;23;21.5;88;928.1;14;4.1;8;
83781;06/01/2015;1200;22.5;20.2;81;927.5;5;2.5;7;
83781;06/01/2015;1800;29.6;21.3;47;926.7;23;1.8;8;
83781;07/01/2015;0000;22.9;19.9;76;927;5;2;6;
83781;07/01/2015;1200;26.4;21.7;64;926.6;9;1.6;1;
83781;07/01/2015;1800;33.3;22.5;40;926.1;23;2.3;8;
83781;08/01/2015;0000;20.2;19.7;95;926.6;27;5;10;
83781;08/01/2015;1200;25.4;20.5;64;926.3;0;0;4;
83781;08/01/2015;1800;31.7;22.7;45;924.7;32;2.3;7;
83781;09/01/2015;0000;23.4;20.5;77;924.4;0;0;4;
83781;09/01/2015;1200;27.1;22.5;66;926.1;32;1;3;
83781;09/01/2015;1800;32.6;22.6;42;924.4;32;4.1;7;
83781;10/01/2015;0000;29;24;64;925.5;14;1;1;
83781;10/01/2015;1200;28.3;22.1;57;926.3;32;2.5;10;
83781;10/01/2015;1800;33.5;21.9;35;924.6;32;3.1;7;
83781;11/01/2015;0000;24.6;21.8;78;926.5;5;1;4;
83781;11/01/2015;1200;28.7;22.5;57;926.6;14;1.5;0;
83781;11/01/2015;1800;33.9;23.7;42;924.8;32;3.1;8;
83781;12/01/2015;0000;26.2;24.1;85;926.8;5;3.3;6;
83781;12/01/2015;1200;25;21.7;75;927;5;1.6;7;
83781;12/01/2015;1800;33.6;22.5;37;924;32;2.5;10;
83781;13/01/2015;0000;24;19.7;67;925.4;0;0;1;
83781;13/01/2015;1200;26.4;20.7;60;927;27;0.8;0;
83781;13/01/2015;1800;34.1;21.9;33;924;32;2.5;6;
83781;14/01/2015;0000;22.6;18.8;70;926.1;14;3;10;
83781;14/01/2015;1200;22.9;20.9;84;928.3;5;2.3;10;
83781;14/01/2015;1800;32.3;24.3;51;924.6;14;0.8;7;
