--------------------
BDMEP - INMET
--------------------
Estação           : TEFE - AM (OMM: 82317)
Latitude  (graus) : -3.83
Longitude (graus) : -64.7
Altitude  (metros): 47.00
Estação Operante
Inicio de operação: 04/01/1929
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82317;01/01/2015;0000;27.6;;82;;0;0;3.75;
82317;01/01/2015;1200;25.6;;92;;0;0;8.75;
82317;01/01/2015;1800;31.4;;64;;36;2.05776;3.75;
82317;02/01/2015;0000;28.2;;79;;0;0;3.75;
82317;02/01/2015;1200;26;;92;;36;1.02888;7.5;
82317;02/01/2015;1800;28.8;;71;;5;3.08664;8.75;
82317;03/01/2015;0000;25;;90;;0;0;5;
82317;03/01/2015;1200;25.4;;92;;5;2.05776;10;
82317;03/01/2015;1800;32.2;;63;;5;1.02888;5;
82317;04/01/2015;0000;26.8;;83;;0;0;7.5;
82317;04/01/2015;1200;24.8;;92;;5;1.02888;2.5;
82317;04/01/2015;1800;34.6;;53;;5;3.08664;6.25;
82317;05/01/2015;0000;25;;92;;0;0;6.25;
82317;05/01/2015;1200;24.6;;93;;0;0;8.75;
82317;05/01/2015;1800;27.8;;77;;18;1.02888;10;
82317;06/01/2015;0000;24.8;;94;;0;0;10;
82317;06/01/2015;1200;24.4;;97;;0;0;8.75;
82317;06/01/2015;1800;30.4;;68;;27;1.02888;5;
82317;07/01/2015;0000;22.8;;97;;0;0;10;
82317;07/01/2015;1200;23.2;;100;;5;1.02888;10;
82317;07/01/2015;1800;31.6;;67;;5;1.02888;3.75;
82317;08/01/2015;0000;24.2;;95;;0;0;7.5;
82317;08/01/2015;1200;23.2;;98;;5;1.02888;7.5;
82317;08/01/2015;1800;31;;66;;0;0;2.5;
82317;09/01/2015;0000;26.4;;91;;0;0;3.75;
82317;09/01/2015;1200;26.6;;87;;36;1.02888;6.25;
82317;09/01/2015;1800;26.8;;91;;0;0;8.75;
82317;10/01/2015;0000;23.8;;97;;0;0;10;
82317;10/01/2015;1200;32.8;;57;;9;1.02888;8.75;
82317;10/01/2015;1800;31.6;;63;;9;1.02888;5;
82317;11/01/2015;0000;25.2;;85;;9;2.05776;7.5;
82317;11/01/2015;1200;26.2;;85;;0;0;7.5;
82317;11/01/2015;1800;32.4;;70;;0;0;3.75;
82317;12/01/2015;0000;24.6;;87;;0;0;10;
82317;12/01/2015;1200;23.6;;97;;0;0;8.75;
82317;12/01/2015;1800;31.4;;66;;9;1.02888;3.75;
82317;13/01/2015;0000;28;;86;;0;0;6.25;
82317;13/01/2015;1200;26.6;;86;;0;0;7.5;
82317;13/01/2015;1800;32.8;;60;;0;0;6.25;
82317;14/01/2015;0000;27.6;;88;;0;0;3.75;
82317;14/01/2015;1200;23;;98;;0;0;10;
82317;14/01/2015;1800;28;;79;;0;0;8.75;
82317;15/01/2015;1200;23.6;;100;;0;0;10;
82317;15/01/2015;1800;31.4;;66;;9;2.05776;3.75;
82317;16/01/2015;1200;25;;92;;0;0;6.25;
82317;16/01/2015;1800;31.8;;65;;9;1.02888;3.75;
82317;17/01/2015;0000;27;;87;;0;0;7.5;
82317;17/01/2015;1200;23;;98;;0;0;10;
82317;17/01/2015;1800;25.8;;89;;9;1.02888;10;
82317;18/01/2015;0000;24.8;;92;;0;0;3.75;
82317;18/01/2015;1200;23.8;;97;;0;0;8.75;
82317;18/01/2015;1800;31.4;;69;;9;1.02888;3.75;
82317;19/01/2015;0000;27;;82;;36;2.05776;8.75;
82317;19/01/2015;1200;23;;98;;9;2.05776;10;
82317;19/01/2015;1800;24.8;;100;;0;0;10;
82317;20/01/2015;0000;25.8;;92;;0;0;7.5;
82317;20/01/2015;1200;23.4;;93;;23;10.2888;8.75;
82317;20/01/2015;1800;31;;68;;5;1.02888;5;
82317;21/01/2015;1200;26.4;;84;;36;1.02888;6.25;
82317;21/01/2015;1800;30.6;;69;;14;1.02888;8.75;
82317;22/01/2015;0000;24.4;;94;;0;0;6.25;
82317;22/01/2015;1200;24.2;;96;;0;0;10;
82317;22/01/2015;1800;32;;69;;32;2.05776;5;
82317;23/01/2015;0000;25.6;;92;;0;0;6.25;
82317;23/01/2015;1200;24.6;;95;;0;0;8.75;
82317;23/01/2015;1800;26.6;;86;;18;1.02888;7.5;
82317;24/01/2015;0000;24.6;;93;;0;0;8.75;
82317;24/01/2015;1200;24.4;;99;;0;0;10;
82317;24/01/2015;1800;30.2;;71;;0;0;6.25;
82317;25/01/2015;0000;25.4;;87;;0;0;10;
82317;25/01/2015;1200;23.6;;98;;0;0;10;
82317;25/01/2015;1800;28.8;;79;;0;0;7.5;
82317;26/01/2015;0000;27;;92;;0;0;7.5;
82317;26/01/2015;1200;24.8;;99;;0;0;7.5;
82317;26/01/2015;1800;32;;63;;14;1.02888;3.75;
82317;27/01/2015;0000;26;;82;;5;2.05776;6.25;
82317;27/01/2015;1200;26;;87;;5;2.05776;7.5;
