--------------------
BDMEP - INMET
--------------------
Estação           : TERESINA - PI (OMM: 82578)
Latitude  (graus) : -5.08
Longitude (graus) : -42.81
Altitude  (metros): 74.36
Estação Operante
Inicio de operação: 21/03/1911
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
82578;01/01/2015;0000;24;22;83;1004.1;5;0.5;10;
82578;01/01/2015;1200;25.2;23.8;87;1006.2;5;1.3;10;
82578;01/01/2015;1800;33.4;25.7;50;1001.5;14;0.8;6;
82578;02/01/2015;0000;28.2;24.7;73;1003;23;3.3;5;
82578;02/01/2015;1200;25.5;24;89;1005.4;23;0.5;10;
82578;02/01/2015;1800;32.8;25.6;55;1002;5;1.8;8;
82578;03/01/2015;0000;27.4;25.3;84;1002.9;9;0.3;6;
82578;03/01/2015;1200;26.4;24.4;84;1005;27;1.1;10;
82578;03/01/2015;1800;26.8;25.2;86;1002.2;27;0.8;10;
82578;04/01/2015;0000;22.8;22.2;94;1003.8;0;0;7;
82578;04/01/2015;1200;25.5;23.9;87;1006.6;23;2;9;
82578;04/01/2015;1800;29.3;24.6;67;1001.7;23;0.7;10;
82578;05/01/2015;0000;23.5;23;77;1005.7;0;0;10;
82578;05/01/2015;1200;25.2;23;81;1006.7;32;1.6;10;
82578;05/01/2015;1800;31.8;25.2;56;1003.4;23;1;6;
82578;06/01/2015;0000;27.7;24.6;76;1004.4;23;0.8;8;
82578;06/01/2015;1200;26.6;23.6;77;1006.2;23;1.3;8;
82578;07/01/2015;0000;27.2;25.2;84;1003.8;0;0;8;
82578;07/01/2015;1200;22.8;22.4;96;1006.6;5;0.8;10;
82578;08/01/2015;0000;25;24.4;96;1002.1;27;0.3;10;
82578;08/01/2015;1200;27.2;24.2;77;1005.1;27;3.3;8;
82578;09/01/2015;0000;27.8;25.3;81;1002;5;1.3;4;
82578;09/01/2015;1200;27.5;24.5;76;1005.6;0;0;1;
82578;10/01/2015;0000;27.8;25.6;83;1001.9;0;0;2;
82578;10/01/2015;1200;26.6;24.2;81;1006.2;5;2;10;
82578;11/01/2015;0000;28.6;25.6;78;1002.4;0;0;5;
82578;11/01/2015;1200;27.8;24.7;77;1005.4;14;1.6;10;
82578;12/01/2015;0000;27.8;25.4;82;1002.2;0;0;4;
82578;12/01/2015;1200;28.2;24.4;71;1006.2;27;3.3;8;
82578;13/01/2015;0000;28.4;24.3;70;1002.3;36;0.5;3;
82578;13/01/2015;1200;27.6;24.5;76;1004.4;36;1.6;8;
82578;14/01/2015;0000;27;24.4;79;1001.4;0;0;8;
82578;14/01/2015;1200;27.2;24.2;77;1004.9;5;1.3;10;
82578;15/01/2015;0000;26;24.8;90;1001.9;0;0;0;
82578;15/01/2015;1200;27.6;24;72;1005.2;14;1.6;10;
82578;16/01/2015;0000;27.8;24.8;77;1002;32;1;0;
82578;16/01/2015;1200;28.2;23.5;65;1005.6;32;3.3;9;
82578;17/01/2015;0000;27.6;24;72;1002;0;0;3;
82578;17/01/2015;1200;27.2;25;83;1005;5;1.6;9;
82578;18/01/2015;0000;28.6;25.4;77;1002;0;0;0;
82578;18/01/2015;1200;27.4;24.4;76;1005.4;9;1;10;
82578;19/01/2015;0000;28.2;24;68;1003.5;14;2.8;10;
82578;19/01/2015;1200;25.6;24.6;90;1005.3;14;0.5;10;
82578;20/01/2015;0000;25.8;24.2;86;1002;0;0;1;
82578;20/01/2015;1200;27.6;24.5;76;1003.4;27;1.1;5;
82578;21/01/2015;0000;26.6;23;73;1000.7;36;0.5;8;
82578;21/01/2015;1200;26.8;24;77;1005.3;36;1.1;10;
82578;22/01/2015;0000;27.2;24.6;80;1002.4;0;0;8;
82578;22/01/2015;1200;24.6;23.2;87;1005.3;27;0.3;10;
82578;23/01/2015;0000;26.4;24.1;81;1002.2;27;0.8;3;
82578;23/01/2015;1200;26.4;24;80;1005.8;27;1.1;10;
82578;24/01/2015;0000;26.8;25.1;85;1002.7;0;0;10;
82578;24/01/2015;1200;27.6;24.2;74;1004.1;14;1.6;10;
82578;25/01/2015;0000;28.8;26.8;83;1002;0;0;8;
82578;25/01/2015;1200;26;24.4;87;1004.6;5;0.7;10;
82578;26/01/2015;0000;27.2;24.3;78;1002.5;5;0.7;10;
82578;26/01/2015;1200;28.2;24.8;74;1005.7;5;0.8;10;
82578;27/01/2015;0000;27.4;24.8;78;1001.9;27;0.3;2;
82578;27/01/2015;1200;27.4;23.6;70;1005;27;0.3;10;
82578;28/01/2015;0000;28.8;24.5;68;1000.9;0;0;5;
82578;28/01/2015;1200;27.6;24.2;74;1003.9;36;1.3;8;
82578;29/01/2015;0000;30.2;25.2;64;1000.5;27;0.7;0;
82578;29/01/2015;1200;27.2;24;76;1004.1;27;1.6;8;
82578;30/01/2015;0000;30.6;25.6;66;1001;27;1.6;8;
82578;30/01/2015;1200;27.4;23.7;71;1004;32;0.8;1;
82578;31/01/2015;0000;29.6;25.6;70;1000.8;32;3.3;10;
