--------------------
BDMEP - INMET
--------------------
Estação           : UBERABA - MG (OMM: 83577)
Latitude  (graus) : -19.73
Longitude (graus) : -47.95
Altitude  (metros): 737.00
Estação Operante
Inicio de operação: 11/10/1913
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83577;01/01/2015;0000;23.2;21.6;86;929.9;0;0;10;
83577;01/01/2015;1200;28.2;24.2;70;930.7;36;2;0;
83577;01/01/2015;1800;33.2;23.8;44;927.4;32;2;3;
83577;02/01/2015;0000;22.2;21.4;92;929.7;0;0;8;
83577;02/01/2015;1200;29.2;24.2;66;931.1;27;2;0;
83577;02/01/2015;1800;33.2;23.4;42;928.1;23;2;7;
83577;03/01/2015;0000;22.6;20.8;83;929.9;5;2;8;
83577;03/01/2015;1200;28.6;24.2;69;930.5;5;2;8;
83577;03/01/2015;1800;29.4;24;61;927.9;9;3;10;
83577;04/01/2015;0000;23.8;21.2;79;931;9;4;10;
83577;04/01/2015;1200;21;19;81;933.5;0;0;10;
83577;04/01/2015;1800;29.6;24.6;65;928.9;14;2;0;
83577;05/01/2015;0000;24.8;22;77;930.2;0;0;10;
83577;05/01/2015;1200;27.4;22.6;64;931.2;9;3;0;
83577;05/01/2015;1800;26.8;21.6;61;930.1;14;2;10;
83577;06/01/2015;0000;21.2;19.4;84;930.9;9;3;10;
83577;06/01/2015;1200;26.6;22;66;932.2;9;3;8;
83577;06/01/2015;1800;31.8;23.2;46;930.6;36;1;7;
83577;07/01/2015;0000;23.2;22.2;91;931.8;0;0;8;
83577;07/01/2015;1200;28;21.8;55;931.2;5;3;0;
83577;07/01/2015;1800;32.8;23.2;42;928.8;36;2;4;
83577;08/01/2015;0000;26.6;21.8;65;930.4;0;0;3;
83577;08/01/2015;1200;27.6;22;59;932;36;2;2;
83577;08/01/2015;1800;32.2;23;44;929.3;9;2;4;
83577;09/01/2015;0000;24.8;20.6;67;929.1;0;0;3;
83577;09/01/2015;1200;27;20.8;55;931;36;4;0;
83577;09/01/2015;1800;33;23;41;929;0;0;4;
83577;10/01/2015;0000;24.4;20.2;67;929.9;0;0;0;
83577;10/01/2015;1200;28.8;22.2;54;932.5;36;1;0;
83577;10/01/2015;1800;32.8;24.2;47;929.5;0;0;0;
83577;11/01/2015;0000;26.8;22.4;66;929.3;5;2;3;
83577;11/01/2015;1200;29.6;24;61;931.3;36;2;0;
83577;11/01/2015;1800;35.2;24;38;928.9;0;0;3;
83577;12/01/2015;0000;26;21.8;68;929.3;0;0;5;
83577;12/01/2015;1200;28.4;22.8;61;932.1;9;2;3;
83577;12/01/2015;1800;34.6;22.6;33;928.6;5;2;0;
83577;13/01/2015;0000;28.2;23;62;929.4;0;0;4;
83577;13/01/2015;1200;27.8;22.2;61;932.1;9;3;10;
83577;13/01/2015;1800;34;23.8;41;928.1;5;2;4;
83577;14/01/2015;0000;26.4;21.8;65;929.3;0;0;7;
83577;14/01/2015;1200;30;22;48;930.8;5;4;0;
83577;14/01/2015;1800;33.6;23.6;41;929;0;0;8;
83577;15/01/2015;0000;24.8;22.2;79;929.9;5;2;10;
83577;15/01/2015;1200;28.6;21.8;54;931;36;4;0;
83577;15/01/2015;1800;33.2;23.8;44;929.1;0;0;4;
83577;16/01/2015;0000;28;20.8;49;929.5;36;2;0;
83577;16/01/2015;1200;29.8;21.2;44;932;5;2;0;
83577;16/01/2015;1800;34;22;33;929.1;5;4;0;
83577;17/01/2015;0000;24;19;62;929.7;0;0;0;
83577;17/01/2015;1200;30.4;20.8;40;931.1;36;4;0;
83577;17/01/2015;1800;35.4;21.8;27;928.4;9;4;0;
83577;18/01/2015;0000;24.6;20.2;65;928.7;0;0;0;
83577;18/01/2015;1200;30.8;22;45;931.3;36;3;0;
83577;18/01/2015;1800;34.4;22.6;33;928.4;9;1;3;
83577;19/01/2015;0000;26.8;21.4;60;928;0;0;0;
83577;19/01/2015;1200;30;21.4;45;930.6;9;4;0;
83577;19/01/2015;1800;36;23.4;32;928.2;14;2;2;
83577;20/01/2015;0000;29.6;20.6;42;928.6;5;3;0;
83577;20/01/2015;1200;29.8;20.8;42;929.5;9;4;0;
83577;20/01/2015;1800;36;23.2;32;926.6;9;3;3;
83577;21/01/2015;0000;26.6;21.4;62;926.9;0;0;0;
83577;21/01/2015;1200;29.4;22.2;51;929.3;9;2;0;
83577;21/01/2015;1800;34.8;23.8;38;926.9;9;2;5;
83577;22/01/2015;0000;23.6;20;70;928.6;0;0;0;
83577;22/01/2015;1200;25.8;21.4;66;930.4;0;0;10;
83577;22/01/2015;1800;32.8;23.6;44;927.8;18;2;7;
83577;23/01/2015;0000;20;19.2;93;931.6;0;0;10;
83577;23/01/2015;1200;23.4;20;72;931.9;9;3;10;
83577;23/01/2015;1800;29;21.8;51;928.5;5;2;10;
83577;24/01/2015;0000;21.4;19.4;81;929.3;0;0;0;
83577;24/01/2015;1200;23.6;19.8;68;930.4;36;4;8;
83577;24/01/2015;1800;29.6;22.4;52;927.7;5;2;4;
83577;25/01/2015;0000;25;21.2;71;928.4;0;0;6;
83577;25/01/2015;1200;24.6;21;71;931.3;36;3;8;
83577;25/01/2015;1800;31.2;23.6;51;928.3;36;2;6;
83577;26/01/2015;0000;22.4;20.2;81;930;0;0;8;
83577;26/01/2015;1200;24;21.4;80;931.4;36;2;10;
83577;26/01/2015;1800;22;21.4;95;929.4;0;0;10;
83577;27/01/2015;0000;22.6;20.4;80;929.7;9;2;3;
83577;27/01/2015;1200;23.6;21.2;79;932.3;0;0;10;
83577;27/01/2015;1800;26.4;21.8;65;929;9;2;10;
83577;28/01/2015;0000;22.6;20.8;83;930.6;9;2;10;
83577;28/01/2015;1200;24.4;21.4;76;932.3;0;0;10;
83577;28/01/2015;1800;24.4;22.4;84;929.2;0;0;10;
83577;29/01/2015;0000;23.6;20.6;74;930.2;0;0;8;
83577;29/01/2015;1200;24.8;22;77;932.2;0;0;8;
83577;29/01/2015;1800;29.6;24.2;62;929.5;18;3;5;
83577;30/01/2015;0000;25.2;21.8;73;930.2;0;0;7;
83577;30/01/2015;1200;28;21.4;53;931.1;18;2;0;
83577;30/01/2015;1800;33;23;41;928.8;18;2;0;
83577;31/01/2015;0000;27.4;22.2;61;929.2;0;0;0;
83577;31/01/2015;1200;29;23.4;61;931.5;5;2;0;
83577;31/01/2015;1800;20.4;20.2;98;929.9;5;2;10;
83577;01/02/2015;0000;22.6;21.2;86;929.9;0;0;10;
83577;01/02/2015;1200;25;20.8;68;931.3;9;4;10;
83577;01/02/2015;1800;33.4;24.6;46;928.7;9;2;6;
83577;02/02/2015;0000;18.4;18;95;931.8;36;3;10;
83577;02/02/2015;1200;24.4;21.6;78;929.9;0;0;8;
83577;02/02/2015;1800;29;22.4;55;928.4;9;3;8;
83577;03/02/2015;0000;22.8;20;76;930.7;14;3;8;
83577;03/02/2015;1200;25;21.2;71;928.9;5;2;0;
83577;03/02/2015;1800;32.6;24.2;47;926.6;18;2;3;
83577;04/02/2015;0000;23.4;20.4;76;927.7;5;3;0;
83577;04/02/2015;1200;24;21;77;928.9;18;3;10;
83577;04/02/2015;1800;26.2;22.8;73;926.4;9;3;10;
83577;05/02/2015;0000;23;20.8;82;926.4;9;2;4;
83577;05/02/2015;1200;23.8;22;85;926.4;9;2;10;
83577;05/02/2015;1800;24.6;23;86;923.3;0;0;10;
83577;06/02/2015;0000;22.2;21.6;93;923.8;0;0;4;
83577;06/02/2015;1200;19.2;19;98;924.6;36;3;10;
83577;06/02/2015;1800;27.6;22.6;63;923.3;0;0;5;
83577;07/02/2015;0000;22.2;20.8;87;924.4;0;0;0;
83577;07/02/2015;1200;23.2;21.2;82;926.5;32;3;10;
83577;07/02/2015;1800;26.8;22.2;65;924.2;18;2;8;
83577;08/02/2015;0000;21.4;20.8;94;925.4;0;0;0;
83577;08/02/2015;1200;24.8;22.2;79;928.5;9;2;10;
83577;08/02/2015;1800;23;22.4;95;926.4;0;0;10;
83577;09/02/2015;0000;21.6;21.4;98;928.2;0;0;10;
83577;09/02/2015;1200;22.8;21.2;86;930.4;36;2;10;
83577;09/02/2015;1800;26.4;21.8;65;928.3;32;2;6;
83577;10/02/2015;0000;22.4;20.4;83;929;0;0;0;
83577;10/02/2015;1200;25.2;22.4;77;931.2;0;0;10;
83577;10/02/2015;1800;31.2;24.6;57;928.2;5;2;8;
83577;11/02/2015;0000;20.2;20.2;99;932.5;0;0;10;
83577;11/02/2015;1200;23;21.2;85;933;36;3;10;
83577;11/02/2015;1800;30;23.6;58;930.3;9;2;10;
83577;12/02/2015;0000;21;20.6;95;931.2;0;0;10;
83577;12/02/2015;1200;25.2;22.6;78;933.5;5;2;8;
83577;12/02/2015;1800;32.4;24.2;50;930.6;36;2;3;
83577;13/02/2015;0000;23.8;22.2;87;931.5;0;0;0;
83577;13/02/2015;1200;27.2;23.2;71;933.6;0;0;4;
83577;13/02/2015;1800;33.4;23;38;929.8;9;2;8;
83577;14/02/2015;0000;23.8;20.2;71;930.6;0;0;0;
83577;14/02/2015;1200;26.6;22.6;70;931.4;0;0;0;
83577;14/02/2015;1800;33.4;23.8;42;928;0;0;3;
83577;15/02/2015;0000;26;21.6;67;929.2;0;0;4;
83577;15/02/2015;1200;26.8;22.2;65;929.9;0;0;0;
83577;15/02/2015;1800;28.6;22.8;61;927.4;36;2;10;
83577;16/02/2015;0000;20.2;20;97;929.4;5;2;10;
83577;16/02/2015;1200;21.8;20.4;87;930.7;9;3;10;
83577;16/02/2015;1800;29.2;23.4;61;927.9;0;0;8;
83577;17/02/2015;0000;21.2;20.2;91;930;9;2;10;
83577;17/02/2015;1200;22.4;20.4;83;930.4;36;3;10;
83577;17/02/2015;1800;29.2;22.4;55;925.7;36;3;4;
83577;18/02/2015;0000;23.6;21.6;82;927.4;5;2;10;
83577;18/02/2015;1200;21.8;20.4;87;929.1;5;2;10;
83577;18/02/2015;1800;24.8;21.4;73;927.2;5;2;10;
83577;19/02/2015;0000;20.6;19.4;88;927.3;0;0;10;
83577;19/02/2015;1200;22.6;20.6;82;929.5;36;4;10;
83577;19/02/2015;1800;24.6;22.2;80;927.1;36;3;10;
83577;20/02/2015;0000;22.2;20.8;87;929;5;2;8;
83577;20/02/2015;1200;22.2;20.2;82;930.5;9;1;10;
83577;20/02/2015;1800;27.4;23.4;69;928.9;5;2;8;
83577;21/02/2015;0000;22.8;21.6;89;930.1;0;0;3;
83577;21/02/2015;1200;27;22.2;64;932.3;9;3;5;
83577;21/02/2015;1800;30.8;21.8;44;930.7;5;3;6;
83577;22/02/2015;0000;25.2;20.8;66;930.8;0;0;0;
83577;22/02/2015;1200;27.2;21.2;57;932.8;9;3;0;
83577;22/02/2015;1800;31.6;22.4;44;929.8;9;3;2;
83577;23/02/2015;0000;25.6;21.4;67;930.3;0;0;0;
83577;23/02/2015;1200;27.4;20.6;51;932.8;9;3;0;
83577;23/02/2015;1800;30.6;22.4;48;930.2;36;3;4;
83577;24/02/2015;0000;25.4;21;66;930.3;9;2;0;
83577;24/02/2015;1200;24.8;20.8;69;932.4;36;3;0;
83577;24/02/2015;1800;31.4;23.2;48;929.8;36;3;6;
83577;25/02/2015;0000;23.4;20.8;79;931.8;0;0;10;
83577;25/02/2015;1200;24.4;21.2;75;933.1;36;4;10;
83577;25/02/2015;1800;30.4;23.4;54;930.4;9;3;6;
83577;26/02/2015;0000;22.4;21;88;931.8;14;2;10;
83577;26/02/2015;1200;19.2;19;98;932;36;3;10;
83577;26/02/2015;1800;30.8;24.2;58;927.3;36;2;8;
83577;27/02/2015;0000;20.2;20.2;99;929.5;0;0;10;
83577;27/02/2015;1200;23.4;21;80;930.6;0;0;10;
83577;27/02/2015;1800;30.2;23.4;54;927.1;0;0;5;
83577;28/02/2015;0000;21.6;20.2;88;929.3;18;4;4;
83577;28/02/2015;1200;22.8;22;92;929.2;18;2;5;
83577;28/02/2015;1800;30.8;23.6;54;926.8;23;2;3;
83577;01/03/2015;0000;23;21.4;87;929.4;0;0;0;
83577;01/03/2015;1200;24.8;21.8;76;930.6;14;4;0;
83577;01/03/2015;1800;29.8;23.2;56;928.6;36;4;10;
83577;02/03/2015;0000;23.4;21;80;929.9;0;0;0;
83577;02/03/2015;1200;25.2;21.4;70;932;5;3;4;
83577;02/03/2015;1800;29.6;23.2;56;928.5;14;3;8;
83577;03/03/2015;0000;21.6;21.4;98;929.6;0;0;10;
83577;03/03/2015;1200;25.2;22.2;76;931.1;9;4;0;
83577;03/03/2015;1800;24.6;22;78;929;18;2;10;
83577;04/03/2015;0000;22.6;21;85;929.9;5;2;4;
83577;04/03/2015;1200;26.4;22.6;71;931.1;36;2;4;
83577;04/03/2015;1800;27.6;23.8;71;928.6;5;2;10;
83577;05/03/2015;0000;21;19.4;85;930.7;5;2;4;
83577;05/03/2015;1200;24.8;21.6;74;931.9;0;0;8;
83577;05/03/2015;1800;31;23.6;51;928.1;5;2;6;
83577;06/03/2015;0000;21.2;21;99;929.3;0;0;10;
83577;06/03/2015;1200;26;22;70;931.1;0;0;8;
83577;06/03/2015;1800;29.6;23.2;56;927.5;0;0;4;
83577;07/03/2015;0000;23;21.4;87;928.2;0;0;7;
83577;07/03/2015;1200;26.2;22.6;71;929.6;0;0;0;
83577;07/03/2015;1800;26.6;22.8;72;927;5;1;8;
83577;08/03/2015;0000;22;21.4;95;928.7;5;2;10;
83577;08/03/2015;1200;22.8;21;84;929.6;0;0;4;
83577;08/03/2015;1800;30;24;60;927.2;32;2;7;
83577;09/03/2015;0000;21;20.8;97;928.8;0;0;10;
83577;09/03/2015;1200;21.6;21;95;929.6;0;0;10;
83577;09/03/2015;1800;26.8;23.8;76;925.8;0;0;10;
83577;10/03/2015;0000;20.2;20;97;929.1;0;0;10;
83577;10/03/2015;1200;21.4;20.8;94;928.6;9;2;10;
83577;10/03/2015;1800;28.6;23.2;63;926;27;2;10;
83577;11/03/2015;0000;19;19;99;928.6;0;0;10;
83577;11/03/2015;1200;23.8;22;85;928.4;0;0;10;
83577;11/03/2015;1800;31;24.4;56;925;36;3;8;
83577;12/03/2015;0000;24.8;22.4;80;927.5;5;2;4;
83577;12/03/2015;1200;22;20.2;84;929.3;36;2;10;
83577;12/03/2015;1800;27.2;22.2;64;927.3;9;2;10;
83577;13/03/2015;0000;21.8;19.8;82;928.6;36;2;4;
83577;13/03/2015;1200;22.8;20.8;83;930.4;36;2;10;
83577;13/03/2015;1800;27;22;63;927.7;9;2;10;
83577;14/03/2015;0000;21.8;20.8;90;929.4;0;0;7;
83577;14/03/2015;1200;22.6;21.2;86;930.7;0;0;10;
83577;14/03/2015;1800;21.8;20;83;929.6;0;0;10;
83577;15/03/2015;0000;20.2;19.6;93;929.7;0;0;10;
83577;15/03/2015;1200;21.8;20.4;87;930.8;0;0;10;
83577;15/03/2015;1800;23;21.4;87;929.6;0;0;10;
83577;16/03/2015;0000;21;20;90;930.2;0;0;5;
83577;16/03/2015;1200;24.6;21.4;73;930.5;9;2;0;
83577;16/03/2015;1800;26.8;23;70;927.1;5;2;8;
83577;17/03/2015;0000;21.6;20.2;89;929.6;0;0;0;
83577;17/03/2015;1200;22.8;20.6;81;930.1;5;3;10;
83577;17/03/2015;1800;25.2;20.6;64;927.6;9;3;10;
83577;18/03/2015;0000;18.4;18.4;99;931.7;5;2;10;
83577;18/03/2015;1200;20.4;19.8;95;930.9;9;2;10;
83577;18/03/2015;1800;21;20.2;92;929.2;0;0;10;
83577;19/03/2015;0000;19.2;19.2;100;931.2;0;0;10;
83577;19/03/2015;1200;18.4;18.4;99;932.4;0;0;10;
83577;19/03/2015;1800;22;20.2;84;929.2;9;3;10;
83577;20/03/2015;0000;20.2;19.4;91;930;0;0;10;
83577;20/03/2015;1200;21.2;19.6;86;929.5;0;0;10;
83577;20/03/2015;1800;25.6;21.6;68;926.6;9;3;10;
83577;21/03/2015;0000;21;19.6;87;928.8;0;0;10;
83577;21/03/2015;1200;23;20.4;79;928.5;5;2;7;
83577;21/03/2015;1800;22;20.8;90;926.3;36;2;10;
83577;22/03/2015;0000;18.8;18.4;96;927.5;0;0;10;
83577;22/03/2015;1200;22.4;20.2;81;928.6;36;3;10;
83577;22/03/2015;1800;26.2;22;67;926.3;0;0;10;
83577;23/03/2015;0000;19.6;19.6;100;929.2;0;0;4;
83577;23/03/2015;1200;22;21;91;931.3;0;0;8;
83577;23/03/2015;1800;29.8;23.6;58;929.4;0;0;10;
83577;24/03/2015;0000;22.4;21;88;931.4;0;0;0;
83577;24/03/2015;1200;25;22;77;933.5;0;0;0;
83577;24/03/2015;1800;31;23.2;49;930.5;0;0;0;
83577;25/03/2015;0000;22.4;20.4;83;933.4;23;2.05776;10;
83577;25/03/2015;1200;25.2;22.6;78;932.9;5;2;7;
83577;25/03/2015;1800;32;24.6;53;930;0;0;8;
83577;26/03/2015;0000;23.6;22;85;930.6;0;0;6;
83577;26/03/2015;1200;25.8;22.8;76;931.1;0;0;6;
83577;26/03/2015;1800;30.8;24.4;59;927.8;0;0;10;
