--------------------
BDMEP - INMET
--------------------
Estação           : URUGUAIANA - RS (OMM: 83927)
Latitude  (graus) : -29.75
Longitude (graus) : -57.08
Altitude  (metros): 62.31
Estação Operante
Inicio de operação: 01/02/1912
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83927;01/01/2015;0000;27;24.6;81;993;5;1;7;
83927;01/01/2015;1200;25;24.5;96;994.3;5;1;9;
83927;01/01/2015;1800;20.6;20.4;98;995.9;14;1;10;
83927;02/01/2015;0000;19.8;19.1;94;997.8;18;1;9;
83927;02/01/2015;1200;15.6;14.1;84;1005.4;23;2;7;
83927;02/01/2015;1800;24.6;19;56;1006.7;18;2;4;
83927;03/01/2015;0000;22;16.5;54;1006.2;14;1;3;
83927;03/01/2015;1200;17.8;15.3;76;1008.7;18;2;3;
83927;03/01/2015;1800;28.2;19.4;40;1006;9;1;0;
83927;04/01/2015;0000;26.8;20.2;52;1005.1;5;1;0;
83927;04/01/2015;1200;23.6;19.1;64;1007.9;18;1;0;
83927;04/01/2015;1800;29.4;20.9;43;1006.7;14;1;0;
83927;05/01/2015;0000;24.8;19.1;56;1004.3;14;1;0;
83927;05/01/2015;1200;23;18.9;66;1004.6;14;1;0;
83927;05/01/2015;1800;32.4;23.4;44;1003.4;5;1;0;
83927;06/01/2015;0000;28.4;22.4;57;1001.9;14;1;0;
83927;06/01/2015;1200;28.8;25.2;74;1003.8;5;1;4;
83927;06/01/2015;1800;34.4;26.6;52;999.8;32;1;4;
83927;07/01/2015;0000;26.8;21.5;60;999.5;5;3;10;
83927;07/01/2015;1200;22;21.6;96;1000.6;18;2;10;
83927;07/01/2015;1800;24;23.6;97;1001.2;5;1;10;
83927;08/01/2015;0000;24.4;23.4;92;1001.8;18;1;10;
83927;08/01/2015;1200;23.8;23.5;98;1003.2;5;1;10;
83927;08/01/2015;1800;27.4;24.8;80;1002.6;14;1;10;
83927;09/01/2015;0000;26.2;24.9;89;1001.6;14;1;6;
83927;09/01/2015;1200;23.8;21.8;83;1001.9;36;1;8;
83927;09/01/2015;1800;26.8;24.5;82;1001.5;27;1;10;
83927;10/01/2015;0000;30.6;24.6;60;998.3;32;1;10;
83927;10/01/2015;1200;25.8;25.5;98;1003.6;9;1;10;
83927;10/01/2015;1800;23.6;23.5;99;1001.9;27;3;9;
83927;11/01/2015;0000;25.4;23.7;87;1002.7;9;1;10;
83927;11/01/2015;1200;23;22.1;92;1000.3;32;1;10;
83927;11/01/2015;1800;27.8;25;78;1003.1;32;1;10;
83927;12/01/2015;0000;26.8;23.5;74;1001.2;23;1;6;
83927;12/01/2015;1200;23.6;23.1;96;1003.9;9;1;5;
83927;12/01/2015;1800;30.2;24.5;61;1004.4;5;1;6;
83927;13/01/2015;0000;31;25.5;63;1000.3;5;1;0;
83927;13/01/2015;1200;28.2;24.1;70;1000;5;1;8;
83927;13/01/2015;1800;34.6;27.2;55;999.8;32;3;5;
83927;14/01/2015;0000;24.8;22.6;81;999.8;14;1;7;
83927;14/01/2015;1200;21;21;100;1002.4;23;1;10;
83927;14/01/2015;1800;22.6;22.1;96;1003.8;5;1;10;
83927;15/01/2015;0000;26.8;22.5;67;1004.4;14;1;6;
83927;15/01/2015;1200;23.8;23.3;96;1008;14;1;8;
83927;15/01/2015;1800;27.8;23.5;68;1009.1;9;1;9;
83927;16/01/2015;0000;26.6;23.1;73;1005.4;14;1;6;
83927;16/01/2015;1200;22.6;21.9;94;1005.5;9;1;10;
83927;16/01/2015;1800;25.2;23.4;85;1005.5;9;1;7;
83927;17/01/2015;0000;26.4;23.4;76;1001.4;14;1;10;
83927;17/01/2015;1200;25.6;23.9;86;1003.8;14;1;6;
83927;17/01/2015;1800;31.4;24.5;55;1003.2;18;1;7;
83927;18/01/2015;0000;30.4;24.6;61;1001.8;14;1;4;
83927;18/01/2015;1200;25.2;23.1;83;1003.9;5;1;7;
83927;18/01/2015;1800;31;25;60;1004.4;27;1;4;
83927;19/01/2015;0000;25.8;22.2;72;1000.2;14;1;10;
83927;19/01/2015;1200;23.2;23.1;99;1003;9;1;0;
83927;19/01/2015;1800;33;26.2;57;1004.6;27;1;4;
83927;20/01/2015;0000;21;20.6;96;1001.5;9;2;10;
83927;20/01/2015;1200;21.2;21.1;99;1005.5;27;1;10;
83927;20/01/2015;1800;26.8;21.9;63;1007.5;27;1;10;
83927;21/01/2015;0000;27;23.4;72;1005.6;9;1;7;
83927;21/01/2015;1200;19;17.8;88;1010.6;9;1;0;
83927;21/01/2015;1800;27.8;21.4;54;1010.6;5;1;4;
83927;22/01/2015;0000;26.6;20.3;54;1008.7;9;1;0;
83927;22/01/2015;1200;20;18;81;1010.2;5;1;0;
83927;22/01/2015;1800;28.6;21.5;51;1008.4;9;1;6;
83927;23/01/2015;0000;27.4;21.4;56;1005.6;9;1;0;
83927;23/01/2015;1200;20.6;18.5;81;1007.8;5;1;6;
83927;23/01/2015;1800;30;24.9;59;1005.6;14;1;6;
83927;24/01/2015;0000;28.8;23.5;62;1002.3;14;1;3;
83927;24/01/2015;1200;23;21.5;87;1002.3;5;1;2;
83927;24/01/2015;1800;31.2;24.4;55;1001.9;18;1;6;
83927;25/01/2015;0000;32;24.5;75;999.6;18;1;6;
83927;25/01/2015;1200;25.4;24.9;96;1000.8;5;1;6;
83927;25/01/2015;1800;32.8;23.6;44;1001.2;32;1;6;
83927;26/01/2015;0000;32;23.4;46;999;5;1;0;
83927;26/01/2015;1200;24;23.2;93;1001.5;5;1;0;
83927;26/01/2015;1800;33;25.6;54;1001.8;5;1;5;
83927;27/01/2015;0000;32.2;24.5;91;999.2;9;1;0;
83927;27/01/2015;1200;27;25.4;87;1001.4;5;1;0;
83927;27/01/2015;1800;32;27.4;69;1001.6;5;1;10;
83927;28/01/2015;0000;26.4;24.1;82;999.6;5;1;10;
83927;28/01/2015;1200;24.2;23.6;95;999.2;5;1;10;
83927;28/01/2015;1800;32;26.2;62;998.4;32;1;7;
83927;29/01/2015;0000;22.6;21.9;94;997.9;5;1;10;
83927;29/01/2015;1200;20;18.9;90;1004.6;14;1;10;
83927;29/01/2015;1800;27.4;21.3;56;1006.3;14;1;3;
83927;30/01/2015;0000;24;19.1;61;1005.8;14;3;0;
83927;30/01/2015;1200;16.4;15.1;86;1009.1;14;2;0;
83927;30/01/2015;1800;25.6;17.8;43;1010.2;14;2;0;
83927;31/01/2015;0000;25.2;19;53;1007.4;14;1;0;
83927;31/01/2015;1200;18.6;17.2;87;1007.1;14;2;0;
83927;31/01/2015;1800;28.8;22.2;54;1007;9;2;7;
83927;01/02/2015;0000;26.2;20.2;56;1005.1;9;1;4;
83927;01/02/2015;1200;23;21.2;85;1005.4;9;1;6;
83927;01/02/2015;1800;31;23.3;50;1003.5;9;1;6;
83927;02/02/2015;0000;27;21.6;60;1002.4;9;1;0;
83927;02/02/2015;1200;27;24.4;80;1005.2;9;1;0;
83927;02/02/2015;1800;31.8;24;50;1003.5;9;1;0;
83927;03/02/2015;0000;28;23.5;67;1002.3;9;1;0;
83927;03/02/2015;1200;25.2;22.6;80;1002.8;5;1;10;
83927;03/02/2015;1800;29.6;24.6;65;1000.7;5;1;10;
83927;04/02/2015;0000;27;24.6;82;999.9;36;1;10;
83927;04/02/2015;1200;22.6;22.4;98;1000.6;9;1;10;
83927;04/02/2015;1800;30.2;25.3;66;999.5;9;1;8;
83927;05/02/2015;0000;26.6;23.1;73;997.2;9;1;10;
83927;05/02/2015;1200;25.8;22;70;1001.2;9;1;0;
83927;05/02/2015;1800;31.6;25.5;60;999.5;9;1;8;
83927;06/02/2015;0000;26.8;22.6;68;999.9;9;1;0;
83927;06/02/2015;1200;24.6;21.4;73;1001;9;1;0;
83927;06/02/2015;1800;31.4;22.8;45;1000.8;9;1;0;
83927;07/02/2015;0000;26;20.6;60;999.8;9;1;0;
83927;07/02/2015;1200;25.6;22;72;1002.6;9;1;0;
83927;07/02/2015;1800;31.6;23.4;48;1000.8;5;1;0;
83927;08/02/2015;0000;25.6;21.2;66;999.8;9;1;0;
83927;08/02/2015;1200;25.2;20.8;66;1001.2;9;1;0;
83927;08/02/2015;1800;30.4;22.8;50;999.5;9;1;0;
83927;09/02/2015;0000;26;21.6;66;998.4;9;1;0;
83927;09/02/2015;1200;27;22.3;65;999.9;0;0;0;
83927;09/02/2015;1800;33.6;24.4;45;998;0;0;0;
83927;10/02/2015;0000;27.6;22.9;65;996.8;0;0;0;
83927;10/02/2015;1200;25.2;21.4;70;998.7;14;1;10;
83927;10/02/2015;1800;20;19.5;95;1001.8;18;1;10;
83927;11/02/2015;0000;22.8;20.4;80;1002;18;1;10;
83927;11/02/2015;1200;21;20.5;95;1005.5;9;1;10;
