--------------------
BDMEP - INMET
--------------------
Estação           : VITORIA - ES (OMM: 83648)
Latitude  (graus) : -20.31
Longitude (graus) : -40.31
Altitude  (metros): 36.20
Estação Operante
Inicio de operação: 20/11/1923
Periodo solicitado dos dados: 01/01/2015 a 28/02/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83648;01/01/2015;0000;26.2;23.2;75;1011.3;36;3;2;
83648;01/01/2015;1200;29.2;22.8;56;1010.6;36;5;2;
83648;02/01/2015;0000;27.2;22.6;66;1009.7;36;3;0;
83648;02/01/2015;1200;28.8;23.4;61;1009.6;36;5;1;
83648;03/01/2015;0000;27.2;23.6;73;1008.8;36;3;0;
83648;03/01/2015;1200;29.8;24.2;61;1009.9;35;1;1;
83648;04/01/2015;0000;26.4;23.8;79;1011.7;36;3;0;
83648;04/01/2015;1200;28.4;22.4;57;1013;36;2;3;
83648;05/01/2015;0000;26.2;22.8;72;1012.3;36;2;0;
83648;05/01/2015;1200;27.6;23.2;66;1013.3;36;3;4;
83648;06/01/2015;0000;26.2;23.6;78;1014.5;36;2;5;
83648;06/01/2015;1200;28.2;23.8;67;1014.9;27;1;5;
83648;07/01/2015;0000;26.4;23.4;76;1015.3;36;2;6;
83648;07/01/2015;1200;27.8;23.2;66;1015;36;1;4;
83648;08/01/2015;0000;26.2;22.6;70;1014;36;2;7;
83648;08/01/2015;1200;27.8;22.2;59;1015.3;36;1;6;
83648;09/01/2015;0000;26.2;22.4;69;1013.5;36;2;1;
83648;09/01/2015;1200;25.8;22.8;76;1015.6;36;7;8;
83648;10/01/2015;0000;26.2;23.4;76;1014;36;3;2;
83648;10/01/2015;1200;28.7;22.7;56;1014.8;36;2;2;
83648;11/01/2015;0000;26.2;22.4;69;1011.9;36;3;0;
83648;11/01/2015;1200;28.8;22.8;57;1013.4;36;5;4;
83648;12/01/2015;0000;27.2;23.8;74;1012.3;36;5;1;
83648;12/01/2015;1200;29.4;23.4;57;1012.9;36;5;4;
83648;13/01/2015;0000;26.8;23.8;75;1011.8;36;7;3;
83648;13/01/2015;1200;28.8;23.4;60;1013;36;3;5;
83648;14/01/2015;0000;26.2;23.2;75;1012.6;36;3;4;
83648;14/01/2015;1200;28.8;22.8;57;1013.7;36;3;5;
83648;15/01/2015;0000;26.2;23.2;75;1012.4;36;3;0;
83648;15/01/2015;1200;29.4;23.2;56;1013.6;36;2;3;
83648;16/01/2015;0000;26.8;23.2;71;1013.1;36;3;3;
83648;16/01/2015;1200;29.2;22.8;56;1014.4;36;5;5;
83648;17/01/2015;0000;26.6;23.4;75;1013.4;36;2;3;
83648;17/01/2015;1200;28.4;22.4;57;1013.1;36;1;4;
83648;18/01/2015;0000;26.8;24.2;78;1011.8;36;3;3;
83648;18/01/2015;1200;29.2;23.4;60;1012.8;36;2;0;
